region_bld,year,value
C-EEU-ROU,2030,0.3487291276048072
C-EEU-ROU,2035,0.3319402187234445
C-EEU-ROU,2040,0.31533257131124187
C-EEU-ROU,2045,0.29906599936958356
C-EEU-ROU,2050,0.2832945788172204
C-EEU-ROU,2055,0.26816539508665466
C-EEU-ROU,2060,0.25381741739562963
C-EEU-ROU,2065,0.24038066877339276
C-EEU-ROU,2070,0.22797594439982027
C-EEU-ROU,2075,0.21671542342946729
C-EEU-ROU,2080,0.20670460189436105
C-EEU-ROU,2085,0.19804600992302263
C-EEU-ROU,2090,0.19084510942691413
C-EEU-ROU,2095,0.18521853075056707
C-EEU-ROU,2100,0.18130434392602773
C-EEU-SVK,2010,0.2945069461290152
C-EEU-SVK,2015,0.29816784965325877
C-EEU-SVK,2020,0.3002077116865562
C-EEU-SVK,2025,0.3003325915350864
C-EEU-SVK,2030,0.2987761007045475
C-EEU-SVK,2035,0.2957822428160656
C-EEU-SVK,2040,0.2915994976373519
C-EEU-SVK,2045,0.2864762190377656
C-EEU-SVK,2050,0.2806570091165161
C-EEU-SVK,2055,0.2743799368473804
C-EEU-SVK,2060,0.26787463400903627
C-EEU-SVK,2065,0.2613614453329477
C-EEU-SVK,2070,0.2550519392286411
C-EEU-SVK,2075,0.24915119049050394
C-EEU-SVK,2080,0.24386230071172146
C-EEU-SVK,2085,0.23939358204151617
C-EEU-SVK,2090,0.235968638876224
C-EEU-SVK,2095,0.23383918572532078
C-EEU-SVK,2100,0.2332998155915009
C-EEU-SVN,2010,0.11833996369440185
C-EEU-SVN,2015,0.12032818310167522
C-EEU-SVN,2020,0.12161764806677572
C-EEU-SVN,2025,0.12224519617886444
C-EEU-SVN,2030,0.12228411843331254
C-EEU-SVN,2035,0.1218088176410198
C-EEU-SVN,2040,0.12089416420699564
C-EEU-SVN,2045,0.11961501063857533
C-EEU-SVN,2050,0.11804582439839224
C-EEU-SVN,2055,0.11626042277029479
C-EEU-SVN,2060,0.11433181122590405
C-EEU-SVN,2065,0.11233214094307452
C-EEU-SVN,2070,0.11033281228244494
C-EEU-SVN,2075,0.1084047582616366
C-EEU-SVN,2080,0.1066189430660652
C-EEU-SVN,2085,0.1050471019772665
C-EEU-SVN,2090,0.10376272700803933
C-EEU-SVN,2095,0.10284226440629253
C-EEU-SVN,2100,0.10236643694409689
C-WEU-AUT,2010,0.4286708852224756
C-WEU-AUT,2015,0.4384026635578612
C-WEU-AUT,2020,0.4438854461017773
C-WEU-AUT,2025,0.44825179322540926
C-WEU-AUT,2030,0.4515534119548517
C-WEU-AUT,2035,0.45386295527161796
C-WEU-AUT,2040,0.45526767907636906
C-WEU-AUT,2045,0.45586498290237143
C-WEU-AUT,2050,0.45575918189765835
C-WEU-AUT,2055,0.4550591097287637
C-WEU-AUT,2060,0.45387630515316835
C-WEU-AUT,2065,0.4523236322723679
C-WEU-AUT,2070,0.4505142493341928
C-WEU-AUT,2075,0.44856088620710993
C-WEU-AUT,2080,0.4465754230284616
C-WEU-AUT,2085,0.4446687849879826
C-WEU-AUT,2090,0.44295118117591414
C-WEU-AUT,2095,0.4415327176309448
C-WEU-AUT,2100,0.4405244040045286
C-WEU-BEL,2010,0.27516924279612437
C-WEU-BEL,2015,0.2802059167329677
C-WEU-BEL,2020,0.2830838921113352
C-WEU-BEL,2025,0.2857785784754131
C-WEU-BEL,2030,0.28824838425427446
C-WEU-BEL,2035,0.29046769983416804
C-WEU-BEL,2040,0.29242332217599987
C-WEU-BEL,2045,0.2941117627378422
C-WEU-BEL,2050,0.2955371907282696
C-WEU-BEL,2055,0.2967098403185312
C-WEU-BEL,2060,0.29764476157211534
C-WEU-BEL,2065,0.29836082962812693
C-WEU-BEL,2070,0.2988799507569027
C-WEU-BEL,2075,0.2992264208716661
C-WEU-BEL,2080,0.29942640423341305
C-WEU-BEL,2085,0.29950750893366135
C-WEU-BEL,2090,0.29949844227652345
C-WEU-BEL,2095,0.299428734069588
