region_bld,clim,arch,eneff,urt,region_nuts,value
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE256,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE257,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE257,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE258,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE258,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE310,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE310,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE323,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE323,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE328,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE328,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE329,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE329,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE32A,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE32A,4.08091219
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE32B,4.4999092
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE32B,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE32C,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE32C,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE32D,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE32D,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE331,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE331,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE332,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE332,4.08091219
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE334,4.4999092
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE334,4.08091219
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE335,4.4999092
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE335,4.08091219
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE336,4.4999092
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE336,4.08091219
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE341,4.4999092
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE341,4.08091219
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE342,4.4999092
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE342,4.08091219
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE343,4.4999092
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE343,4.08091219
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE344,4.4999092
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE344,4.08091219
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE345,4.4999092
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE345,4.08091219
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE351,4.4999092
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE351,4.08091219
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE352,4.4999092
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE352,4.08091219
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE353,4.4999092
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE353,4.08091219
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG311,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG311,31.98629012
