year,region_bld,clim,arch,urt,value
2015,C-WEU-ITA,Zone_7A Very cold Humid,mfh,rur,0.502
2015,C-WEU-ITA,Zone_7A Very cold Humid,mfh,urb,0.374
2015,C-WEU-ITA,Zone_7A Very cold Humid,sfh,rur,0.415
2015,C-WEU-ITA,Zone_7A Very cold Humid,sfh,urb,0.437
2015,C-WEU-LUX,Zone_5A Cool Humid,mfh,urb,0.104
2015,C-WEU-LUX,Zone_5A Cool Humid,sfh,urb,0.002
2015,C-WEU-MLT,Zone_3A Warm Humid,mfh,urb,0.0
2015,C-WEU-MLT,Zone_3A Warm Humid,sfh,urb,0.0
2015,C-WEU-NLD,Zone_4A Mixed Humid,mfh,rur,0.14
2015,C-WEU-NLD,Zone_4A Mixed Humid,mfh,urb,0.064
2015,C-WEU-NLD,Zone_4A Mixed Humid,sfh,rur,0.1
2015,C-WEU-NLD,Zone_4A Mixed Humid,sfh,urb,0.027
2015,C-WEU-NLD,Zone_5A Cool Humid,mfh,urb,0.067
2015,C-WEU-NLD,Zone_5A Cool Humid,sfh,urb,0.028
2015,C-WEU-PRT,Zone_3A Warm Humid,mfh,rur,0.308
2015,C-WEU-PRT,Zone_3A Warm Humid,mfh,urb,0.24
2015,C-WEU-PRT,Zone_3A Warm Humid,sfh,rur,0.43
2015,C-WEU-PRT,Zone_3A Warm Humid,sfh,urb,0.346
2015,C-WEU-PRT,Zone_3C Warm Marine,mfh,rur,0.342
2015,C-WEU-PRT,Zone_3C Warm Marine,mfh,urb,0.19
2015,C-WEU-PRT,Zone_3C Warm Marine,sfh,rur,0.437
2015,C-WEU-PRT,Zone_3C Warm Marine,sfh,urb,0.251
2015,C-WEU-PRT,Zone_4A Mixed Humid,mfh,rur,0.379
2015,C-WEU-PRT,Zone_4A Mixed Humid,sfh,rur,0.51
2015,C-WEU-PRT,Zone_4C Mixed Marine,mfh,rur,0.33
2015,C-WEU-PRT,Zone_4C Mixed Marine,mfh,urb,0.198
2015,C-WEU-PRT,Zone_4C Mixed Marine,sfh,rur,0.516
2015,C-WEU-PRT,Zone_4C Mixed Marine,sfh,urb,0.267
2015,C-WEU-SWE,Zone_5A Cool Humid,mfh,rur,0.153
2015,C-WEU-SWE,Zone_5A Cool Humid,mfh,urb,0.088
2015,C-WEU-SWE,Zone_5A Cool Humid,sfh,rur,0.447
2015,C-WEU-SWE,Zone_5A Cool Humid,sfh,urb,0.178
2015,C-WEU-SWE,Zone_6A Cold Humid,mfh,rur,0.135
2015,C-WEU-SWE,Zone_6A Cold Humid,mfh,urb,0.089
2015,C-WEU-SWE,Zone_6A Cold Humid,sfh,rur,0.35
2015,C-WEU-SWE,Zone_6A Cold Humid,sfh,urb,0.223
2015,C-WEU-SWE,Zone_7A Very cold Humid,mfh,rur,0.155
2015,C-WEU-SWE,Zone_7A Very cold Humid,mfh,urb,0.126
2015,C-WEU-SWE,Zone_7A Very cold Humid,sfh,rur,0.464
2015,C-WEU-SWE,Zone_7A Very cold Humid,sfh,urb,0.35
2015,C-WEU-SWE,Zone_8A Subarctic/arctic Humid,mfh,urb,0.159
2015,C-WEU-SWE,Zone_8A Subarctic/arctic Humid,sfh,urb,0.342
2020,C-EEU-BGR,Zone_4A Mixed Humid,mfh,rur,0.325
2020,C-EEU-BGR,Zone_4A Mixed Humid,mfh,urb,0.329
2020,C-EEU-BGR,Zone_4A Mixed Humid,sfh,rur,0.479
2020,C-EEU-BGR,Zone_4A Mixed Humid,sfh,urb,0.467
2020,C-EEU-BGR,Zone_5A Cool Humid,mfh,rur,0.407
2020,C-EEU-BGR,Zone_5A Cool Humid,mfh,urb,0.29
