region_bld,urt,arch,mat,year,value
R32CHN,rur,mfh,perm,2090,44.26983024251108
R32CHN,rur,mfh,perm,2095,44.26983024251108
R32CHN,rur,mfh,perm,2100,44.26983024251108
R32CHN,rur,sfh,perm,2015,46.62275179
R32CHN,rur,sfh,perm,2020,49.2819642
R32CHN,rur,sfh,perm,2025,51.87134808
R32CHN,rur,sfh,perm,2030,51.67071157876632
R32CHN,rur,sfh,perm,2035,51.47007507753264
R32CHN,rur,sfh,perm,2040,51.26943857629897
R32CHN,rur,sfh,perm,2045,51.068802075065285
R32CHN,rur,sfh,perm,2050,50.86816557383161
R32CHN,rur,sfh,perm,2055,50.86816557383161
R32CHN,rur,sfh,perm,2060,50.86816557383161
R32CHN,rur,sfh,perm,2065,50.86816557383161
R32CHN,rur,sfh,perm,2070,50.86816557383161
R32CHN,rur,sfh,perm,2075,50.86816557383161
R32CHN,rur,sfh,perm,2080,50.86816557383161
R32CHN,rur,sfh,perm,2085,50.86816557383161
R32CHN,rur,sfh,perm,2090,50.86816557383161
R32CHN,rur,sfh,perm,2095,50.86816557383161
R32CHN,rur,sfh,perm,2100,50.86816557383161
R32CHN,urb,inf,sub,2015,25.0173985
R32CHN,urb,inf,sub,2020,25.70936952
R32CHN,urb,inf,sub,2025,26.32019505
R32CHN,urb,inf,sub,2030,26.32019505
R32CHN,urb,inf,sub,2035,26.32019505
R32CHN,urb,inf,sub,2040,26.32019505
R32CHN,urb,inf,sub,2045,26.32019505
R32CHN,urb,inf,sub,2050,26.32019505
R32CHN,urb,inf,sub,2055,26.32019505
R32CHN,urb,inf,sub,2060,26.32019505
R32CHN,urb,inf,sub,2065,26.32019505
R32CHN,urb,inf,sub,2070,26.32019505
R32CHN,urb,inf,sub,2075,26.32019505
R32CHN,urb,inf,sub,2080,26.32019505
R32CHN,urb,inf,sub,2085,26.32019505
R32CHN,urb,inf,sub,2090,26.32019505
R32CHN,urb,inf,sub,2095,26.32019505
R32CHN,urb,inf,sub,2100,26.32019505
R32CHN,urb,mfh,perm,2015,37.70944521
R32CHN,urb,mfh,perm,2020,39.21474461
R32CHN,urb,mfh,perm,2025,40.71098543
