region_bld,clim,inc_cl,year,urt,region_nuts,value
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,rur,C-WEU-BEL-BE32B,0.07407439
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,urb,C-WEU-BEL-BE32B,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE32C,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE32C,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE32D,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE32D,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE331,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE331,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE332,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE332,0.17160359
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,rur,C-WEU-BEL-BE334,0.07407439
C-WEU-BEL,Zone_4A Mixed Humid,q1,2015,urb,C-WEU-BEL-BE334,0.17160359
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,rur,C-WEU-BEL-BE335,0.07407439
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,urb,C-WEU-BEL-BE335,0.17160359
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,rur,C-WEU-BEL-BE336,0.07407439
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,urb,C-WEU-BEL-BE336,0.17160359
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,rur,C-WEU-BEL-BE341,0.07407439
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,urb,C-WEU-BEL-BE341,0.17160359
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,rur,C-WEU-BEL-BE342,0.07407439
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,urb,C-WEU-BEL-BE342,0.17160359
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,rur,C-WEU-BEL-BE343,0.07407439
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,urb,C-WEU-BEL-BE343,0.17160359
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,rur,C-WEU-BEL-BE344,0.07407439
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,urb,C-WEU-BEL-BE344,0.17160359
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,rur,C-WEU-BEL-BE345,0.07407439
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,urb,C-WEU-BEL-BE345,0.17160359
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,rur,C-WEU-BEL-BE351,0.07407439
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,urb,C-WEU-BEL-BE351,0.17160359
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,rur,C-WEU-BEL-BE352,0.07407439
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,urb,C-WEU-BEL-BE352,0.17160359
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,rur,C-WEU-BEL-BE353,0.07407439
C-WEU-BEL,Zone_5A Cool Humid,q1,2015,urb,C-WEU-BEL-BE353,0.17160359
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG311,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG311,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG312,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG312,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG313,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG313,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG314,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG314,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG315,0.0278422
