region_gea,arch,material,year,value
EEU,mfh,aluminum,2055,2.1281857145000003
EEU,mfh,aluminum,2060,2.1281857145000003
EEU,mfh,aluminum,2065,2.1281857145000003
EEU,mfh,aluminum,2070,2.1281857145000003
EEU,mfh,aluminum,2075,2.1281857145000003
EEU,mfh,aluminum,2080,2.1281857145000003
EEU,mfh,aluminum,2085,2.1281857145000003
EEU,mfh,aluminum,2090,2.1281857145000003
EEU,mfh,aluminum,2095,2.1281857145000003
EEU,mfh,aluminum,2100,2.1281857145000003
EEU,mfh,concrete,2015,877.2533675999999
EEU,mfh,concrete,2020,877.2533675999999
EEU,mfh,concrete,2025,877.2533675999999
EEU,mfh,concrete,2030,877.2533675999999
EEU,mfh,concrete,2035,877.2533675999999
EEU,mfh,concrete,2040,877.2533675999999
EEU,mfh,concrete,2045,877.2533675999999
EEU,mfh,concrete,2050,877.2533675999999
EEU,mfh,concrete,2055,877.2533675999999
EEU,mfh,concrete,2060,877.2533675999999
EEU,mfh,concrete,2065,877.2533675999999
EEU,mfh,concrete,2070,877.2533675999999
EEU,mfh,concrete,2075,877.2533675999999
EEU,mfh,concrete,2080,877.2533675999999
EEU,mfh,concrete,2085,877.2533675999999
EEU,mfh,concrete,2090,877.2533675999999
EEU,mfh,concrete,2095,877.2533675999999
EEU,mfh,concrete,2100,877.2533675999999
EEU,mfh,copper,2015,0.0928626375
EEU,mfh,copper,2020,0.0928626375
EEU,mfh,copper,2025,0.0928626375
EEU,mfh,copper,2030,0.0928626375
EEU,mfh,copper,2035,0.0928626375
EEU,mfh,copper,2040,0.0928626375
EEU,mfh,copper,2045,0.0928626375
EEU,mfh,copper,2050,0.0928626375
EEU,mfh,copper,2055,0.0928626375
EEU,mfh,copper,2060,0.0928626375
EEU,mfh,copper,2065,0.0928626375
EEU,mfh,copper,2070,0.0928626375
EEU,mfh,copper,2075,0.0928626375
EEU,mfh,copper,2080,0.0928626375
EEU,mfh,copper,2085,0.0928626375
EEU,mfh,copper,2090,0.0928626375
EEU,mfh,copper,2095,0.0928626375
EEU,mfh,copper,2100,0.0928626375
EEU,mfh,glass,2015,4.953082967
EEU,mfh,glass,2020,4.953082967
EEU,mfh,glass,2025,4.953082967
EEU,mfh,glass,2030,4.953082967
EEU,mfh,glass,2035,4.953082967
EEU,mfh,glass,2040,4.953082967
EEU,mfh,glass,2045,4.953082967
EEU,mfh,glass,2050,4.953082967
EEU,mfh,glass,2055,4.953082967
EEU,mfh,glass,2060,4.953082967
EEU,mfh,glass,2065,4.953082967
EEU,mfh,glass,2070,4.953082967
EEU,mfh,glass,2075,4.953082967
EEU,mfh,glass,2080,4.953082967
EEU,mfh,glass,2085,4.953082967
EEU,mfh,glass,2090,4.953082967
EEU,mfh,glass,2095,4.953082967
EEU,mfh,glass,2100,4.953082967
EEU,mfh,steel,2015,111.56078355
EEU,mfh,steel,2020,111.56078355
EEU,mfh,steel,2025,111.56078355
EEU,mfh,steel,2030,111.56078355
EEU,mfh,steel,2035,111.56078355
EEU,mfh,steel,2040,111.56078355
EEU,mfh,steel,2045,111.56078355
EEU,mfh,steel,2050,111.56078355
EEU,mfh,steel,2055,111.56078355
EEU,mfh,steel,2060,111.56078355
EEU,mfh,steel,2065,111.56078355
EEU,mfh,steel,2070,111.56078355
EEU,mfh,steel,2075,111.56078355
EEU,mfh,steel,2080,111.56078355
EEU,mfh,steel,2085,111.56078355
EEU,mfh,steel,2090,111.56078355
EEU,mfh,steel,2095,111.56078355
EEU,mfh,steel,2100,111.56078355
EEU,mfh,wood,2015,8.111131317
EEU,mfh,wood,2020,8.111131317
EEU,mfh,wood,2025,8.111131317
EEU,mfh,wood,2030,8.111131317
EEU,mfh,wood,2035,8.111131317
EEU,mfh,wood,2040,8.111131317
EEU,mfh,wood,2045,8.111131317
EEU,mfh,wood,2050,8.111131317
EEU,mfh,wood,2055,8.111131317
EEU,mfh,wood,2060,8.111131317
EEU,mfh,wood,2065,8.111131317
EEU,mfh,wood,2070,8.111131317
EEU,mfh,wood,2075,8.111131317
EEU,mfh,wood,2080,8.111131317
EEU,mfh,wood,2085,8.111131317
EEU,mfh,wood,2090,8.111131317
EEU,mfh,wood,2095,8.111131317
EEU,mfh,wood,2100,8.111131317
EEU,sfh,aluminum,2015,3.1781041549999998
EEU,sfh,aluminum,2020,3.1781041549999998
EEU,sfh,aluminum,2025,3.1781041549999998
EEU,sfh,aluminum,2030,3.1781041549999998
EEU,sfh,aluminum,2035,3.1781041549999998
EEU,sfh,aluminum,2040,3.1781041549999998
EEU,sfh,aluminum,2045,3.1781041549999998
EEU,sfh,aluminum,2050,3.1781041549999998
EEU,sfh,aluminum,2055,3.1781041549999998
EEU,sfh,aluminum,2060,3.1781041549999998
EEU,sfh,aluminum,2065,3.1781041549999998
EEU,sfh,aluminum,2070,3.1781041549999998
EEU,sfh,aluminum,2075,3.1781041549999998
EEU,sfh,aluminum,2080,3.1781041549999998
EEU,sfh,aluminum,2085,3.1781041549999998
EEU,sfh,aluminum,2090,3.1781041549999998
EEU,sfh,aluminum,2095,3.1781041549999998
EEU,sfh,aluminum,2100,3.1781041549999998
EEU,sfh,concrete,2015,1814.3062504999998
EEU,sfh,concrete,2020,1814.3062504999998
EEU,sfh,concrete,2025,1814.3062504999998
EEU,sfh,concrete,2030,1814.3062504999998
EEU,sfh,concrete,2035,1814.3062504999998
EEU,sfh,concrete,2040,1814.3062504999998
EEU,sfh,concrete,2045,1814.3062504999998
EEU,sfh,concrete,2050,1814.3062504999998
EEU,sfh,concrete,2055,1814.3062504999998
EEU,sfh,concrete,2060,1814.3062504999998
EEU,sfh,concrete,2065,1814.3062504999998
EEU,sfh,concrete,2070,1814.3062504999998
EEU,sfh,concrete,2075,1814.3062504999998
EEU,sfh,concrete,2080,1814.3062504999998
EEU,sfh,concrete,2085,1814.3062504999998
EEU,sfh,concrete,2090,1814.3062504999998
EEU,sfh,concrete,2095,1814.3062504999998
EEU,sfh,concrete,2100,1814.3062504999998
EEU,sfh,copper,2015,1.5327444885
EEU,sfh,copper,2020,1.5327444885
EEU,sfh,copper,2025,1.5327444885
EEU,sfh,copper,2030,1.5327444885
EEU,sfh,copper,2035,1.5327444885
EEU,sfh,copper,2040,1.5327444885
EEU,sfh,copper,2045,1.5327444885
EEU,sfh,copper,2050,1.5327444885
EEU,sfh,copper,2055,1.5327444885
EEU,sfh,copper,2060,1.5327444885
EEU,sfh,copper,2065,1.5327444885
EEU,sfh,copper,2070,1.5327444885
EEU,sfh,copper,2075,1.5327444885
EEU,sfh,copper,2080,1.5327444885
EEU,sfh,copper,2085,1.5327444885
EEU,sfh,copper,2090,1.5327444885
EEU,sfh,copper,2095,1.5327444885
EEU,sfh,copper,2100,1.5327444885
EEU,sfh,glass,2015,29.8162288
EEU,sfh,glass,2020,29.8162288
EEU,sfh,glass,2025,29.8162288
EEU,sfh,glass,2030,29.8162288
EEU,sfh,glass,2035,29.8162288
EEU,sfh,glass,2040,29.8162288
EEU,sfh,glass,2045,29.8162288
EEU,sfh,glass,2050,29.8162288
EEU,sfh,glass,2055,29.8162288
EEU,sfh,glass,2060,29.8162288
EEU,sfh,glass,2065,29.8162288
EEU,sfh,glass,2070,29.8162288
EEU,sfh,glass,2075,29.8162288
EEU,sfh,glass,2080,29.8162288
EEU,sfh,glass,2085,29.8162288
EEU,sfh,glass,2090,29.8162288
EEU,sfh,glass,2095,29.8162288
EEU,sfh,glass,2100,29.8162288
EEU,sfh,steel,2015,32.659817695
EEU,sfh,steel,2020,32.659817695
EEU,sfh,steel,2025,32.659817695
EEU,sfh,steel,2030,32.659817695
EEU,sfh,steel,2035,32.659817695
EEU,sfh,steel,2040,32.659817695
EEU,sfh,steel,2045,32.659817695
EEU,sfh,steel,2050,32.659817695
EEU,sfh,steel,2055,32.659817695
EEU,sfh,steel,2060,32.659817695
EEU,sfh,steel,2065,32.659817695
EEU,sfh,steel,2070,32.659817695
EEU,sfh,steel,2075,32.659817695
EEU,sfh,steel,2080,32.659817695
EEU,sfh,steel,2085,32.659817695
EEU,sfh,steel,2090,32.659817695
EEU,sfh,steel,2095,32.659817695
EEU,sfh,steel,2100,32.659817695
EEU,sfh,wood,2015,91.975533495
EEU,sfh,wood,2020,91.975533495
EEU,sfh,wood,2025,91.975533495
EEU,sfh,wood,2030,91.975533495
EEU,sfh,wood,2035,91.975533495
EEU,sfh,wood,2040,91.975533495
EEU,sfh,wood,2045,91.975533495
EEU,sfh,wood,2050,91.975533495
EEU,sfh,wood,2055,91.975533495
EEU,sfh,wood,2060,91.975533495
EEU,sfh,wood,2065,91.975533495
EEU,sfh,wood,2070,91.975533495
EEU,sfh,wood,2075,91.975533495
EEU,sfh,wood,2080,91.975533495
EEU,sfh,wood,2085,91.975533495
EEU,sfh,wood,2090,91.975533495
EEU,sfh,wood,2095,91.975533495
EEU,sfh,wood,2100,91.975533495
FSU,mfh,aluminum,2015,2.0570446735
FSU,mfh,aluminum,2020,2.0570446735
FSU,mfh,aluminum,2025,2.0570446735
FSU,mfh,aluminum,2030,2.0570446735
FSU,mfh,aluminum,2035,2.0570446735
FSU,mfh,aluminum,2040,2.0570446735
FSU,mfh,aluminum,2045,2.0570446735
FSU,mfh,aluminum,2050,2.0570446735
FSU,mfh,aluminum,2055,2.0570446735
FSU,mfh,aluminum,2060,2.0570446735
FSU,mfh,aluminum,2065,2.0570446735
FSU,mfh,aluminum,2070,2.0570446735
FSU,mfh,aluminum,2075,2.0570446735
FSU,mfh,aluminum,2080,2.0570446735
FSU,mfh,aluminum,2085,2.0570446735
FSU,mfh,aluminum,2090,2.0570446735
FSU,mfh,aluminum,2095,2.0570446735
FSU,mfh,aluminum,2100,2.0570446735
FSU,mfh,concrete,2015,957.3357732
FSU,mfh,concrete,2020,957.3357732
FSU,mfh,concrete,2025,957.3357732
FSU,mfh,concrete,2030,957.3357732
FSU,mfh,concrete,2035,957.3357732
FSU,mfh,concrete,2040,957.3357732
FSU,mfh,concrete,2045,957.3357732
FSU,mfh,concrete,2050,957.3357732
FSU,mfh,concrete,2055,957.3357732
FSU,mfh,concrete,2060,957.3357732
FSU,mfh,concrete,2065,957.3357732
FSU,mfh,concrete,2070,957.3357732
FSU,mfh,concrete,2075,957.3357732
FSU,mfh,concrete,2080,957.3357732
FSU,mfh,concrete,2085,957.3357732
FSU,mfh,concrete,2090,957.3357732
FSU,mfh,concrete,2095,957.3357732
