region_bld,urt,clim
C-WEU-FIN,urb,Zone_6A Cold Humid
C-WEU-FIN,sub,Zone_7A Very cold Humid
C-WEU-FIN,rur,Zone_7A Very cold Humid
C-WEU-FIN,urb,Zone_7A Very cold Humid
C-WEU-FRA,rur,Zone_4A Mixed Humid
C-WEU-FRA,sub,Zone_4A Mixed Humid
C-WEU-FRA,urb,Zone_4A Mixed Humid
C-WEU-FRA,rur,Zone_5A Cool Humid
C-WEU-FRA,sub,Zone_5A Cool Humid
C-WEU-FRA,urb,Zone_5A Cool Humid
C-WEU-FRA,rur,Zone_3A Warm Humid
C-WEU-FRA,sub,Zone_3A Warm Humid
C-WEU-FRA,urb,Zone_3A Warm Humid
C-WEU-FRA,rur,Zone_7A Very cold Humid
C-WEU-FRA,sub,Zone_7A Very cold Humid
C-WEU-FRA,urb,Zone_7A Very cold Humid
C-WEU-FRA,rur,Zone_4C Mixed Marine
C-WEU-FRA,sub,Zone_4C Mixed Marine
C-WEU-FRA,urb,Zone_4C Mixed Marine
C-WEU-FRA,rur,Zone_3C Warm Marine
C-WEU-FRA,sub,Zone_3C Warm Marine
C-WEU-FRA,urb,Zone_3C Warm Marine
C-WEU-FRA,rur,Zone_1A Very hot Humid
C-WEU-FRA,sub,Zone_1A Very hot Humid
C-WEU-FRA,urb,Zone_1A Very hot Humid
C-WEU-FRA,rur,Zone_2A Hot Humid
C-WEU-FRA,sub,Zone_2A Hot Humid
C-WEU-FRA,urb,Zone_2A Hot Humid
C-WEU-FRA,rur,Zone_0A Extremely hot Humid
C-WEU-FRA,sub,Zone_0A Extremely hot Humid
C-WEU-FRA,urb,Zone_0A Extremely hot Humid
C-EEU-HRV,sub,Zone_4A Mixed Humid
C-EEU-HRV,rur,Zone_4A Mixed Humid
C-EEU-HRV,urb,Zone_4A Mixed Humid
C-EEU-HRV,sub,Zone_5A Cool Humid
C-EEU-HRV,rur,Zone_5A Cool Humid
C-EEU-HRV,urb,Zone_5A Cool Humid
C-EEU-HRV,sub,Zone_4C Mixed Marine
C-EEU-HRV,rur,Zone_4C Mixed Marine
C-EEU-HRV,urb,Zone_4C Mixed Marine
C-EEU-HRV,sub,Zone_3A Warm Humid
C-EEU-HRV,rur,Zone_3A Warm Humid
C-EEU-HRV,urb,Zone_3A Warm Humid
C-EEU-HUN,sub,Zone_4A Mixed Humid
C-EEU-HUN,rur,Zone_4A Mixed Humid
C-EEU-HUN,urb,Zone_4A Mixed Humid
C-EEU-HUN,sub,Zone_5A Cool Humid
C-EEU-HUN,rur,Zone_5A Cool Humid
C-EEU-HUN,urb,Zone_5A Cool Humid
C-WEU-IRL,rur,Zone_5A Cool Humid
C-WEU-IRL,urb,Zone_5A Cool Humid
C-WEU-IRL,sub,Zone_5A Cool Humid
C-WEU-IRL,rur,Zone_4A Mixed Humid
C-WEU-IRL,urb,Zone_4A Mixed Humid
C-WEU-IRL,sub,Zone_4A Mixed Humid
C-WEU-ITA,rur,Zone_4A Mixed Humid
C-WEU-ITA,urb,Zone_4A Mixed Humid
C-WEU-ITA,sub,Zone_4A Mixed Humid
C-WEU-ITA,rur,Zone_5A Cool Humid
C-WEU-ITA,urb,Zone_5A Cool Humid
C-WEU-ITA,sub,Zone_5A Cool Humid
C-WEU-ITA,rur,Zone_7A Very cold Humid
C-WEU-ITA,urb,Zone_7A Very cold Humid
C-WEU-ITA,sub,Zone_7A Very cold Humid
C-WEU-ITA,rur,Zone_6A Cold Humid
