region_bld,clim,arch,eneff,urt,region_nuts,value
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE323,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE328,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE328,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE329,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE329,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE32A,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE32A,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE32B,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE32B,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE32C,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE32C,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE32D,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE32D,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE331,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE331,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE332,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE332,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,rur,C-WEU-BEL-BE334,1.0
C-WEU-BEL,Zone_4A Mixed Humid,inf,ns,urb,C-WEU-BEL-BE334,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE335,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE335,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE336,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE336,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE341,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE341,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE342,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE342,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE343,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE343,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE344,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE344,1.0
