region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2005,p3,0.03160706180022046
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2010,p3,0.03639024310281752
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2015,p3,0.019863840845828557
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2020,p3,0.025722151379379443
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1945,p1,0.04664076849594908
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1960,p2,0.07959393315932295
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1965,p2,0.12853176124891774
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1970,p2,0.09041220025598469
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1975,p2,0.08517319209681773
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1980,p2,0.08035675750482704
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1985,p2,0.15789423454636142
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1990,p2,0.09891083761324773
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1995,p3,0.019500013975487243
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2000,p3,0.03723445241323509
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2005,p3,0.052616473968548835
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2010,p3,0.060579063773239926
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2015,p3,0.031089030336802347
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2020,p3,0.031467280611257566
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1945,p1,0.04664076849594907
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1960,p2,0.07959393315932295
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1965,p2,0.1285317618410438
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1970,p2,0.0904122000468147
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1975,p2,0.0851731918997682
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1980,p2,0.08035675731892049
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1985,p2,0.15789423568901265
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1990,p2,0.09891083832904711
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1995,p3,0.01950001184757789
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2000,p3,0.03723445268269389
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2005,p3,0.05261647299132961
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2010,p3,0.060579064750459044
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2015,p3,0.031089030336802347
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2020,p3,0.031467280611257566
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1945,p1,0.1887102881137315
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1960,p2,0.08325886858367361
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1965,p2,0.043675472564771604
