region_bld,region_nuts,urt,clim,year,value
C-WEU-PRT,C-WEU-PRT-PT1C2,rur,Zone_3A Warm Humid,2080,0.011991091928500426
C-WEU-PRT,C-WEU-PRT-PT1C2,urb,Zone_3A Warm Humid,2080,0.06107390807149958
C-WEU-PRT,C-WEU-PRT-PT1C2,rur,Zone_3A Warm Humid,2085,0.01111021567857196
C-WEU-PRT,C-WEU-PRT-PT1C2,urb,Zone_3A Warm Humid,2085,0.06079378432142804
C-WEU-PRT,C-WEU-PRT-PT1C2,rur,Zone_3A Warm Humid,2090,0.010353031281266993
C-WEU-PRT,C-WEU-PRT-PT1C2,urb,Zone_3A Warm Humid,2090,0.06076196871873301
C-WEU-PRT,C-WEU-PRT-PT1C2,rur,Zone_3A Warm Humid,2095,0.009690090819033574
C-WEU-PRT,C-WEU-PRT-PT1C2,urb,Zone_3A Warm Humid,2095,0.06089790918096643
C-WEU-PRT,C-WEU-PRT-PT1C2,rur,Zone_3A Warm Humid,2100,0.009092992352180957
C-WEU-PRT,C-WEU-PRT-PT1C2,urb,Zone_3A Warm Humid,2100,0.06110800764781905
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2020,0.03754198267738048
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2020,0.06656401732261952
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2025,0.03267250779029303
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2025,0.06445649220970696
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2030,0.028636562896544263
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2030,0.06258543710345574
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2035,0.025287276800833796
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2035,0.06097672319916621
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2040,0.02237076557109554
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2040,0.05929623442890447
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2045,0.019746419523221568
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2045,0.057337580476778435
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2050,0.017402291360878706
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2050,0.055176708639121295
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2055,0.015332804283448452
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2055,0.05293119571655156
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2060,0.01354062766641508
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2060,0.05076037233358491
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2065,0.011996246018974754
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2065,0.04871075398102524
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2070,0.010673261520339853
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2070,0.04683573847966015
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2075,0.009573218277090935
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2075,0.04530178172290906
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2080,0.008677766055038507
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2080,0.044198233944961494
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2085,0.007941276351805268
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2085,0.04345372364819474
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2090,0.007312415217981576
