region_bld,inc_cl,year,value
C-EEU-HUN,q2,2035,0.320555375
C-EEU-HUN,q2,2040,0.3437788
C-EEU-HUN,q2,2045,0.361729675
C-EEU-HUN,q2,2050,0.375167325
C-EEU-HUN,q2,2055,0.382888825
C-EEU-HUN,q2,2060,0.38703302500000003
C-EEU-HUN,q2,2065,0.39006255
C-EEU-HUN,q2,2070,0.39118535
C-EEU-HUN,q2,2075,0.39174057500000004
C-EEU-HUN,q2,2080,0.392003775
C-EEU-HUN,q2,2085,0.3920992
C-EEU-HUN,q2,2090,0.392131325
C-EEU-HUN,q2,2095,0.392152025
C-EEU-HUN,q2,2100,0.392158125
C-EEU-HUN,q3,2015,0.3388164
C-EEU-HUN,q3,2020,0.356135225
C-EEU-HUN,q3,2025,0.373883625
C-EEU-HUN,q3,2030,0.3843217
C-EEU-HUN,q3,2035,0.38924865
C-EEU-HUN,q3,2040,0.3909899
C-EEU-HUN,q3,2045,0.391782325
C-EEU-HUN,q3,2050,0.392033925
C-EEU-HUN,q3,2055,0.392125225
C-EEU-HUN,q3,2060,0.3921504
C-EEU-HUN,q3,2065,0.39215905
C-EEU-HUN,q3,2070,0.392160975
C-EEU-HUN,q3,2075,0.39216145
C-EEU-HUN,q3,2080,0.39216154999999997
C-EEU-HUN,q3,2085,0.39216154999999997
C-EEU-HUN,q3,2090,0.39216154999999997
C-EEU-HUN,q3,2095,0.39216154999999997
C-EEU-HUN,q3,2100,0.39216154999999997
C-EEU-LTU,q1,2015,0.02456044
C-EEU-LTU,q1,2020,0.034636645
C-EEU-LTU,q1,2025,0.04158665
C-EEU-LTU,q1,2030,0.050418029999999996
C-EEU-LTU,q1,2035,0.060219335
C-EEU-LTU,q1,2040,0.07112460500000001
C-EEU-LTU,q1,2045,0.07956904000000001
C-EEU-LTU,q1,2050,0.088572525
C-EEU-LTU,q1,2055,0.09478338
C-EEU-LTU,q1,2060,0.10123476499999999
C-EEU-LTU,q1,2065,0.10974467500000001
C-EEU-LTU,q1,2070,0.11704122
C-EEU-LTU,q1,2075,0.12346818
C-EEU-LTU,q1,2080,0.128702025
C-EEU-LTU,q1,2085,0.132136555
C-EEU-LTU,q1,2090,0.13833865
C-EEU-LTU,q1,2095,0.14251545
C-EEU-LTU,q1,2100,0.1453358
C-EEU-LTU,q2,2015,0.09205473
C-EEU-LTU,q2,2020,0.11468890500000001
C-EEU-LTU,q2,2025,0.13022730999999999
C-EEU-LTU,q2,2030,0.14059745
C-EEU-LTU,q2,2035,0.15109519999999999
C-EEU-LTU,q2,2040,0.15882595
C-EEU-LTU,q2,2045,0.16335585000000002
C-EEU-LTU,q2,2050,0.16648485000000002
C-EEU-LTU,q2,2055,0.16826255
C-EEU-LTU,q2,2060,0.16961775
C-EEU-LTU,q2,2065,0.17100915
C-EEU-LTU,q2,2070,0.17174435
C-EEU-LTU,q2,2075,0.17214335
C-EEU-LTU,q2,2080,0.17233605000000002
C-EEU-LTU,q2,2085,0.1724123
C-EEU-LTU,q2,2090,0.17251015
C-EEU-LTU,q2,2095,0.1725477
C-EEU-LTU,q2,2100,0.17257224999999998
C-EEU-LTU,q3,2015,0.16647875
C-EEU-LTU,q3,2020,0.17086165
C-EEU-LTU,q3,2025,0.1722448
C-EEU-LTU,q3,2030,0.1724756
C-EEU-LTU,q3,2035,0.1725743
C-EEU-LTU,q3,2040,0.1725972
C-EEU-LTU,q3,2045,0.17260365
C-EEU-LTU,q3,2050,0.1726048
C-EEU-LTU,q3,2055,0.17260525
C-EEU-LTU,q3,2060,0.17260535
C-EEU-LTU,q3,2065,0.1726054
C-EEU-LTU,q3,2070,0.1726054
C-EEU-LTU,q3,2075,0.1726054
C-EEU-LTU,q3,2080,0.1726054
C-EEU-LTU,q3,2085,0.1726054
C-EEU-LTU,q3,2090,0.1726054
C-EEU-LTU,q3,2095,0.1726054
C-EEU-LTU,q3,2100,0.1726054
C-EEU-LVA,q1,2015,0.01517516
C-EEU-LVA,q1,2020,0.021822625
C-EEU-LVA,q1,2025,0.02943059
C-EEU-LVA,q1,2030,0.038820875
C-EEU-LVA,q1,2035,0.05005271
C-EEU-LVA,q1,2040,0.05814595
C-EEU-LVA,q1,2045,0.068032765
C-EEU-LVA,q1,2050,0.075935745
C-EEU-LVA,q1,2055,0.08288150999999999
C-EEU-LVA,q1,2060,0.089822195
C-EEU-LVA,q1,2065,0.09758767
C-EEU-LVA,q1,2070,0.10510082
C-EEU-LVA,q1,2075,0.10971055
C-EEU-LVA,q1,2080,0.11618650999999999
C-EEU-LVA,q1,2085,0.12059790000000001
C-EEU-LVA,q1,2090,0.1254505
C-EEU-LVA,q1,2095,0.12824405
C-EEU-LVA,q1,2100,0.13136730000000002
C-EEU-LVA,q2,2015,0.058820504999999995
C-EEU-LVA,q2,2020,0.08061381000000001
C-EEU-LVA,q2,2025,0.095367235
C-EEU-LVA,q2,2030,0.10890633
C-EEU-LVA,q2,2035,0.11945874499999999
C-EEU-LVA,q2,2040,0.12589615
C-EEU-LVA,q2,2045,0.13150965
C-EEU-LVA,q2,2050,0.13446005
C-EEU-LVA,q2,2055,0.13746865
C-EEU-LVA,q2,2060,0.13892815
C-EEU-LVA,q2,2065,0.1403162
C-EEU-LVA,q2,2070,0.14090685
C-EEU-LVA,q2,2075,0.14135955
C-EEU-LVA,q2,2080,0.14163165
C-EEU-LVA,q2,2085,0.14174065
C-EEU-LVA,q2,2090,0.1418127
C-EEU-LVA,q2,2095,0.14185065
C-EEU-LVA,q2,2100,0.14186949999999998
C-EEU-LVA,q3,2015,0.12833305
C-EEU-LVA,q3,2020,0.13755014999999998
C-EEU-LVA,q3,2025,0.14048919999999998
C-EEU-LVA,q3,2030,0.1415312
C-EEU-LVA,q3,2035,0.1417509
C-EEU-LVA,q3,2040,0.14184765
C-EEU-LVA,q3,2045,0.14187285
C-EEU-LVA,q3,2050,0.14188285
C-EEU-LVA,q3,2055,0.14188584999999998
C-EEU-LVA,q3,2060,0.14188675
C-EEU-LVA,q3,2065,0.1418871
C-EEU-LVA,q3,2070,0.1418872
C-EEU-LVA,q3,2075,0.1418872
C-EEU-LVA,q3,2080,0.1418872
C-EEU-LVA,q3,2085,0.1418872
C-EEU-LVA,q3,2090,0.1418872
C-EEU-LVA,q3,2095,0.1418872
C-EEU-LVA,q3,2100,0.1418872
C-EEU-POL,q1,2015,0.036529865
C-EEU-POL,q1,2020,0.04950474
C-EEU-POL,q1,2025,0.06665782
C-EEU-POL,q1,2030,0.083453105
C-EEU-POL,q1,2035,0.10101402000000001
C-EEU-POL,q1,2040,0.11845796
C-EEU-POL,q1,2045,0.133562585
C-EEU-POL,q1,2050,0.145768825
C-EEU-POL,q1,2055,0.15584135
C-EEU-POL,q1,2060,0.1649003
C-EEU-POL,q1,2065,0.17838094999999998
C-EEU-POL,q1,2070,0.1906538
C-EEU-POL,q1,2075,0.20010034999999998
C-EEU-POL,q1,2080,0.20877980000000002
C-EEU-POL,q1,2085,0.2147802
C-EEU-POL,q1,2090,0.2199555
