region_gea,arch,material,year,urt,value
NAM,mfh,aluminum,2100,rur,2.872777778
NAM,mfh,aluminum,2100,urb,2.62812016
NAM,mfh,aluminum,2100,sub,2.750448969
NAM,mfh,concrete,2015,rur,687.6522222
NAM,mfh,concrete,2015,urb,722.436895
NAM,mfh,concrete,2015,sub,705.0445586000001
NAM,mfh,concrete,2020,rur,687.6522222
NAM,mfh,concrete,2020,urb,722.436895
NAM,mfh,concrete,2020,sub,705.0445586000001
NAM,mfh,concrete,2025,rur,687.6522222
NAM,mfh,concrete,2025,urb,722.436895
NAM,mfh,concrete,2025,sub,705.0445586000001
NAM,mfh,concrete,2030,rur,687.6522222
NAM,mfh,concrete,2030,urb,722.436895
NAM,mfh,concrete,2030,sub,705.0445586000001
NAM,mfh,concrete,2035,rur,687.6522222
NAM,mfh,concrete,2035,urb,722.436895
NAM,mfh,concrete,2035,sub,705.0445586000001
NAM,mfh,concrete,2040,rur,687.6522222
NAM,mfh,concrete,2040,urb,722.436895
NAM,mfh,concrete,2040,sub,705.0445586000001
NAM,mfh,concrete,2045,rur,687.6522222
NAM,mfh,concrete,2045,urb,722.436895
NAM,mfh,concrete,2045,sub,705.0445586000001
NAM,mfh,concrete,2050,rur,687.6522222
NAM,mfh,concrete,2050,urb,722.436895
NAM,mfh,concrete,2050,sub,705.0445586000001
NAM,mfh,concrete,2055,rur,687.6522222
NAM,mfh,concrete,2055,urb,722.436895
NAM,mfh,concrete,2055,sub,705.0445586000001
NAM,mfh,concrete,2060,rur,687.6522222
NAM,mfh,concrete,2060,urb,722.436895
NAM,mfh,concrete,2060,sub,705.0445586000001
NAM,mfh,concrete,2065,rur,687.6522222
NAM,mfh,concrete,2065,urb,722.436895
NAM,mfh,concrete,2065,sub,705.0445586000001
NAM,mfh,concrete,2070,rur,687.6522222
NAM,mfh,concrete,2070,urb,722.436895
NAM,mfh,concrete,2070,sub,705.0445586000001
NAM,mfh,concrete,2075,rur,687.6522222
NAM,mfh,concrete,2075,urb,722.436895
NAM,mfh,concrete,2075,sub,705.0445586000001
NAM,mfh,concrete,2080,rur,687.6522222
NAM,mfh,concrete,2080,urb,722.436895
NAM,mfh,concrete,2080,sub,705.0445586000001
NAM,mfh,concrete,2085,rur,687.6522222
NAM,mfh,concrete,2085,urb,722.436895
NAM,mfh,concrete,2085,sub,705.0445586000001
NAM,mfh,concrete,2090,rur,687.6522222
NAM,mfh,concrete,2090,urb,722.436895
NAM,mfh,concrete,2090,sub,705.0445586000001
NAM,mfh,concrete,2095,rur,687.6522222
NAM,mfh,concrete,2095,urb,722.436895
NAM,mfh,concrete,2095,sub,705.0445586000001
NAM,mfh,concrete,2100,rur,687.6522222
NAM,mfh,concrete,2100,urb,722.436895
NAM,mfh,concrete,2100,sub,705.0445586000001
NAM,mfh,copper,2015,rur,0.243333333
NAM,mfh,copper,2015,urb,0.121241553
NAM,mfh,copper,2015,sub,0.182287443
NAM,mfh,copper,2020,rur,0.243333333
NAM,mfh,copper,2020,urb,0.121241553
NAM,mfh,copper,2020,sub,0.182287443
NAM,mfh,copper,2025,rur,0.243333333
NAM,mfh,copper,2025,urb,0.121241553
NAM,mfh,copper,2025,sub,0.182287443
NAM,mfh,copper,2030,rur,0.243333333
NAM,mfh,copper,2030,urb,0.121241553
NAM,mfh,copper,2030,sub,0.182287443
NAM,mfh,copper,2035,rur,0.243333333
NAM,mfh,copper,2035,urb,0.121241553
NAM,mfh,copper,2035,sub,0.182287443
NAM,mfh,copper,2040,rur,0.243333333
NAM,mfh,copper,2040,urb,0.121241553
NAM,mfh,copper,2040,sub,0.182287443
NAM,mfh,copper,2045,rur,0.243333333
NAM,mfh,copper,2045,urb,0.121241553
NAM,mfh,copper,2045,sub,0.182287443
NAM,mfh,copper,2050,rur,0.243333333
NAM,mfh,copper,2050,urb,0.121241553
NAM,mfh,copper,2050,sub,0.182287443
NAM,mfh,copper,2055,rur,0.243333333
NAM,mfh,copper,2055,urb,0.121241553
NAM,mfh,copper,2055,sub,0.182287443
NAM,mfh,copper,2060,rur,0.243333333
NAM,mfh,copper,2060,urb,0.121241553
NAM,mfh,copper,2060,sub,0.182287443
NAM,mfh,copper,2065,rur,0.243333333
NAM,mfh,copper,2065,urb,0.121241553
NAM,mfh,copper,2065,sub,0.182287443
NAM,mfh,copper,2070,rur,0.243333333
NAM,mfh,copper,2070,urb,0.121241553
NAM,mfh,copper,2070,sub,0.182287443
NAM,mfh,copper,2075,rur,0.243333333
NAM,mfh,copper,2075,urb,0.121241553
NAM,mfh,copper,2075,sub,0.182287443
NAM,mfh,copper,2080,rur,0.243333333
NAM,mfh,copper,2080,urb,0.121241553
NAM,mfh,copper,2080,sub,0.182287443
NAM,mfh,copper,2085,rur,0.243333333
NAM,mfh,copper,2085,urb,0.121241553
NAM,mfh,copper,2085,sub,0.182287443
NAM,mfh,copper,2090,rur,0.243333333
NAM,mfh,copper,2090,urb,0.121241553
NAM,mfh,copper,2090,sub,0.182287443
NAM,mfh,copper,2095,rur,0.243333333
NAM,mfh,copper,2095,urb,0.121241553
NAM,mfh,copper,2095,sub,0.182287443
NAM,mfh,copper,2100,rur,0.243333333
NAM,mfh,copper,2100,urb,0.121241553
NAM,mfh,copper,2100,sub,0.182287443
NAM,mfh,glass,2015,rur,5.742222222
NAM,mfh,glass,2015,urb,4.426945856
NAM,mfh,glass,2015,sub,5.084584038999999
NAM,mfh,glass,2020,rur,5.742222222
NAM,mfh,glass,2020,urb,4.426945856
NAM,mfh,glass,2020,sub,5.084584038999999
NAM,mfh,glass,2025,rur,5.742222222
NAM,mfh,glass,2025,urb,4.426945856
NAM,mfh,glass,2025,sub,5.084584038999999
NAM,mfh,glass,2030,rur,5.742222222
NAM,mfh,glass,2030,urb,4.426945856
NAM,mfh,glass,2030,sub,5.084584038999999
NAM,mfh,glass,2035,rur,5.742222222
NAM,mfh,glass,2035,urb,4.426945856
NAM,mfh,glass,2035,sub,5.084584038999999
NAM,mfh,glass,2040,rur,5.742222222
NAM,mfh,glass,2040,urb,4.426945856
NAM,mfh,glass,2040,sub,5.084584038999999
NAM,mfh,glass,2045,rur,5.742222222
NAM,mfh,glass,2045,urb,4.426945856
NAM,mfh,glass,2045,sub,5.084584038999999
NAM,mfh,glass,2050,rur,5.742222222
NAM,mfh,glass,2050,urb,4.426945856
NAM,mfh,glass,2050,sub,5.084584038999999
NAM,mfh,glass,2055,rur,5.742222222
NAM,mfh,glass,2055,urb,4.426945856
NAM,mfh,glass,2055,sub,5.084584038999999
NAM,mfh,glass,2060,rur,5.742222222
NAM,mfh,glass,2060,urb,4.426945856
NAM,mfh,glass,2060,sub,5.084584038999999
NAM,mfh,glass,2065,rur,5.742222222
NAM,mfh,glass,2065,urb,4.426945856
NAM,mfh,glass,2065,sub,5.084584038999999
NAM,mfh,glass,2070,rur,5.742222222
NAM,mfh,glass,2070,urb,4.426945856
NAM,mfh,glass,2070,sub,5.084584038999999
NAM,mfh,glass,2075,rur,5.742222222
NAM,mfh,glass,2075,urb,4.426945856
NAM,mfh,glass,2075,sub,5.084584038999999
NAM,mfh,glass,2080,rur,5.742222222
NAM,mfh,glass,2080,urb,4.426945856
NAM,mfh,glass,2080,sub,5.084584038999999
NAM,mfh,glass,2085,rur,5.742222222
NAM,mfh,glass,2085,urb,4.426945856
NAM,mfh,glass,2085,sub,5.084584038999999
