year,region_bld,clim,arch,mat,urt,Occupied conventional dwellings,Unoccupied conventional dwellings
2015,C-WEU-FIN,Zone_7A Very cold Humid,sfh,perm,rur,218871.0,26734.0
2015,C-WEU-FIN,Zone_7A Very cold Humid,sfh,perm,urb,338826.0,31026.999999999996
2015,C-WEU-FRA,Zone_0A Extremely hot Humid,mfh,perm,urb,0.0,0.0
2015,C-WEU-FRA,Zone_0A Extremely hot Humid,sfh,perm,urb,0.0,0.0
2015,C-WEU-FRA,Zone_1A Very hot Humid,mfh,perm,urb,188564.99999999997,59689.99999999999
2015,C-WEU-FRA,Zone_1A Very hot Humid,sfh,perm,urb,251303.0,66963.0
2015,C-WEU-FRA,Zone_2A Hot Humid,mfh,perm,urb,117395.0,18914.999999999996
2015,C-WEU-FRA,Zone_2A Hot Humid,sfh,perm,urb,227789.0,28327.999999999996
2015,C-WEU-FRA,Zone_3A Warm Humid,mfh,perm,rur,207817.0,104707.99999999999
2015,C-WEU-FRA,Zone_3A Warm Humid,mfh,perm,urb,1982804.0,638602.0
2015,C-WEU-FRA,Zone_3A Warm Humid,sfh,perm,rur,732310.0,190983.0
2015,C-WEU-FRA,Zone_3A Warm Humid,sfh,perm,urb,1701508.0,380907.0
2015,C-WEU-FRA,Zone_3C Warm Marine,mfh,perm,urb,444951.0,226021.0
2015,C-WEU-FRA,Zone_3C Warm Marine,sfh,perm,urb,77951.99999999999,37069.0
2015,C-WEU-FRA,Zone_4A Mixed Humid,mfh,perm,rur,1625948.9999999998,580492.0
2015,C-WEU-FRA,Zone_4A Mixed Humid,mfh,perm,urb,8350974.0,1436102.0
2015,C-WEU-FRA,Zone_4A Mixed Humid,sfh,perm,rur,4998853.0,1253180.0
2015,C-WEU-FRA,Zone_4A Mixed Humid,sfh,perm,urb,7010586.0,815395.0
2015,C-WEU-FRA,Zone_4C Mixed Marine,mfh,perm,rur,83786.0,58350.0
2015,C-WEU-FRA,Zone_4C Mixed Marine,sfh,perm,rur,79275.0,45760.0
2015,C-WEU-FRA,Zone_5A Cool Humid,mfh,perm,rur,195559.99999999997,73681.0
2015,C-WEU-FRA,Zone_5A Cool Humid,mfh,perm,urb,699831.0,205365.0
2015,C-WEU-FRA,Zone_5A Cool Humid,sfh,perm,rur,496192.0,161842.0
2015,C-WEU-FRA,Zone_5A Cool Humid,sfh,perm,urb,665023.0,96103.0
2015,C-WEU-FRA,Zone_7A Very cold Humid,mfh,perm,urb,113723.0,121260.0
2015,C-WEU-FRA,Zone_7A Very cold Humid,sfh,perm,urb,90244.0,32175.0
2015,C-WEU-GRC,Zone_3A Warm Humid,mfh,perm,rur,427247.0,354535.0
2015,C-WEU-GRC,Zone_3A Warm Humid,mfh,perm,urb,1750925.0,535886.0
2015,C-WEU-GRC,Zone_3A Warm Humid,sfh,perm,rur,395115.0,424655.0
2015,C-WEU-GRC,Zone_3A Warm Humid,sfh,perm,urb,373519.9999999999,272845.0
2015,C-WEU-GRC,Zone_4A Mixed Humid,mfh,perm,rur,173645.0,88215.0
2015,C-WEU-GRC,Zone_4A Mixed Humid,mfh,perm,urb,654629.0,232439.0
2015,C-WEU-GRC,Zone_4A Mixed Humid,sfh,perm,rur,181620.0,144335.0
2015,C-WEU-GRC,Zone_4A Mixed Humid,sfh,perm,urb,239708.99999999997,161133.0
2015,C-WEU-GRC,Zone_4C Mixed Marine,mfh,perm,urb,25767.0,7278.0
2015,C-WEU-GRC,Zone_4C Mixed Marine,sfh,perm,urb,15620.999999999996,7576.0
2015,C-WEU-GRC,Zone_5A Cool Humid,mfh,perm,rur,8108.999999999999,4230.999999999999
2015,C-WEU-GRC,Zone_5A Cool Humid,mfh,perm,urb,11217.0,5122.0
2015,C-WEU-GRC,Zone_5A Cool Humid,sfh,perm,rur,9089.0,6072.0
2015,C-WEU-GRC,Zone_5A Cool Humid,sfh,perm,urb,7256.999999999999,4363.0
2015,C-WEU-GRC,Zone_5C Cool Marine,mfh,perm,urb,26795.0,16119.000000000002
2015,C-WEU-GRC,Zone_5C Cool Marine,sfh,perm,urb,18568.999999999996,12452.999999999998
2015,C-WEU-IRL,Zone_4A Mixed Humid,mfh,perm,rur,27475.999999999985,7202.999999999996
2015,C-WEU-IRL,Zone_4A Mixed Humid,sfh,perm,rur,241035.0,41993.0
2015,C-WEU-IRL,Zone_5A Cool Humid,mfh,perm,rur,65044.99999999997,23642.999999999996
2015,C-WEU-IRL,Zone_5A Cool Humid,mfh,perm,urb,171203.99999999994,26534.0
2015,C-WEU-IRL,Zone_5A Cool Humid,sfh,perm,rur,724243.9999999999,132098.0
2015,C-WEU-IRL,Zone_5A Cool Humid,sfh,perm,urb,603468.0,44122.0
2015,C-WEU-ITA,Zone_3A Warm Humid,mfh,perm,rur,781235.0,397029.0
2015,C-WEU-ITA,Zone_3A Warm Humid,mfh,perm,urb,8415793.0,3095047.0
2015,C-WEU-ITA,Zone_3A Warm Humid,sfh,perm,rur,330587.99999999994,183329.0
2015,C-WEU-ITA,Zone_3A Warm Humid,sfh,perm,urb,1588800.9999999995,921094.9999999999
2015,C-WEU-ITA,Zone_4A Mixed Humid,mfh,perm,rur,649829.0,340871.0
2015,C-WEU-ITA,Zone_4A Mixed Humid,mfh,perm,urb,7938095.0,2050940.0
2015,C-WEU-ITA,Zone_4A Mixed Humid,sfh,perm,rur,289988.0,149315.0
2015,C-WEU-ITA,Zone_4A Mixed Humid,sfh,perm,urb,1491059.9999999995,474493.99999999994
2015,C-WEU-ITA,Zone_4C Mixed Marine,mfh,perm,rur,24726.0,21178.0
2015,C-WEU-ITA,Zone_4C Mixed Marine,mfh,perm,urb,1332622.0,631663.0
2015,C-WEU-ITA,Zone_4C Mixed Marine,sfh,perm,rur,10593.999999999998,11087.0
2015,C-WEU-ITA,Zone_4C Mixed Marine,sfh,perm,urb,170424.99999999997,114583.99999999997
2015,C-WEU-ITA,Zone_5A Cool Humid,mfh,perm,urb,1328006.0,417198.0
2015,C-WEU-ITA,Zone_5A Cool Humid,sfh,perm,urb,317475.99999999994,109419.99999999999
2015,C-WEU-ITA,Zone_5C Cool Marine,mfh,perm,urb,183918.0,81959.0
2015,C-WEU-ITA,Zone_5C Cool Marine,sfh,perm,urb,70063.0,36322.99999999999
2015,C-WEU-ITA,Zone_6A Cold Humid,mfh,perm,urb,49798.0,63728.0
2015,C-WEU-ITA,Zone_6A Cold Humid,sfh,perm,urb,9817.999999999998,12219.999999999998
2015,C-WEU-ITA,Zone_7A Very cold Humid,mfh,perm,rur,68192.0,68741.0
2015,C-WEU-ITA,Zone_7A Very cold Humid,mfh,perm,urb,515764.0,307583.0
2015,C-WEU-ITA,Zone_7A Very cold Humid,sfh,perm,rur,24222.999999999993,17215.0
2015,C-WEU-ITA,Zone_7A Very cold Humid,sfh,perm,urb,99042.99999999999,76752.99999999999
2015,C-WEU-LUX,Zone_5A Cool Humid,mfh,perm,urb,129703.0,15101.000000000002
2015,C-WEU-LUX,Zone_5A Cool Humid,sfh,perm,urb,118607.0,235.99999999999883
2015,C-WEU-MLT,Zone_3A Warm Humid,mfh,perm,urb,140612.0,0.0
2015,C-WEU-MLT,Zone_3A Warm Humid,sfh,perm,urb,75077.0,0.0
2015,C-WEU-NLD,Zone_4A Mixed Humid,mfh,perm,rur,6754.999999999999,1099.9999999999998
2015,C-WEU-NLD,Zone_4A Mixed Humid,mfh,perm,urb,2140735.0,147468.0
2015,C-WEU-NLD,Zone_4A Mixed Humid,sfh,perm,rur,41662.0,4647.0
2015,C-WEU-NLD,Zone_4A Mixed Humid,sfh,perm,urb,3450573.0,97505.0
