region_bld,clim,urt,arch,eneff,region_nuts,value
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRF11,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRF11,1.0
C-WEU-FRA,Zone_5A Cool Humid,rur,sfh,sr12_low,C-WEU-FRA-FRF12,1.0
C-WEU-FRA,Zone_5A Cool Humid,urb,sfh,sr12_low,C-WEU-FRA-FRF12,1.0
C-WEU-FRA,Zone_5A Cool Humid,rur,sfh,sr12_low,C-WEU-FRA-FRF21,1.0
C-WEU-FRA,Zone_5A Cool Humid,urb,sfh,sr12_low,C-WEU-FRA-FRF21,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRF22,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRF22,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRF23,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRF23,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRF24,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRF24,1.0
C-WEU-FRA,Zone_5A Cool Humid,rur,sfh,sr12_low,C-WEU-FRA-FRF31,1.0
C-WEU-FRA,Zone_5A Cool Humid,urb,sfh,sr12_low,C-WEU-FRA-FRF31,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRF32,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRF32,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRF33,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRF33,1.0
C-WEU-FRA,Zone_5A Cool Humid,rur,sfh,sr12_low,C-WEU-FRA-FRF34,1.0
C-WEU-FRA,Zone_5A Cool Humid,urb,sfh,sr12_low,C-WEU-FRA-FRF34,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRG01,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRG01,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRG02,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRG02,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRG03,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRG03,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRG04,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRG04,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRG05,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRG05,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRH01,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRH01,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRH02,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRH02,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRH03,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRH03,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRH04,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRH04,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRI11,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRI11,1.0
C-WEU-FRA,Zone_3A Warm Humid,rur,sfh,sr12_low,C-WEU-FRA-FRI12,1.0
C-WEU-FRA,Zone_3A Warm Humid,urb,sfh,sr12_low,C-WEU-FRA-FRI12,1.0
C-WEU-FRA,Zone_3A Warm Humid,rur,sfh,sr12_low,C-WEU-FRA-FRI13,1.0
C-WEU-FRA,Zone_3A Warm Humid,urb,sfh,sr12_low,C-WEU-FRA-FRI13,1.0
C-WEU-FRA,Zone_3A Warm Humid,rur,sfh,sr12_low,C-WEU-FRA-FRI14,1.0
C-WEU-FRA,Zone_3A Warm Humid,urb,sfh,sr12_low,C-WEU-FRA-FRI14,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRI15,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRI15,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRI21,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRI21,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRI22,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRI22,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRI23,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRI23,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRI31,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRI31,1.0
C-WEU-FRA,Zone_3A Warm Humid,rur,sfh,sr12_low,C-WEU-FRA-FRI32,1.0
C-WEU-FRA,Zone_3A Warm Humid,urb,sfh,sr12_low,C-WEU-FRA-FRI32,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRI33,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRI33,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRI34,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRI34,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRJ11,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRJ11,1.0
C-WEU-FRA,Zone_3A Warm Humid,rur,sfh,sr12_low,C-WEU-FRA-FRJ12,1.0
C-WEU-FRA,Zone_3A Warm Humid,urb,sfh,sr12_low,C-WEU-FRA-FRJ12,1.0
C-WEU-FRA,Zone_3A Warm Humid,rur,sfh,sr12_low,C-WEU-FRA-FRJ13,1.0
C-WEU-FRA,Zone_3A Warm Humid,urb,sfh,sr12_low,C-WEU-FRA-FRJ13,1.0
C-WEU-FRA,Zone_5A Cool Humid,rur,sfh,sr12_low,C-WEU-FRA-FRJ14,1.0
C-WEU-FRA,Zone_5A Cool Humid,urb,sfh,sr12_low,C-WEU-FRA-FRJ14,1.0
C-WEU-FRA,Zone_3A Warm Humid,rur,sfh,sr12_low,C-WEU-FRA-FRJ15,1.0
C-WEU-FRA,Zone_3A Warm Humid,urb,sfh,sr12_low,C-WEU-FRA-FRJ15,1.0
C-WEU-FRA,Zone_5A Cool Humid,rur,sfh,sr12_low,C-WEU-FRA-FRJ21,1.0
C-WEU-FRA,Zone_5A Cool Humid,urb,sfh,sr12_low,C-WEU-FRA-FRJ21,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRJ22,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRJ22,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRJ23,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRJ23,1.0
C-WEU-FRA,Zone_3A Warm Humid,rur,sfh,sr12_low,C-WEU-FRA-FRJ24,1.0
C-WEU-FRA,Zone_3A Warm Humid,urb,sfh,sr12_low,C-WEU-FRA-FRJ24,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRJ25,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRJ25,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRJ26,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRJ26,1.0
C-WEU-FRA,Zone_3A Warm Humid,rur,sfh,sr12_low,C-WEU-FRA-FRJ27,1.0
C-WEU-FRA,Zone_3A Warm Humid,urb,sfh,sr12_low,C-WEU-FRA-FRJ27,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRJ28,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRJ28,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRK11,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRK11,1.0
C-WEU-FRA,Zone_5A Cool Humid,rur,sfh,sr12_low,C-WEU-FRA-FRK12,1.0
C-WEU-FRA,Zone_5A Cool Humid,urb,sfh,sr12_low,C-WEU-FRA-FRK12,1.0
C-WEU-FRA,Zone_5A Cool Humid,rur,sfh,sr12_low,C-WEU-FRA-FRK13,1.0
C-WEU-FRA,Zone_5A Cool Humid,urb,sfh,sr12_low,C-WEU-FRA-FRK13,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRK14,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRK14,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRK21,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRK21,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRK22,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRK22,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRK23,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRK23,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRK24,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRK24,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRK25,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRK25,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRK26,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRK26,1.0
C-WEU-FRA,Zone_7A Very cold Humid,rur,sfh,sr12_low,C-WEU-FRA-FRK27,1.0
C-WEU-FRA,Zone_7A Very cold Humid,urb,sfh,sr12_low,C-WEU-FRA-FRK27,1.0
C-WEU-FRA,Zone_5A Cool Humid,rur,sfh,sr12_low,C-WEU-FRA-FRK28,1.0
C-WEU-FRA,Zone_5A Cool Humid,urb,sfh,sr12_low,C-WEU-FRA-FRK28,1.0
C-WEU-FRA,Zone_4C Mixed Marine,rur,sfh,sr12_low,C-WEU-FRA-FRL01,1.0
C-WEU-FRA,Zone_4C Mixed Marine,urb,sfh,sr12_low,C-WEU-FRA-FRL01,1.0
C-WEU-FRA,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-WEU-FRA-FRL02,1.0
C-WEU-FRA,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-WEU-FRA-FRL02,1.0
C-WEU-FRA,Zone_3C Warm Marine,rur,sfh,sr12_low,C-WEU-FRA-FRL03,1.0
C-WEU-FRA,Zone_3C Warm Marine,urb,sfh,sr12_low,C-WEU-FRA-FRL03,1.0
C-WEU-FRA,Zone_3A Warm Humid,rur,sfh,sr12_low,C-WEU-FRA-FRL04,1.0
C-WEU-FRA,Zone_3A Warm Humid,urb,sfh,sr12_low,C-WEU-FRA-FRL04,1.0
C-WEU-FRA,Zone_3A Warm Humid,rur,sfh,sr12_low,C-WEU-FRA-FRL05,1.0
C-WEU-FRA,Zone_3A Warm Humid,urb,sfh,sr12_low,C-WEU-FRA-FRL05,1.0
C-WEU-FRA,Zone_3A Warm Humid,rur,sfh,sr12_low,C-WEU-FRA-FRL06,1.0
C-WEU-FRA,Zone_3A Warm Humid,urb,sfh,sr12_low,C-WEU-FRA-FRL06,1.0
C-WEU-FRA,Zone_3A Warm Humid,rur,sfh,sr12_low,C-WEU-FRA-FRM01,1.0
C-WEU-FRA,Zone_3A Warm Humid,urb,sfh,sr12_low,C-WEU-FRA-FRM01,1.0
C-WEU-FRA,Zone_4C Mixed Marine,rur,sfh,sr12_low,C-WEU-FRA-FRM02,1.0
C-WEU-FRA,Zone_4C Mixed Marine,urb,sfh,sr12_low,C-WEU-FRA-FRM02,1.0
C-WEU-FRA,Zone_1A Very hot Humid,rur,sfh,sr12_low,C-WEU-FRA-FRY10,1.0
C-WEU-FRA,Zone_1A Very hot Humid,urb,sfh,sr12_low,C-WEU-FRA-FRY10,1.0
C-WEU-FRA,Zone_1A Very hot Humid,rur,sfh,sr12_low,C-WEU-FRA-FRY20,1.0
C-WEU-FRA,Zone_1A Very hot Humid,urb,sfh,sr12_low,C-WEU-FRA-FRY20,1.0
C-WEU-FRA,Zone_1A Very hot Humid,rur,sfh,sr12_low,C-WEU-FRA-FRY30,1.0
C-WEU-FRA,Zone_1A Very hot Humid,urb,sfh,sr12_low,C-WEU-FRA-FRY30,1.0
C-WEU-FRA,Zone_2A Hot Humid,rur,sfh,sr12_low,C-WEU-FRA-FRY40,1.0
C-WEU-FRA,Zone_2A Hot Humid,urb,sfh,sr12_low,C-WEU-FRA-FRY40,1.0
C-WEU-FRA,Zone_0A Extremely hot Humid,rur,sfh,sr12_low,C-WEU-FRA-FRY50,1.0
C-WEU-FRA,Zone_0A Extremely hot Humid,urb,sfh,sr12_low,C-WEU-FRA-FRY50,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR021,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR021,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR022,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR022,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR023,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR023,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR024,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR024,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR025,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR025,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR026,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR026,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR027,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR027,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR028,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR028,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR031,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR031,1.0
C-EEU-HRV,Zone_5A Cool Humid,rur,sfh,sr12_low,C-EEU-HRV-HR032,1.0
C-EEU-HRV,Zone_5A Cool Humid,urb,sfh,sr12_low,C-EEU-HRV-HR032,1.0
C-EEU-HRV,Zone_4C Mixed Marine,rur,sfh,sr12_low,C-EEU-HRV-HR033,1.0
C-EEU-HRV,Zone_4C Mixed Marine,urb,sfh,sr12_low,C-EEU-HRV-HR033,1.0
C-EEU-HRV,Zone_3A Warm Humid,rur,sfh,sr12_low,C-EEU-HRV-HR034,1.0
C-EEU-HRV,Zone_3A Warm Humid,urb,sfh,sr12_low,C-EEU-HRV-HR034,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR035,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR035,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR036,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR036,1.0
C-EEU-HRV,Zone_3A Warm Humid,rur,sfh,sr12_low,C-EEU-HRV-HR037,1.0
C-EEU-HRV,Zone_3A Warm Humid,urb,sfh,sr12_low,C-EEU-HRV-HR037,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR050,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR050,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR061,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR061,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR062,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR062,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR063,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR063,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR064,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR064,1.0
C-EEU-HRV,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HRV-HR065,1.0
C-EEU-HRV,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HRV-HR065,1.0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HUN-HU110,1.0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HUN-HU110,1.0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HUN-HU120,1.0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HUN-HU120,1.0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HUN-HU211,1.0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HUN-HU211,1.0
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,sr12_low,C-EEU-HUN-HU212,1.0
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,sr12_low,C-EEU-HUN-HU212,1.0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HUN-HU213,1.0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HUN-HU213,1.0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HUN-HU221,1.0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HUN-HU221,1.0
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,sr12_low,C-EEU-HUN-HU222,1.0
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,sr12_low,C-EEU-HUN-HU222,1.0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HUN-HU223,1.0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HUN-HU223,1.0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HUN-HU231,1.0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HUN-HU231,1.0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HUN-HU232,1.0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HUN-HU232,1.0
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,sr12_low,C-EEU-HUN-HU233,1.0
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,sr12_low,C-EEU-HUN-HU233,1.0
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,sr12_low,C-EEU-HUN-HU311,1.0
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,sr12_low,C-EEU-HUN-HU311,1.0
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,sr12_low,C-EEU-HUN-HU312,1.0
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,sr12_low,C-EEU-HUN-HU312,1.0
