region_bld,region_gea,mat,arch,yr_con,bld_age,value
C-WEU-AUT,WEU,perm,sfh,1980,p2,0.05070072796229616
C-WEU-AUT,WEU,perm,sfh,1985,p2,0.039152823010252615
C-WEU-AUT,WEU,perm,sfh,1990,p2,0.052751102718075066
C-WEU-AUT,WEU,perm,sfh,1995,p3,0.07504783275704806
C-WEU-AUT,WEU,perm,sfh,2000,p3,0.05396898188625533
C-WEU-AUT,WEU,perm,sfh,2005,p3,0.058328475604969954
C-WEU-AUT,WEU,perm,sfh,2010,p3,0.04917519753867075
C-WEU-AUT,WEU,perm,sfh,2015,p3,0.04919276029294184
C-WEU-AUT,WEU,perm,sfh,2020,p3,0.06158529114473329
C-WEU-BEL,WEU,perm,mfh,1945,p1,0.3361322078721733
C-WEU-BEL,WEU,perm,mfh,1960,p2,0.1105454512019295
C-WEU-BEL,WEU,perm,mfh,1965,p2,0.047487899092603834
C-WEU-BEL,WEU,perm,mfh,1970,p2,0.06425391959189769
C-WEU-BEL,WEU,perm,mfh,1975,p2,0.06455922257113532
C-WEU-BEL,WEU,perm,mfh,1980,p2,0.0591920255223192
C-WEU-BEL,WEU,perm,mfh,1985,p2,0.028779581636031296
C-WEU-BEL,WEU,perm,mfh,1990,p2,0.03935548788385073
C-WEU-BEL,WEU,perm,mfh,1995,p3,0.04351767406546579
C-WEU-BEL,WEU,perm,mfh,2000,p3,0.04295046691686096
C-WEU-BEL,WEU,perm,mfh,2005,p3,0.03765694936547954
C-WEU-BEL,WEU,perm,mfh,2010,p3,0.04368283280275111
C-WEU-BEL,WEU,perm,mfh,2015,p3,0.042272027798984424
C-WEU-BEL,WEU,perm,mfh,2020,p3,0.039614253678516786
C-WEU-BEL,WEU,perm,sfh,1945,p1,0.3361322078721733
C-WEU-BEL,WEU,perm,sfh,1960,p2,0.1105454512019295
C-WEU-BEL,WEU,perm,sfh,1965,p2,0.047487899092603834
C-WEU-BEL,WEU,perm,sfh,1970,p2,0.06425391959189769
C-WEU-BEL,WEU,perm,sfh,1975,p2,0.06455922257113532
