region_bld,urt,arch,year,value
C-WEU-DNK,rur,mfh,2035,1.7104981823226986
C-WEU-DNK,rur,mfh,2040,1.7108292238008265
C-WEU-DNK,rur,mfh,2045,1.711028352788036
C-WEU-DNK,rur,mfh,2050,1.7110596537621925
C-WEU-DNK,rur,mfh,2055,1.7108830401071107
C-WEU-DNK,rur,mfh,2060,1.7105093943786676
C-WEU-DNK,rur,mfh,2065,1.7099543242497717
C-WEU-DNK,rur,mfh,2070,1.709255535968316
C-WEU-DNK,rur,mfh,2075,1.7084660836221925
C-WEU-DNK,rur,mfh,2080,1.7076327458315106
C-WEU-DNK,rur,mfh,2085,1.706802839244259
C-WEU-DNK,rur,mfh,2090,1.7059964212034575
C-WEU-DNK,rur,mfh,2095,1.7052172126511635
C-WEU-DNK,rur,mfh,2100,1.704449906898085
C-WEU-DNK,rur,sfh,2015,2.5667578030681453
C-WEU-DNK,rur,sfh,2020,2.5667578030681453
C-WEU-DNK,rur,sfh,2025,2.568795713415819
C-WEU-DNK,rur,sfh,2030,2.570433549547103
C-WEU-DNK,rur,sfh,2035,2.5713256153769755
C-WEU-DNK,rur,sfh,2040,2.5718473436190505
C-WEU-DNK,rur,sfh,2045,2.572199824640211
C-WEU-DNK,rur,sfh,2050,2.572314785736105
C-WEU-DNK,rur,sfh,2055,2.572117035094959
C-WEU-DNK,rur,sfh,2060,2.5716174830410186
C-WEU-DNK,rur,sfh,2065,2.57083493403231
C-WEU-DNK,rur,sfh,2070,2.5698262892247046
C-WEU-DNK,rur,sfh,2075,2.5686766593056243
C-WEU-DNK,rur,sfh,2080,2.567468017440121
C-WEU-DNK,rur,sfh,2085,2.56627922770726
C-WEU-DNK,rur,sfh,2090,2.565135196778446
C-WEU-DNK,rur,sfh,2095,2.5640341960867064
C-WEU-DNK,rur,sfh,2100,2.5629481929908344
C-WEU-DNK,urb,mfh,2015,1.7074737659485968
C-WEU-DNK,urb,mfh,2020,1.7074737659485968
C-WEU-DNK,urb,mfh,2025,1.7088226089861958
C-WEU-DNK,urb,mfh,2030,1.7099043563289618
C-WEU-DNK,urb,mfh,2035,1.7104981823226986
C-WEU-DNK,urb,mfh,2040,1.7108292238008265
C-WEU-DNK,urb,mfh,2045,1.7110283527880359
C-WEU-DNK,urb,mfh,2050,1.7110596537621923
C-WEU-DNK,urb,mfh,2055,1.7108830401071107
C-WEU-DNK,urb,mfh,2060,1.7105093943786676
C-WEU-DNK,urb,mfh,2065,1.7099543242497712
C-WEU-DNK,urb,mfh,2070,1.709255535968316
C-WEU-DNK,urb,mfh,2075,1.7084660836221925
C-WEU-DNK,urb,mfh,2080,1.7076327458315104
C-WEU-DNK,urb,mfh,2085,1.7068028392442587
C-WEU-DNK,urb,mfh,2090,1.7059964212034575
C-WEU-DNK,urb,mfh,2095,1.7052172126511633
C-WEU-DNK,urb,mfh,2100,1.704449906898085
C-WEU-DNK,urb,sfh,2015,2.5667578030681457
C-WEU-DNK,urb,sfh,2020,2.5667578030681457
C-WEU-DNK,urb,sfh,2025,2.568795713415819
C-WEU-DNK,urb,sfh,2030,2.570433549547103
C-WEU-DNK,urb,sfh,2035,2.571325615376975
C-WEU-DNK,urb,sfh,2040,2.5718473436190505
C-WEU-DNK,urb,sfh,2045,2.572199824640211
C-WEU-DNK,urb,sfh,2050,2.5723147857361046
C-WEU-DNK,urb,sfh,2055,2.5721170350949594
C-WEU-DNK,urb,sfh,2060,2.5716174830410186
C-WEU-DNK,urb,sfh,2065,2.570834934032309
C-WEU-DNK,urb,sfh,2070,2.569826289224704
C-WEU-DNK,urb,sfh,2075,2.5686766593056243
C-WEU-DNK,urb,sfh,2080,2.5674680174401208
C-WEU-DNK,urb,sfh,2085,2.56627922770726
C-WEU-DNK,urb,sfh,2090,2.565135196778446
C-WEU-DNK,urb,sfh,2095,2.5640341960867064
C-WEU-DNK,urb,sfh,2100,2.562948192990834
C-WEU-ESP,rur,mfh,2015,2.496162609562842
C-WEU-ESP,rur,mfh,2020,2.496162609562842
C-WEU-ESP,rur,mfh,2025,2.498172041832199
C-WEU-ESP,rur,mfh,2030,2.499818469926848
C-WEU-ESP,rur,mfh,2035,2.5013364156340936
C-WEU-ESP,rur,mfh,2040,2.5027710660135423
C-WEU-ESP,rur,mfh,2045,2.504147907434537
C-WEU-ESP,rur,mfh,2050,2.505480835952216
C-WEU-ESP,rur,mfh,2055,2.5067835076404203
C-WEU-ESP,rur,mfh,2060,2.5080489417488057
C-WEU-ESP,rur,mfh,2065,2.5092523724067264
C-WEU-ESP,rur,mfh,2070,2.5103597269431415
C-WEU-ESP,rur,mfh,2075,2.511332148757657
C-WEU-ESP,rur,mfh,2080,2.5121329114654913
C-WEU-ESP,rur,mfh,2085,2.5127767232127427
C-WEU-ESP,rur,mfh,2090,2.513327412453342
C-WEU-ESP,rur,mfh,2095,2.5138439350508817
C-WEU-ESP,rur,mfh,2100,2.5143532634617856
C-WEU-ESP,rur,sfh,2015,2.6646415876620964
C-WEU-ESP,rur,sfh,2020,2.6646415876620964
C-WEU-ESP,rur,sfh,2025,2.6696129025725353
C-WEU-ESP,rur,sfh,2030,2.6736312603870878
C-WEU-ESP,rur,sfh,2035,2.677338464249437
C-WEU-ESP,rur,sfh,2040,2.680826041470043
C-WEU-ESP,rur,sfh,2045,2.6841746050263717
C-WEU-ESP,rur,sfh,2050,2.6874566915866787
C-WEU-ESP,rur,sfh,2055,2.6907043128813855
C-WEU-ESP,rur,sfh,2060,2.693874630866275
C-WEU-ESP,rur,sfh,2065,2.696886091258042
C-WEU-ESP,rur,sfh,2070,2.699664073805448
C-WEU-ESP,rur,sfh,2075,2.70214825284845
C-WEU-ESP,rur,sfh,2080,2.704280632427347
C-WEU-ESP,rur,sfh,2085,2.7060667802999476
C-WEU-ESP,rur,sfh,2090,2.7076020811750943
C-WEU-ESP,rur,sfh,2095,2.7089914492701426
C-WEU-ESP,rur,sfh,2100,2.710303481873445
C-WEU-ESP,urb,mfh,2015,2.510639014655353
C-WEU-ESP,urb,mfh,2020,2.510639014655353
C-WEU-ESP,urb,mfh,2025,2.512336039213547
C-WEU-ESP,urb,mfh,2030,2.5137316889394303
C-WEU-ESP,urb,mfh,2035,2.515010567530238
C-WEU-ESP,urb,mfh,2040,2.5162065479778124
C-WEU-ESP,urb,mfh,2045,2.5173411197657094
C-WEU-ESP,urb,mfh,2050,2.5184306164604973
C-WEU-ESP,urb,mfh,2055,2.5194913548243076
C-WEU-ESP,urb,mfh,2060,2.5205187587854674
C-WEU-ESP,urb,mfh,2065,2.521491232613703
C-WEU-ESP,urb,mfh,2070,2.522380444823561
C-WEU-ESP,urb,mfh,2075,2.5231564881756183
C-WEU-ESP,urb,mfh,2080,2.5237953226153977
C-WEU-ESP,urb,mfh,2085,2.5243147315934884
C-WEU-ESP,urb,mfh,2090,2.524769334706354
C-WEU-ESP,urb,mfh,2095,2.525205251432351
C-WEU-ESP,urb,mfh,2100,2.525640114747446
C-WEU-ESP,urb,sfh,2015,2.683606529758723
C-WEU-ESP,urb,sfh,2020,2.683606529758723
C-WEU-ESP,urb,sfh,2025,2.6880732863917247
C-WEU-ESP,urb,sfh,2030,2.691667398225647
C-WEU-ESP,urb,sfh,2035,2.694960856475582
C-WEU-ESP,urb,sfh,2040,2.698028593517649
C-WEU-ESP,urb,sfh,2045,2.700945033774102
C-WEU-ESP,urb,sfh,2050,2.703786470623859
C-WEU-ESP,urb,sfh,2055,2.706588455536917
C-WEU-ESP,urb,sfh,2060,2.7093127889767694
C-WEU-ESP,urb,sfh,2065,2.7118875401813254
C-WEU-ESP,urb,sfh,2070,2.7142495110143003
C-WEU-ESP,urb,sfh,2075,2.7163494209215004
C-WEU-ESP,urb,sfh,2080,2.718147440796441
C-WEU-ESP,urb,sfh,2085,2.719653898404344
C-WEU-ESP,urb,sfh,2090,2.720950914028524
C-WEU-ESP,urb,sfh,2095,2.7221247195097686
C-WEU-ESP,urb,sfh,2100,2.7232297700208195
C-WEU-FIN,rur,mfh,2015,1.623154407366921
C-WEU-FIN,rur,mfh,2020,1.623154407366921
C-WEU-FIN,rur,mfh,2025,1.6246315028941947
C-WEU-FIN,rur,mfh,2030,1.6259197952152487
C-WEU-FIN,rur,mfh,2035,1.627118108601671
C-WEU-FIN,rur,mfh,2040,1.628246340839199
C-WEU-FIN,rur,mfh,2045,1.629308863745696
C-WEU-FIN,rur,mfh,2050,1.6302797055711722
C-WEU-FIN,rur,mfh,2055,1.6311173409769424
C-WEU-FIN,rur,mfh,2060,1.631802231263504
C-WEU-FIN,rur,mfh,2065,1.6323510763856721
C-WEU-FIN,rur,mfh,2070,1.6328189311956947
C-WEU-FIN,rur,mfh,2075,1.6332572218441177
C-WEU-FIN,rur,mfh,2080,1.6336796837771532
C-WEU-FIN,rur,mfh,2085,1.6340858772658575
C-WEU-FIN,rur,mfh,2090,1.634472892598935
C-WEU-FIN,rur,mfh,2095,1.6348332696709666
C-WEU-FIN,rur,mfh,2100,1.6351699840182994
C-WEU-FIN,rur,sfh,2015,2.4780407726691047
C-WEU-FIN,rur,sfh,2020,2.4780407726691047
C-WEU-FIN,rur,sfh,2025,2.480116405448193
C-WEU-FIN,rur,sfh,2030,2.481894451468371
C-WEU-FIN,rur,sfh,2035,2.4835529556959632
C-WEU-FIN,rur,sfh,2040,2.4851445422715903
C-WEU-FIN,rur,sfh,2045,2.4866478239988394
C-WEU-FIN,rur,sfh,2050,2.487998289184169
C-WEU-FIN,rur,sfh,2055,2.48914788378956
C-WEU-FIN,rur,sfh,2060,2.490075678973034
C-WEU-FIN,rur,sfh,2065,2.4908105620200174
C-WEU-FIN,rur,sfh,2070,2.491429364317968
C-WEU-FIN,rur,sfh,2075,2.492003514724998
C-WEU-FIN,rur,sfh,2080,2.4925638889826467
C-WEU-FIN,rur,sfh,2085,2.493118197242517
C-WEU-FIN,rur,sfh,2090,2.4936609273446915
C-WEU-FIN,rur,sfh,2095,2.4941664181731995
C-WEU-FIN,rur,sfh,2100,2.494633011510958
C-WEU-FIN,urb,mfh,2015,1.6846589065486577
C-WEU-FIN,urb,mfh,2020,1.6846589065486577
C-WEU-FIN,urb,mfh,2025,1.6875208363715095
C-WEU-FIN,urb,mfh,2030,1.6900018394048824
C-WEU-FIN,urb,mfh,2035,1.692278136930328
C-WEU-FIN,urb,mfh,2040,1.6943944162011018
C-WEU-FIN,urb,mfh,2045,1.6963599162649634
C-WEU-FIN,urb,mfh,2050,1.6981427387414647
C-WEU-FIN,urb,mfh,2055,1.6996933757055617
C-WEU-FIN,urb,mfh,2060,1.701013223241982
C-WEU-FIN,urb,mfh,2065,1.7021294611026137
C-WEU-FIN,urb,mfh,2070,1.7031170169011214
C-WEU-FIN,urb,mfh,2075,1.7040449181683013
C-WEU-FIN,urb,mfh,2080,1.7049343475979049
C-WEU-FIN,urb,mfh,2085,1.7057804715001006
C-WEU-FIN,urb,mfh,2090,1.7065819815179457
C-WEU-FIN,urb,mfh,2095,1.7073465173412208
C-WEU-FIN,urb,mfh,2100,1.7080671648629808
C-WEU-FIN,urb,sfh,2015,2.5103866910267936
C-WEU-FIN,urb,sfh,2020,2.5103866910267936
C-WEU-FIN,urb,sfh,2025,2.5134546936178213
C-WEU-FIN,urb,sfh,2030,2.516081981767486
C-WEU-FIN,urb,sfh,2035,2.5184697406572036
C-WEU-FIN,urb,sfh,2040,2.520686245641931
C-WEU-FIN,urb,sfh,2045,2.5227330609572567
C-WEU-FIN,urb,sfh,2050,2.5245652852276317
C-WEU-FIN,urb,sfh,2055,2.5261404722953635
C-WEU-FIN,urb,sfh,2060,2.5274666246332957
C-WEU-FIN,urb,sfh,2065,2.5285713932391882
C-WEU-FIN,urb,sfh,2070,2.529531093269298
C-WEU-FIN,urb,sfh,2075,2.530414183718558
C-WEU-FIN,urb,sfh,2080,2.5312518130711776
C-WEU-FIN,urb,sfh,2085,2.532048902283534
C-WEU-FIN,urb,sfh,2090,2.532803097133421
C-WEU-FIN,urb,sfh,2095,2.533516637941179
C-WEU-FIN,urb,sfh,2100,2.534180680423044
C-WEU-FRA,rur,mfh,2015,1.856813289907037
C-WEU-FRA,rur,mfh,2020,1.856813289907037
C-WEU-FRA,rur,mfh,2025,1.859807834688064
C-WEU-FRA,rur,mfh,2030,1.8622610225293335
C-WEU-FRA,rur,mfh,2035,1.863924708181215
C-WEU-FRA,rur,mfh,2040,1.8650637870642397
C-WEU-FRA,rur,mfh,2045,1.8660537322416473
C-WEU-FRA,rur,mfh,2050,1.8670797288148273
C-WEU-FRA,rur,mfh,2055,1.8680168768502647
C-WEU-FRA,rur,mfh,2060,1.8687339387949518
C-WEU-FRA,rur,mfh,2065,1.8691896140562154
C-WEU-FRA,rur,mfh,2070,1.8694435584738185
C-WEU-FRA,rur,mfh,2075,1.8695963132426143
C-WEU-FRA,rur,mfh,2080,1.8697584774661118
C-WEU-FRA,rur,mfh,2085,1.870000841183436
C-WEU-FRA,rur,mfh,2090,1.8703816872575953
C-WEU-FRA,rur,mfh,2095,1.8709502424323972
C-WEU-FRA,rur,mfh,2100,1.8716689440409664
C-WEU-FRA,rur,sfh,2015,2.4394124931087586
C-WEU-FRA,rur,sfh,2020,2.4394124931087586
C-WEU-FRA,rur,sfh,2025,2.4424426840138684
C-WEU-FRA,rur,sfh,2030,2.445258611777055
C-WEU-FRA,rur,sfh,2035,2.4472774982786163
C-WEU-FRA,rur,sfh,2040,2.4486461487798894
C-WEU-FRA,rur,sfh,2045,2.4497353591969824
C-WEU-FRA,rur,sfh,2050,2.450789565572246
C-WEU-FRA,rur,sfh,2055,2.451771551147268
C-WEU-FRA,rur,sfh,2060,2.452566855213707
C-WEU-FRA,rur,sfh,2065,2.453078671178891
C-WEU-FRA,rur,sfh,2070,2.453309387809072
C-WEU-FRA,rur,sfh,2075,2.453338723287096
C-WEU-FRA,rur,sfh,2080,2.4532866165174614
C-WEU-FRA,rur,sfh,2085,2.453250113598864
C-WEU-FRA,rur,sfh,2090,2.4533178257636985
C-WEU-FRA,rur,sfh,2095,2.4535702569187157
C-WEU-FRA,rur,sfh,2100,2.4539908243014317
C-WEU-FRA,urb,mfh,2015,1.8574366623915284
C-WEU-FRA,urb,mfh,2020,1.8574366623915284
C-WEU-FRA,urb,mfh,2025,1.8603086984335113
C-WEU-FRA,urb,mfh,2030,1.8626624335204052
C-WEU-FRA,urb,mfh,2035,1.8642437313681994
C-WEU-FRA,urb,mfh,2040,1.8653118884045594
C-WEU-FRA,urb,mfh,2045,1.8662404286219996
C-WEU-FRA,urb,mfh,2050,1.867214067741566
C-WEU-FRA,urb,mfh,2055,1.868108375507158
C-WEU-FRA,urb,mfh,2060,1.8687936187316367
C-WEU-FRA,urb,mfh,2065,1.8692287866718478
