region_gea,year,region_bld,value
EEU,2035,C-EEU-LVA,5.0
EEU,2035,C-EEU-POL,5.0
EEU,2035,C-EEU-ROU,5.0
EEU,2035,C-EEU-SVK,5.0
EEU,2035,C-EEU-SVN,5.0
EEU,2040,C-EEU-BGR,5.0
EEU,2040,C-EEU-CZE,5.0
EEU,2040,C-EEU-EST,5.0
EEU,2040,C-EEU-HRV,5.0
EEU,2040,C-EEU-HUN,5.0
EEU,2040,C-EEU-LTU,5.0
EEU,2040,C-EEU-LVA,5.0
EEU,2040,C-EEU-POL,5.0
EEU,2040,C-EEU-ROU,5.0
EEU,2040,C-EEU-SVK,5.0
EEU,2040,C-EEU-SVN,5.0
EEU,2045,C-EEU-BGR,5.0
EEU,2045,C-EEU-CZE,5.0
EEU,2045,C-EEU-EST,5.0
EEU,2045,C-EEU-HRV,5.0
EEU,2045,C-EEU-HUN,5.0
EEU,2045,C-EEU-LTU,5.0
EEU,2045,C-EEU-LVA,5.0
EEU,2045,C-EEU-POL,5.0
EEU,2045,C-EEU-ROU,5.0
EEU,2045,C-EEU-SVK,5.0
EEU,2045,C-EEU-SVN,5.0
EEU,2050,C-EEU-BGR,5.0
EEU,2050,C-EEU-CZE,5.0
EEU,2050,C-EEU-EST,5.0
EEU,2050,C-EEU-HRV,5.0
EEU,2050,C-EEU-HUN,5.0
EEU,2050,C-EEU-LTU,5.0
EEU,2050,C-EEU-LVA,5.0
EEU,2050,C-EEU-POL,5.0
EEU,2050,C-EEU-ROU,5.0
EEU,2050,C-EEU-SVK,5.0
EEU,2050,C-EEU-SVN,5.0
EEU,2055,C-EEU-BGR,5.0
EEU,2055,C-EEU-CZE,5.0
EEU,2055,C-EEU-EST,5.0
EEU,2055,C-EEU-HRV,5.0
EEU,2055,C-EEU-HUN,5.0
EEU,2055,C-EEU-LTU,5.0
EEU,2055,C-EEU-LVA,5.0
EEU,2055,C-EEU-POL,5.0
EEU,2055,C-EEU-ROU,5.0
EEU,2055,C-EEU-SVK,5.0
EEU,2055,C-EEU-SVN,5.0
EEU,2060,C-EEU-BGR,5.0
EEU,2060,C-EEU-CZE,5.0
EEU,2060,C-EEU-EST,5.0
EEU,2060,C-EEU-HRV,5.0
EEU,2060,C-EEU-HUN,5.0
EEU,2060,C-EEU-LTU,5.0
EEU,2060,C-EEU-LVA,5.0
EEU,2060,C-EEU-POL,5.0
EEU,2060,C-EEU-ROU,5.0
EEU,2060,C-EEU-SVK,5.0
EEU,2060,C-EEU-SVN,5.0
EEU,2065,C-EEU-BGR,5.0
EEU,2065,C-EEU-CZE,5.0
EEU,2065,C-EEU-EST,5.0
EEU,2065,C-EEU-HRV,5.0
EEU,2065,C-EEU-HUN,5.0
EEU,2065,C-EEU-LTU,5.0
EEU,2065,C-EEU-LVA,5.0
EEU,2065,C-EEU-POL,5.0
EEU,2065,C-EEU-ROU,5.0
EEU,2065,C-EEU-SVK,5.0
EEU,2065,C-EEU-SVN,5.0
EEU,2070,C-EEU-BGR,5.0
EEU,2070,C-EEU-CZE,5.0
EEU,2070,C-EEU-EST,5.0
EEU,2070,C-EEU-HRV,5.0
EEU,2070,C-EEU-HUN,5.0
EEU,2070,C-EEU-LTU,5.0
EEU,2070,C-EEU-LVA,5.0
EEU,2070,C-EEU-POL,5.0
EEU,2070,C-EEU-ROU,5.0
EEU,2070,C-EEU-SVK,5.0
EEU,2070,C-EEU-SVN,5.0
EEU,2075,C-EEU-BGR,5.0
EEU,2075,C-EEU-CZE,5.0
EEU,2075,C-EEU-EST,5.0
EEU,2075,C-EEU-HRV,5.0
EEU,2075,C-EEU-HUN,5.0
EEU,2075,C-EEU-LTU,5.0
EEU,2075,C-EEU-LVA,5.0
EEU,2075,C-EEU-POL,5.0
EEU,2075,C-EEU-ROU,5.0
EEU,2075,C-EEU-SVK,5.0
EEU,2075,C-EEU-SVN,5.0
