region_bld,region_nuts,urt,mat,year,arch,value
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2050,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2055,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2055,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2060,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2060,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2065,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2065,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2070,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2070,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2075,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2075,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2080,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2080,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2085,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2085,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2090,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2090,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2095,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2095,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2100,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,rur,perm,2100,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2015,mfh,0.4893404825737265
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2015,sfh,0.5106595174262736
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2020,mfh,0.4893404825737265
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2020,sfh,0.5106595174262736
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2025,mfh,0.4893404825737265
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2025,sfh,0.5106595174262736
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2030,mfh,0.5015739946380696
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2030,sfh,0.4984260053619304
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2035,mfh,0.5138075067024128
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2035,sfh,0.4861924932975872
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2040,mfh,0.526041018766756
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2040,sfh,0.473958981233244
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2045,mfh,0.5382745308310991
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2045,sfh,0.4617254691689009
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2050,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2050,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2055,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2055,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2060,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2060,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2065,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2065,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2070,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2070,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2075,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2075,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2080,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2080,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2085,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2085,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2090,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2090,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2095,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2095,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2100,mfh,0.5505080428954423
C-EEU-BGR,C-EEU-BGR-BG314,urb,perm,2100,sfh,0.4494919571045577
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2015,mfh,0.4189855134032881
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2015,sfh,0.581014486596712
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2020,mfh,0.4189855134032881
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2020,sfh,0.581014486596712
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2025,mfh,0.4189855134032881
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2025,sfh,0.581014486596712
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2030,mfh,0.4294601512383703
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2030,sfh,0.5705398487616298
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2035,mfh,0.4399347890734525
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2035,sfh,0.5600652109265475
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2040,mfh,0.4504094269085347
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2040,sfh,0.5495905730914653
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2045,mfh,0.46088406474361693
C-EEU-BGR,C-EEU-BGR-BG315,rur,perm,2045,sfh,0.539115935256383
