region_bld,region_nuts,urt,arch,year,value
C-EEU-BGR,C-EEU-BGR-BG311,urb,sfh,2045,2.0846154357613877
C-EEU-BGR,C-EEU-BGR-BG311,urb,sfh,2040,2.0846154357613877
C-EEU-BGR,C-EEU-BGR-BG311,urb,sfh,2035,2.0846154357613877
C-EEU-BGR,C-EEU-BGR-BG311,urb,sfh,2030,2.0846154357613877
C-EEU-BGR,C-EEU-BGR-BG311,sub,sfh,2100,2.357841730739822
C-EEU-BGR,C-EEU-BGR-BG311,urb,sfh,2020,2.0846154357613877
C-EEU-BGR,C-EEU-BGR-BG311,urb,sfh,2015,2.0846154357613877
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2100,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2095,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,rur,sfh,2090,2.266766299080344
C-EEU-BGR,C-EEU-BGR-BG311,urb,sfh,2025,2.0846154357613877
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2015,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2070,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2075,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2080,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2085,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2090,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2095,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2015,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2095,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2090,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2085,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2080,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2075,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2070,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2065,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2060,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2055,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2050,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2045,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2040,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2035,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2030,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2025,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2020,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2065,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2060,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2100,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2050,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2020,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2025,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2030,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2055,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2040,2.3093322227761575
