region_bld,urt,arch,mat,year,value
R32OAS-L-SAS,rur,sfh,perm,2060,13.941340225819198
R32OAS-L-SAS,rur,sfh,perm,2065,13.941340225819198
R32OAS-L-SAS,rur,sfh,perm,2070,13.941340225819198
R32OAS-L-SAS,rur,sfh,perm,2075,13.941340225819198
R32OAS-L-SAS,rur,sfh,perm,2080,13.941340225819198
R32OAS-L-SAS,rur,sfh,perm,2085,13.941340225819198
R32OAS-L-SAS,rur,sfh,perm,2090,13.941340225819198
R32OAS-L-SAS,rur,sfh,perm,2095,13.941340225819198
R32OAS-L-SAS,rur,sfh,perm,2100,13.941340225819198
R32OAS-L-SAS,urb,inf,sub,2015,8.627435898
R32OAS-L-SAS,urb,inf,sub,2020,10.2101872
R32OAS-L-SAS,urb,inf,sub,2025,11.76840694
R32OAS-L-SAS,urb,inf,sub,2030,11.76840694
R32OAS-L-SAS,urb,inf,sub,2035,11.76840694
R32OAS-L-SAS,urb,inf,sub,2040,11.76840694
R32OAS-L-SAS,urb,inf,sub,2045,11.76840694
R32OAS-L-SAS,urb,inf,sub,2050,11.76840694
R32OAS-L-SAS,urb,inf,sub,2055,11.76840694
R32OAS-L-SAS,urb,inf,sub,2060,11.76840694
R32OAS-L-SAS,urb,inf,sub,2065,11.76840694
R32OAS-L-SAS,urb,inf,sub,2070,11.76840694
R32OAS-L-SAS,urb,inf,sub,2075,11.76840694
R32OAS-L-SAS,urb,inf,sub,2080,11.76840694
R32OAS-L-SAS,urb,inf,sub,2085,11.76840694
R32OAS-L-SAS,urb,inf,sub,2090,11.76840694
R32OAS-L-SAS,urb,inf,sub,2095,11.76840694
R32OAS-L-SAS,urb,inf,sub,2100,11.76840694
R32OAS-L-SAS,urb,mfh,perm,2015,16.74994351
R32OAS-L-SAS,urb,mfh,perm,2020,18.97617014
R32OAS-L-SAS,urb,mfh,perm,2025,21.04075209
R32OAS-L-SAS,urb,mfh,perm,2030,20.45916198464922
R32OAS-L-SAS,urb,mfh,perm,2035,19.87757187929844
R32OAS-L-SAS,urb,mfh,perm,2040,19.29598177394766
