urt,year,region_bld,region_nuts,clim,arch,Occupied conventional dwellings,Unoccupied conventional dwellings,mat
rur,2050,C-WEU-ESP,C-WEU-ESP-ES615,Zone_3A Warm Humid,mfh,0.6115148716610285,0.6219814448872961,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES615,Zone_3A Warm Humid,sfh,0.3884851283389715,0.3780185551127039,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES616,Zone_3A Warm Humid,mfh,0.5085030194395561,0.37841745840897123,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES616,Zone_3A Warm Humid,sfh,0.4914969805604439,0.6215825415910288,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES617,Zone_3A Warm Humid,mfh,0.7607256960292104,0.7190274324622439,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES617,Zone_3A Warm Humid,sfh,0.23927430397078958,0.2809725675377562,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES618,Zone_3A Warm Humid,mfh,0.6068989615644339,0.5680954532167628,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES618,Zone_3A Warm Humid,sfh,0.3931010384355661,0.4319045467832372,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES620,Zone_3B Warm Dry,mfh,0.6894028548623615,0.6190609582878819,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES620,Zone_3B Warm Dry,sfh,0.31059714513763853,0.3809390417121182,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES630,Zone_3A Warm Humid,mfh,0.8673040468144729,0.781524411661398,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES630,Zone_3A Warm Humid,sfh,0.13269595318552707,0.21847558833860203,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES640,Zone_3A Warm Humid,mfh,0.8013056379821959,0.7808038075092544,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES640,Zone_3A Warm Humid,sfh,0.19869436201780416,0.21919619249074565,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES703,Zone_3A Warm Humid,mfh,0.2566162570888469,0.2731808731808732,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES703,Zone_3A Warm Humid,sfh,0.7433837429111532,0.7268191268191269,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES704,Zone_3B Warm Dry,mfh,0.7136774164631003,0.7377091212101788,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES704,Zone_3B Warm Dry,sfh,0.28632258353689966,0.26229087878982116,perm
