,region_bld,clim,arch,eneff,urt,value
105,C-EEU-BGR,Zone_5A Cool Humid,sfh,s1,rur,1.0
106,C-EEU-BGR,Zone_5A Cool Humid,sfh,s1,sub,1.0
107,C-EEU-BGR,Zone_5A Cool Humid,sfh,s1,urb,1.0
108,C-EEU-BGR,Zone_5A Cool Humid,sfh,s2,rur,1.0
109,C-EEU-BGR,Zone_5A Cool Humid,sfh,s2,sub,1.0
110,C-EEU-BGR,Zone_5A Cool Humid,sfh,s2,urb,1.0
111,C-EEU-BGR,Zone_5A Cool Humid,sfh,s3,rur,1.0
112,C-EEU-BGR,Zone_5A Cool Humid,sfh,s3,sub,1.0
113,C-EEU-BGR,Zone_5A Cool Humid,sfh,s3,urb,1.0
114,C-EEU-BGR,Zone_5A Cool Humid,sfh,s51_std,rur,1.0
115,C-EEU-BGR,Zone_5A Cool Humid,sfh,s51_std,sub,1.0
116,C-EEU-BGR,Zone_5A Cool Humid,sfh,s51_std,urb,1.0
117,C-EEU-BGR,Zone_5A Cool Humid,sfh,s52_low,rur,1.0
118,C-EEU-BGR,Zone_5A Cool Humid,sfh,s52_low,sub,1.0
119,C-EEU-BGR,Zone_5A Cool Humid,sfh,s52_low,urb,1.0
120,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr11_std,rur,1.0
121,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr11_std,sub,1.0
122,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr11_std,urb,1.0
123,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr12_low,rur,1.0
124,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr12_low,sub,1.0
125,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr12_low,urb,1.0
126,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr21_std,rur,1.0
127,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr21_std,sub,1.0
128,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr21_std,urb,1.0
129,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr22_low,rur,1.0
130,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr22_low,sub,1.0
131,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr22_low,urb,1.0
132,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr31_std,rur,1.0
133,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr31_std,sub,1.0
134,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr31_std,urb,1.0
135,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr32_low,rur,1.0
136,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr32_low,sub,1.0
137,C-EEU-BGR,Zone_5A Cool Humid,sfh,sr32_low,urb,1.0
138,C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,1.0
139,C-EEU-CZE,Zone_5A Cool Humid,inf,ns,sub,1.0
140,C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,1.0
141,C-EEU-CZE,Zone_5A Cool Humid,mfh,s1,rur,1.0
142,C-EEU-CZE,Zone_5A Cool Humid,mfh,s1,sub,1.0
143,C-EEU-CZE,Zone_5A Cool Humid,mfh,s1,urb,1.0
144,C-EEU-CZE,Zone_5A Cool Humid,mfh,s2,rur,1.0
145,C-EEU-CZE,Zone_5A Cool Humid,mfh,s2,sub,1.0
146,C-EEU-CZE,Zone_5A Cool Humid,mfh,s2,urb,1.0
147,C-EEU-CZE,Zone_5A Cool Humid,mfh,s3,rur,1.0
148,C-EEU-CZE,Zone_5A Cool Humid,mfh,s3,sub,1.0
149,C-EEU-CZE,Zone_5A Cool Humid,mfh,s3,urb,1.0
150,C-EEU-CZE,Zone_5A Cool Humid,mfh,s51_std,rur,1.0
151,C-EEU-CZE,Zone_5A Cool Humid,mfh,s51_std,sub,1.0
152,C-EEU-CZE,Zone_5A Cool Humid,mfh,s51_std,urb,1.0
153,C-EEU-CZE,Zone_5A Cool Humid,mfh,s52_low,rur,1.0
154,C-EEU-CZE,Zone_5A Cool Humid,mfh,s52_low,sub,1.0
155,C-EEU-CZE,Zone_5A Cool Humid,mfh,s52_low,urb,1.0
156,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr11_std,rur,1.0
157,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr11_std,sub,1.0
158,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr11_std,urb,1.0
159,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr12_low,rur,1.0
160,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr12_low,sub,1.0
161,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr12_low,urb,1.0
162,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr21_std,rur,1.0
163,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr21_std,sub,1.0
164,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr21_std,urb,1.0
165,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr22_low,rur,1.0
166,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr22_low,sub,1.0
167,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr22_low,urb,1.0
168,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr31_std,rur,1.0
169,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr31_std,sub,1.0
170,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr31_std,urb,1.0
171,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr32_low,rur,1.0
172,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr32_low,sub,1.0
173,C-EEU-CZE,Zone_5A Cool Humid,mfh,sr32_low,urb,1.0
174,C-EEU-CZE,Zone_5A Cool Humid,sfh,s1,rur,1.0
175,C-EEU-CZE,Zone_5A Cool Humid,sfh,s1,sub,1.0
176,C-EEU-CZE,Zone_5A Cool Humid,sfh,s1,urb,1.0
177,C-EEU-CZE,Zone_5A Cool Humid,sfh,s2,rur,0.97169
178,C-EEU-CZE,Zone_5A Cool Humid,sfh,s2,sub,0.97453
179,C-EEU-CZE,Zone_5A Cool Humid,sfh,s2,urb,0.97738
