,region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
108,C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,2005,p3,0.0276366901432565
109,C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,2010,p3,0.0318190244707697
110,C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,2015,p3,0.0166851802092123
111,C-EEU-BGR,EEU,sub,Zone_5A Cool Humid,perm,sfh,2020,p3,0.0164503668056225
112,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.0508631213125621
113,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.1397180952687774
114,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1965,p2,0.1402970886173103
115,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1970,p2,0.0986882024189698
116,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1975,p2,0.0929696346126047
117,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.0877123212123521
118,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1985,p2,0.1390745581006347
119,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1990,p2,0.0871214903568059
120,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,1995,p3,0.0171757748747994
121,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.0327964160969366
122,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2005,p3,0.0316070623872424
123,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.0363902425157955
124,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.0198638408458285
125,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.0257221513793794
126,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1945,p1,0.0508631213125621
127,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1960,p2,0.1397180952687774
128,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1965,p2,0.1402970886173103
129,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1970,p2,0.0986882024189698
130,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1975,p2,0.0929696346126047
131,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1980,p2,0.0877123212123521
132,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1985,p2,0.1390745581006347
133,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1990,p2,0.0871214903568059
134,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,1995,p3,0.0171757748747994
135,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2000,p3,0.0327964160969366
136,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2005,p3,0.0316070618002204
137,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2010,p3,0.0363902431028175
138,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2015,p3,0.0198638408458285
139,C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,sfh,2020,p3,0.0257221513793794
140,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1945,p1,0.046640768495949
141,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1960,p2,0.0795939331593229
142,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1965,p2,0.1285317612489177
143,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1970,p2,0.0904122002559846
144,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1975,p2,0.0851731920968177
145,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1980,p2,0.080356757504827
146,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1985,p2,0.1578942345463614
147,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1990,p2,0.0989108376132477
148,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,1995,p3,0.0195000139754872
149,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2000,p3,0.037234452413235
150,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2005,p3,0.0526164739685488
151,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2010,p3,0.0605790637732399
