region_bld,clim,urt,inc_cl,mat,year,region_nuts,value
C-WEU-BEL,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-BEL-BE341,0.0
C-WEU-BEL,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-BEL-BE341,0.0
C-WEU-BEL,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-BEL-BE342,0.0
C-WEU-BEL,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-BEL-BE342,0.0
C-WEU-BEL,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-BEL-BE343,0.0
C-WEU-BEL,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-BEL-BE343,0.0
C-WEU-BEL,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-BEL-BE344,0.0
C-WEU-BEL,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-BEL-BE344,0.0
C-WEU-BEL,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-BEL-BE345,0.0
C-WEU-BEL,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-BEL-BE345,0.0
C-WEU-BEL,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-BEL-BE351,0.0
C-WEU-BEL,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-BEL-BE351,0.0
C-WEU-BEL,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-BEL-BE352,0.0
C-WEU-BEL,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-BEL-BE352,0.0
C-WEU-BEL,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-BEL-BE353,0.0
C-WEU-BEL,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-BEL-BE353,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG311,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG311,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG312,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG312,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG313,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG313,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG314,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG314,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG315,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG315,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG321,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG321,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-BGR-BG322,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-BGR-BG322,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG323,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG323,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG324,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG324,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG325,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG325,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG331,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG331,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG332,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG332,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG333,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG333,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG334,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG334,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG341,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG341,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-BGR-BG342,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-BGR-BG342,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG343,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG343,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG344,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG344,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-BGR-BG411,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-BGR-BG411,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-BGR-BG412,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-BGR-BG412,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-BGR-BG413,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-BGR-BG413,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-BGR-BG414,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-BGR-BG414,0.0
