region_bld,clim,urt,inc_cl,mat,year,value
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2030,0.008724015257158291
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2035,0.008605631456117313
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2040,0.0084965654241862
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2045,0.008391462135825489
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2050,0.008285952216143738
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2055,0.00817738234567197
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2060,0.008071083374023286
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2065,0.007975200340184091
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2070,0.007893805906671629
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2075,0.007828740394377478
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2080,0.007774380386653363
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2085,0.007725542392033873
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2090,0.0076749358717952635
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2095,0.007623276651549732
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,perm,2100,0.007572550366096628
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2015,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2020,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2025,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2030,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2035,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2040,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2045,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2050,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2055,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2060,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2065,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2070,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2075,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2080,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2085,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2090,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2095,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q2,sub,2100,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2015,0.008993056237218832
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2020,0.008993056237218832
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2025,0.008852039774559195
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2030,0.008724015257158291
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2035,0.008605631456117313
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2040,0.0084965654241862
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2045,0.008391462135825489
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2050,0.008285952216143738
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2055,0.00817738234567197
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2060,0.008071083374023286
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2065,0.007975200340184091
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2070,0.007893805906671629
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2075,0.007828740394377478
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2080,0.007774380386653363
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2085,0.007725542392033873
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2090,0.0076749358717952635
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2095,0.007623276651549732
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,perm,2100,0.007572550366096628
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2015,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2020,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2025,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2030,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2035,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2040,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2045,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2050,0.0
