,year,region_bld,clim,arch,urt,value,region_gea
384,2020,C-WEU-ESP,Zone_3A Warm Humid,mfh,rur,657.0,WEU
385,2020,C-WEU-ESP,Zone_3A Warm Humid,mfh,urb,2921764.0,WEU
386,2020,C-WEU-ESP,Zone_3A Warm Humid,sfh,rur,1748.0,WEU
387,2020,C-WEU-ESP,Zone_3A Warm Humid,sfh,urb,1715039.0,WEU
388,2020,C-WEU-ESP,Zone_3B Warm Dry,mfh,rur,2447.0,WEU
389,2020,C-WEU-ESP,Zone_3B Warm Dry,mfh,urb,458707.0,WEU
390,2020,C-WEU-ESP,Zone_3B Warm Dry,sfh,rur,3343.0,WEU
391,2020,C-WEU-ESP,Zone_3B Warm Dry,sfh,urb,277658.0,WEU
392,2020,C-WEU-ESP,Zone_3C Warm Marine,mfh,urb,233111.0,WEU
393,2020,C-WEU-ESP,Zone_3C Warm Marine,sfh,urb,128948.0,WEU
394,2020,C-WEU-ESP,Zone_4A Mixed Humid,mfh,rur,42370.0,WEU
395,2020,C-WEU-ESP,Zone_4A Mixed Humid,mfh,urb,502748.0,WEU
396,2020,C-WEU-ESP,Zone_4A Mixed Humid,sfh,rur,108203.0,WEU
397,2020,C-WEU-ESP,Zone_4A Mixed Humid,sfh,urb,383159.0,WEU
398,2020,C-WEU-ESP,Zone_4C Mixed Marine,mfh,rur,154782.0,WEU
399,2020,C-WEU-ESP,Zone_4C Mixed Marine,mfh,urb,396252.0,WEU
400,2020,C-WEU-ESP,Zone_4C Mixed Marine,sfh,rur,281126.0,WEU
401,2020,C-WEU-ESP,Zone_4C Mixed Marine,sfh,urb,398466.0,WEU
402,2020,C-WEU-FIN,Zone_6A Cold Humid,mfh,rur,15151.0,WEU
403,2020,C-WEU-FIN,Zone_6A Cold Humid,mfh,urb,106894.0,WEU
404,2020,C-WEU-FIN,Zone_6A Cold Humid,sfh,rur,5787.0,WEU
405,2020,C-WEU-FIN,Zone_6A Cold Humid,sfh,urb,23470.0,WEU
406,2020,C-WEU-FIN,Zone_7A Very cold Humid,mfh,rur,57315.0,WEU
407,2020,C-WEU-FIN,Zone_7A Very cold Humid,mfh,urb,91240.0,WEU
408,2020,C-WEU-FIN,Zone_7A Very cold Humid,sfh,rur,26734.0,WEU
409,2020,C-WEU-FIN,Zone_7A Very cold Humid,sfh,urb,31027.0,WEU
410,2020,C-WEU-FRA,Zone_0A Extremely hot Humid,mfh,urb,0.0,WEU
411,2020,C-WEU-FRA,Zone_0A Extremely hot Humid,sfh,urb,0.0,WEU
412,2020,C-WEU-FRA,Zone_1A Very hot Humid,mfh,urb,59690.0,WEU
413,2020,C-WEU-FRA,Zone_1A Very hot Humid,sfh,urb,66963.0,WEU
414,2020,C-WEU-FRA,Zone_2A Hot Humid,mfh,urb,18915.0,WEU
