region_bld,clim,inc_cl,year,urt,value
C-WEU-DEU,Zone_5A Cool Humid,q1,2075,rur,0.21350799999999998
C-WEU-DEU,Zone_5A Cool Humid,q1,2075,sub,0.21952275
C-WEU-DEU,Zone_5A Cool Humid,q1,2075,urb,0.2255375
C-WEU-DEU,Zone_5A Cool Humid,q1,2080,rur,0.2177619
C-WEU-DEU,Zone_5A Cool Humid,q1,2080,sub,0.22165990000000002
C-WEU-DEU,Zone_5A Cool Humid,q1,2080,urb,0.22555789999999998
C-WEU-DEU,Zone_5A Cool Humid,q1,2085,rur,0.2207184
C-WEU-DEU,Zone_5A Cool Humid,q1,2085,sub,0.22314625
C-WEU-DEU,Zone_5A Cool Humid,q1,2085,urb,0.2255741
C-WEU-DEU,Zone_5A Cool Humid,q1,2090,rur,0.2224534
C-WEU-DEU,Zone_5A Cool Humid,q1,2090,sub,0.22401695
C-WEU-DEU,Zone_5A Cool Humid,q1,2090,urb,0.22558049999999996
C-WEU-DEU,Zone_5A Cool Humid,q1,2095,rur,0.223715
C-WEU-DEU,Zone_5A Cool Humid,q1,2095,sub,0.22464940000000003
C-WEU-DEU,Zone_5A Cool Humid,q1,2095,urb,0.22558379999999997
C-WEU-DEU,Zone_5A Cool Humid,q1,2100,rur,0.2244961
C-WEU-DEU,Zone_5A Cool Humid,q1,2100,sub,0.22504059999999998
C-WEU-DEU,Zone_5A Cool Humid,q1,2100,urb,0.2255851
C-WEU-DEU,Zone_5A Cool Humid,q2,2015,rur,0.1963928
C-WEU-DEU,Zone_5A Cool Humid,q2,2015,sub,0.21078695
C-WEU-DEU,Zone_5A Cool Humid,q2,2015,urb,0.22518109999999997
C-WEU-DEU,Zone_5A Cool Humid,q2,2020,rur,0.2068407
C-WEU-DEU,Zone_5A Cool Humid,q2,2020,sub,0.2161062
C-WEU-DEU,Zone_5A Cool Humid,q2,2020,urb,0.2253717
C-WEU-DEU,Zone_5A Cool Humid,q2,2025,rur,0.211474
C-WEU-DEU,Zone_5A Cool Humid,q2,2025,sub,0.2184798
C-WEU-DEU,Zone_5A Cool Humid,q2,2025,urb,0.2254856
C-WEU-DEU,Zone_5A Cool Humid,q2,2030,rur,0.21462059999999997
C-WEU-DEU,Zone_5A Cool Humid,q2,2030,sub,0.22007655000000004
C-WEU-DEU,Zone_5A Cool Humid,q2,2030,urb,0.22553250000000002
C-WEU-DEU,Zone_5A Cool Humid,q2,2035,rur,0.2183528
C-WEU-DEU,Zone_5A Cool Humid,q2,2035,sub,0.22195635
C-WEU-DEU,Zone_5A Cool Humid,q2,2035,urb,0.2255599
C-WEU-DEU,Zone_5A Cool Humid,q2,2040,rur,0.2215103
C-WEU-DEU,Zone_5A Cool Humid,q2,2040,sub,0.2235432
C-WEU-DEU,Zone_5A Cool Humid,q2,2040,urb,0.2255761
C-WEU-DEU,Zone_5A Cool Humid,q2,2045,rur,0.2232093
C-WEU-DEU,Zone_5A Cool Humid,q2,2045,sub,0.22439595
C-WEU-DEU,Zone_5A Cool Humid,q2,2045,urb,0.2255826
