region_bld,arch,eneff,value
C-EEU-SVN,sfh,sr11_std,603.7745965500001
C-EEU-SVN,sfh,sr12_low,603.7745965500001
C-EEU-SVN,sfh,sr21_std,582.46570185
C-EEU-SVN,sfh,sr22_low,582.46570185
C-EEU-SVN,sfh,sr31_std,363.856264
C-EEU-SVN,sfh,sr32_low,363.856264
C-WEU-AUT,inf,ns,917.6560179500001
C-WEU-AUT,mfh,s1,377.7165637666667
C-WEU-AUT,mfh,s2,258.91328346666666
C-WEU-AUT,mfh,s3,128.41288168333332
C-WEU-AUT,mfh,s51_std,93.74891847833334
C-WEU-AUT,mfh,s52_low,50.44688080333333
C-WEU-AUT,mfh,sr11_std,377.7165637666667
C-WEU-AUT,mfh,sr12_low,377.7165637666667
C-WEU-AUT,mfh,sr21_std,258.91328346666666
C-WEU-AUT,mfh,sr22_low,258.91328346666666
C-WEU-AUT,mfh,sr31_std,128.41288168333332
C-WEU-AUT,mfh,sr32_low,128.41288168333332
C-WEU-AUT,sfh,s1,917.6560179500001
C-WEU-AUT,sfh,s2,633.3419483666667
C-WEU-AUT,sfh,s3,315.21302166666663
C-WEU-AUT,sfh,s51_std,228.15983831666668
C-WEU-AUT,sfh,s52_low,115.31882684333334
C-WEU-AUT,sfh,sr11_std,917.6560179500001
C-WEU-AUT,sfh,sr12_low,917.6560179500001
C-WEU-AUT,sfh,sr21_std,633.3419483666667
C-WEU-AUT,sfh,sr22_low,633.3419483666667
C-WEU-AUT,sfh,sr31_std,315.21302166666663
C-WEU-AUT,sfh,sr32_low,315.21302166666663
C-WEU-BEL,inf,ns,761.6052425
C-WEU-BEL,mfh,s1,309.7783363
C-WEU-BEL,mfh,s2,210.27751105
C-WEU-BEL,mfh,s3,102.62673605
C-WEU-BEL,mfh,s51_std,74.75865106
C-WEU-BEL,mfh,s52_low,40.026095275
C-WEU-BEL,mfh,sr11_std,309.7783363
C-WEU-BEL,mfh,sr12_low,309.7783363
C-WEU-BEL,mfh,sr21_std,210.27751105
C-WEU-BEL,mfh,sr22_low,210.27751105
C-WEU-BEL,mfh,sr31_std,102.62673605
C-WEU-BEL,mfh,sr32_low,102.62673605
C-WEU-BEL,sfh,s1,761.6052425
C-WEU-BEL,sfh,s2,523.6902627
C-WEU-BEL,sfh,s3,257.2450311
C-WEU-BEL,sfh,s51_std,184.59069895
C-WEU-BEL,sfh,s52_low,92.09182694500001
C-WEU-BEL,sfh,sr11_std,761.6052425
C-WEU-BEL,sfh,sr12_low,761.6052425
C-WEU-BEL,sfh,sr21_std,523.6902627
C-WEU-BEL,sfh,sr22_low,523.6902627
C-WEU-BEL,sfh,sr31_std,257.2450311
C-WEU-BEL,sfh,sr32_low,257.2450311
C-WEU-CYP,inf,ns,271.2024267
C-WEU-CYP,mfh,s1,101.49537421
C-WEU-CYP,mfh,s2,63.443650815
C-WEU-CYP,mfh,s3,22.637033905000003
C-WEU-CYP,mfh,s51_std,12.48135572
C-WEU-CYP,mfh,s52_low,2.18500507
C-WEU-CYP,mfh,sr11_std,101.49537421
C-WEU-CYP,mfh,sr12_low,101.49537421
C-WEU-CYP,mfh,sr21_std,63.443650815
C-WEU-CYP,mfh,sr22_low,63.443650815
C-WEU-CYP,mfh,sr31_std,22.637033905000003
C-WEU-CYP,mfh,sr32_low,22.637033905000003
C-WEU-CYP,sfh,s1,271.2024267
C-WEU-CYP,sfh,s2,181.79377104999998
C-WEU-CYP,sfh,s3,80.79095079000001
C-WEU-CYP,sfh,s51_std,53.46183644
C-WEU-CYP,sfh,s52_low,18.71582479
C-WEU-CYP,sfh,sr11_std,271.2024267
C-WEU-CYP,sfh,sr12_low,271.2024267
C-WEU-CYP,sfh,sr21_std,181.79377104999998
C-WEU-CYP,sfh,sr22_low,181.79377104999998
C-WEU-CYP,sfh,sr31_std,80.79095079000001
C-WEU-CYP,sfh,sr32_low,80.79095079000001
C-WEU-DEU,inf,ns,819.603160225
C-WEU-DEU,mfh,s1,336.43239385
C-WEU-DEU,mfh,s2,230.2608304
C-WEU-DEU,mfh,s3,114.33748415
C-WEU-DEU,mfh,s51_std,83.94996668
C-WEU-DEU,mfh,s52_low,46.11694415
C-WEU-DEU,mfh,sr11_std,336.43239385
C-WEU-DEU,mfh,sr12_low,336.43239385
C-WEU-DEU,mfh,sr21_std,230.2608304
C-WEU-DEU,mfh,sr22_low,230.2608304
C-WEU-DEU,mfh,sr31_std,114.33748415
C-WEU-DEU,mfh,sr32_low,114.33748415
C-WEU-DEU,sfh,s1,819.603160225
C-WEU-DEU,sfh,s2,565.147381625
C-WEU-DEU,sfh,s3,280.592385
C-WEU-DEU,sfh,s51_std,202.814459175
C-WEU-DEU,sfh,s52_low,102.8493022725
C-WEU-DEU,sfh,sr11_std,819.603160225
C-WEU-DEU,sfh,sr12_low,819.603160225
C-WEU-DEU,sfh,sr21_std,565.147381625
C-WEU-DEU,sfh,sr22_low,565.147381625
C-WEU-DEU,sfh,sr31_std,280.592385
C-WEU-DEU,sfh,sr32_low,280.592385
C-WEU-DNK,inf,ns,953.0098954499999
C-WEU-DNK,mfh,s1,390.4825389
C-WEU-DNK,mfh,s2,266.5966092
C-WEU-DNK,mfh,s3,131.4893473
C-WEU-DNK,mfh,s51_std,96.64561309
C-WEU-DNK,mfh,s52_low,53.918409725000004
C-WEU-DNK,mfh,sr11_std,390.4825389
C-WEU-DNK,mfh,sr12_low,390.4825389
C-WEU-DNK,mfh,sr21_std,266.5966092
C-WEU-DNK,mfh,sr22_low,266.5966092
C-WEU-DNK,mfh,sr31_std,131.4893473
C-WEU-DNK,mfh,sr32_low,131.4893473
C-WEU-DNK,sfh,s1,953.0098954499999
C-WEU-DNK,sfh,s2,656.8731369
C-WEU-DNK,sfh,s3,325.33651905
C-WEU-DNK,sfh,s51_std,234.53909185
C-WEU-DNK,sfh,s52_low,118.2314992
C-WEU-DNK,sfh,sr11_std,953.0098954499999
C-WEU-DNK,sfh,sr12_low,953.0098954499999
C-WEU-DNK,sfh,sr21_std,656.8731369
C-WEU-DNK,sfh,sr22_low,656.8731369
C-WEU-DNK,sfh,sr31_std,325.33651905
C-WEU-DNK,sfh,sr32_low,325.33651905
C-WEU-ESP,inf,ns,482.15613491000005
C-WEU-ESP,mfh,s1,187.77419709999998
C-WEU-ESP,mfh,s2,122.293527221
C-WEU-ESP,mfh,s3,51.816187914
C-WEU-ESP,mfh,s51_std,33.93970504
C-WEU-ESP,mfh,s52_low,13.6054610352
C-WEU-ESP,mfh,sr11_std,187.77419709999998
C-WEU-ESP,mfh,sr12_low,187.77419709999998
C-WEU-ESP,mfh,sr21_std,122.293527221
C-WEU-ESP,mfh,sr22_low,122.293527221
C-WEU-ESP,mfh,sr31_std,51.816187914
C-WEU-ESP,mfh,sr32_low,51.816187914
C-WEU-ESP,sfh,s1,482.15613491000005
C-WEU-ESP,sfh,s2,327.09871761
C-WEU-ESP,sfh,s3,152.54762406
C-WEU-ESP,sfh,s51_std,105.212898712
C-WEU-ESP,sfh,s52_low,44.974814472000006
C-WEU-ESP,sfh,sr11_std,482.15613491000005
C-WEU-ESP,sfh,sr12_low,482.15613491000005
C-WEU-ESP,sfh,sr21_std,327.09871761
C-WEU-ESP,sfh,sr22_low,327.09871761
C-WEU-ESP,sfh,sr31_std,152.54762406
C-WEU-ESP,sfh,sr32_low,152.54762406
C-WEU-FIN,inf,ns,1295.448324
C-WEU-FIN,mfh,s1,540.226221675
C-WEU-FIN,mfh,s2,374.884458225
C-WEU-FIN,mfh,s3,193.36779945
C-WEU-FIN,mfh,s51_std,145.1054006
C-WEU-FIN,mfh,s52_low,84.6182404975
C-WEU-FIN,mfh,sr11_std,540.226221675
C-WEU-FIN,mfh,sr12_low,540.226221675
C-WEU-FIN,mfh,sr21_std,374.884458225
C-WEU-FIN,mfh,sr22_low,374.884458225
C-WEU-FIN,mfh,sr31_std,193.36779945
C-WEU-FIN,mfh,sr32_low,193.36779945
C-WEU-FIN,sfh,s1,1295.448324
C-WEU-FIN,sfh,s2,897.77322065
C-WEU-FIN,sfh,s3,453.93934082500004
C-WEU-FIN,sfh,s51_std,332.3312274
C-WEU-FIN,sfh,s52_low,175.15821065
C-WEU-FIN,sfh,sr11_std,1295.448324
C-WEU-FIN,sfh,sr12_low,1295.448324
C-WEU-FIN,sfh,sr21_std,897.77322065
C-WEU-FIN,sfh,sr22_low,897.77322065
C-WEU-FIN,sfh,sr31_std,453.93934082500004
C-WEU-FIN,sfh,sr32_low,453.93934082500004
C-WEU-FRA,inf,ns,662.0208062166666
C-WEU-FRA,mfh,s1,266.8338794833333
C-WEU-FRA,mfh,s2,179.65409831666668
C-WEU-FRA,mfh,s3,84.85688587166668
C-WEU-FRA,mfh,s51_std,60.10803364333333
C-WEU-FRA,mfh,s52_low,29.812523158333335
C-WEU-FRA,mfh,sr11_std,266.8338794833333
C-WEU-FRA,mfh,sr12_low,266.8338794833333
C-WEU-FRA,mfh,sr21_std,179.65409831666668
C-WEU-FRA,mfh,sr22_low,179.65409831666668
C-WEU-FRA,mfh,sr31_std,84.85688587166668
C-WEU-FRA,mfh,sr32_low,84.85688587166668
C-WEU-FRA,sfh,s1,662.0208062166666
C-WEU-FRA,sfh,s2,453.8602272
C-WEU-FRA,sfh,s3,220.62303666666665
C-WEU-FRA,sfh,s51_std,157.05751401666666
C-WEU-FRA,sfh,s52_low,75.48051672166666
C-WEU-FRA,sfh,sr11_std,662.0208062166666
C-WEU-FRA,sfh,sr12_low,662.0208062166666
C-WEU-FRA,sfh,sr21_std,453.8602272
C-WEU-FRA,sfh,sr22_low,453.8602272
C-WEU-FRA,sfh,sr31_std,220.62303666666665
C-WEU-FRA,sfh,sr32_low,220.62303666666665
C-WEU-GRC,inf,ns,498.547626025
C-WEU-GRC,mfh,s1,199.718637125
C-WEU-GRC,mfh,s2,133.57820475
C-WEU-GRC,mfh,s3,61.4483055225
C-WEU-GRC,mfh,s51_std,42.5430285575
C-WEU-GRC,mfh,s52_low,19.5638024825
C-WEU-GRC,mfh,sr11_std,199.718637125
C-WEU-GRC,mfh,sr12_low,199.718637125
C-WEU-GRC,mfh,sr21_std,133.57820475
C-WEU-GRC,mfh,sr22_low,133.57820475
C-WEU-GRC,mfh,sr31_std,61.4483055225
C-WEU-GRC,mfh,sr32_low,61.4483055225
C-WEU-GRC,sfh,s1,498.547626025
C-WEU-GRC,sfh,s2,341.157019575
C-WEU-GRC,sfh,s3,164.53876355
C-WEU-GRC,sfh,s51_std,116.373582755
C-WEU-GRC,sfh,s52_low,54.276625942500004
C-WEU-GRC,sfh,sr11_std,498.547626025
C-WEU-GRC,sfh,sr12_low,498.547626025
C-WEU-GRC,sfh,sr21_std,341.157019575
C-WEU-GRC,sfh,sr22_low,341.157019575
C-WEU-GRC,sfh,sr31_std,164.53876355
C-WEU-GRC,sfh,sr32_low,164.53876355
C-WEU-IRL,inf,ns,843.67298655
C-WEU-IRL,mfh,s1,344.5713604
C-WEU-IRL,mfh,s2,234.06786945
C-WEU-IRL,mfh,s3,112.2251572
C-WEU-IRL,mfh,s51_std,80.122997145
C-WEU-IRL,mfh,s52_low,41.5653186
C-WEU-IRL,mfh,sr11_std,344.5713604
C-WEU-IRL,mfh,sr12_low,344.5713604
C-WEU-IRL,mfh,sr21_std,234.06786945
C-WEU-IRL,mfh,sr22_low,234.06786945
C-WEU-IRL,mfh,sr31_std,112.2251572
C-WEU-IRL,mfh,sr32_low,112.2251572
C-WEU-IRL,sfh,s1,843.67298655
C-WEU-IRL,sfh,s2,581.06523335
C-WEU-IRL,sfh,s3,286.4058168
C-WEU-IRL,sfh,s51_std,205.28601985
C-WEU-IRL,sfh,s52_low,100.065025535
C-WEU-IRL,sfh,sr11_std,843.67298655
C-WEU-IRL,sfh,sr12_low,843.67298655
C-WEU-IRL,sfh,sr21_std,581.06523335
C-WEU-IRL,sfh,sr22_low,581.06523335
C-WEU-IRL,sfh,sr31_std,286.4058168
C-WEU-IRL,sfh,sr32_low,286.4058168
C-WEU-ITA,inf,ns,648.47513315
C-WEU-ITA,mfh,s1,261.5876958
C-WEU-ITA,mfh,s2,176.20732124625
C-WEU-ITA,mfh,s3,83.13725161125
C-WEU-ITA,mfh,s51_std,58.65560003
C-WEU-ITA,mfh,s52_low,28.58617181
C-WEU-ITA,mfh,sr11_std,261.5876958
C-WEU-ITA,mfh,sr12_low,261.5876958
C-WEU-ITA,mfh,sr21_std,176.20732124625
C-WEU-ITA,mfh,sr22_low,176.20732124625
C-WEU-ITA,mfh,sr31_std,83.13725161125
C-WEU-ITA,mfh,sr32_low,83.13725161125
C-WEU-ITA,sfh,s1,648.47513315
C-WEU-ITA,sfh,s2,444.6986315875
C-WEU-ITA,sfh,s3,216.3174307375
C-WEU-ITA,sfh,s51_std,154.0648462375
C-WEU-ITA,sfh,s52_low,73.87540382375
C-WEU-ITA,sfh,sr11_std,648.47513315
C-WEU-ITA,sfh,sr12_low,648.47513315
C-WEU-ITA,sfh,sr21_std,444.6986315875
C-WEU-ITA,sfh,sr22_low,444.6986315875
C-WEU-ITA,sfh,sr31_std,216.3174307375
C-WEU-ITA,sfh,sr32_low,216.3174307375
C-WEU-LUX,inf,ns,857.9219601
C-WEU-LUX,mfh,s1,352.34177975
C-WEU-LUX,mfh,s2,241.06685355000002
C-WEU-LUX,mfh,s3,119.14695445000001
C-WEU-LUX,mfh,s51_std,87.19672721
C-WEU-LUX,mfh,s52_low,47.70886119
