region_bld,region_nuts,year,urt,value
C-EEU-BGR,C-EEU-BGR-BG315,2090,rur,0.08996795022794112
C-EEU-BGR,C-EEU-BGR-BG315,2090,urb,0.9100320497720589
C-EEU-BGR,C-EEU-BGR-BG315,2095,rur,0.08557410599191688
C-EEU-BGR,C-EEU-BGR-BG315,2095,urb,0.914425894008083
C-EEU-BGR,C-EEU-BGR-BG315,2100,rur,0.08151528458090486
C-EEU-BGR,C-EEU-BGR-BG315,2100,urb,0.9184847154190952
C-EEU-BGR,C-EEU-BGR-BG321,2020,rur,0.2270422341152725
C-EEU-BGR,C-EEU-BGR-BG321,2020,urb,0.7729577658847275
C-EEU-BGR,C-EEU-BGR-BG321,2025,rur,0.20834752324768246
C-EEU-BGR,C-EEU-BGR-BG321,2025,urb,0.7916524767523175
C-EEU-BGR,C-EEU-BGR-BG321,2030,rur,0.19196027977380117
C-EEU-BGR,C-EEU-BGR-BG321,2030,urb,0.8080397202261989
C-EEU-BGR,C-EEU-BGR-BG321,2035,rur,0.17752024122106602
C-EEU-BGR,C-EEU-BGR-BG321,2035,urb,0.8224797587789341
C-EEU-BGR,C-EEU-BGR-BG321,2040,rur,0.16474809328641934
C-EEU-BGR,C-EEU-BGR-BG321,2040,urb,0.8352519067135806
C-EEU-BGR,C-EEU-BGR-BG321,2045,rur,0.15338659767159935
C-EEU-BGR,C-EEU-BGR-BG321,2045,urb,0.8466134023284007
C-EEU-BGR,C-EEU-BGR-BG321,2050,rur,0.1432286712894867
C-EEU-BGR,C-EEU-BGR-BG321,2050,urb,0.8567713287105133
C-EEU-BGR,C-EEU-BGR-BG321,2055,rur,0.13411670061466174
C-EEU-BGR,C-EEU-BGR-BG321,2055,urb,0.8658832993853383
C-EEU-BGR,C-EEU-BGR-BG321,2060,rur,0.12589423004934286
C-EEU-BGR,C-EEU-BGR-BG321,2060,urb,0.8741057699506571
C-EEU-BGR,C-EEU-BGR-BG321,2065,rur,0.11845350800392913
C-EEU-BGR,C-EEU-BGR-BG321,2065,urb,0.8815464919960707
C-EEU-BGR,C-EEU-BGR-BG321,2070,rur,0.11169696818124313
C-EEU-BGR,C-EEU-BGR-BG321,2070,urb,0.8883030318187568
C-EEU-BGR,C-EEU-BGR-BG321,2075,rur,0.10553709482390693
C-EEU-BGR,C-EEU-BGR-BG321,2075,urb,0.8944629051760931
C-EEU-BGR,C-EEU-BGR-BG321,2080,rur,0.09989631146369779
C-EEU-BGR,C-EEU-BGR-BG321,2080,urb,0.9001036885363023
C-EEU-BGR,C-EEU-BGR-BG321,2085,rur,0.09472592686551215
C-EEU-BGR,C-EEU-BGR-BG321,2085,urb,0.9052740731344879
C-EEU-BGR,C-EEU-BGR-BG321,2090,rur,0.08996795022794145
C-EEU-BGR,C-EEU-BGR-BG321,2090,urb,0.9100320497720585
C-EEU-BGR,C-EEU-BGR-BG321,2095,rur,0.0855741059919167
C-EEU-BGR,C-EEU-BGR-BG321,2095,urb,0.9144258940080833
C-EEU-BGR,C-EEU-BGR-BG321,2100,rur,0.0815152845809057
C-EEU-BGR,C-EEU-BGR-BG321,2100,urb,0.9184847154190943
C-EEU-BGR,C-EEU-BGR-BG322,2020,rur,0.2639235412976196
C-EEU-BGR,C-EEU-BGR-BG322,2020,urb,0.7360764587023804
C-EEU-BGR,C-EEU-BGR-BG322,2025,rur,0.24314729802513563
C-EEU-BGR,C-EEU-BGR-BG322,2025,urb,0.7568527019748643
C-EEU-BGR,C-EEU-BGR-BG322,2030,rur,0.22480017520194534
C-EEU-BGR,C-EEU-BGR-BG322,2030,urb,0.7751998247980547
C-EEU-BGR,C-EEU-BGR-BG322,2035,rur,0.208527298057118
C-EEU-BGR,C-EEU-BGR-BG322,2035,urb,0.791472701942882
C-EEU-BGR,C-EEU-BGR-BG322,2040,rur,0.19405060811117508
C-EEU-BGR,C-EEU-BGR-BG322,2040,urb,0.805949391888825
C-EEU-BGR,C-EEU-BGR-BG322,2045,rur,0.1811064918450943
C-EEU-BGR,C-EEU-BGR-BG322,2045,urb,0.8188935081549057
C-EEU-BGR,C-EEU-BGR-BG322,2050,rur,0.16948032189643358
C-EEU-BGR,C-EEU-BGR-BG322,2050,urb,0.8305196781035663
C-EEU-BGR,C-EEU-BGR-BG322,2055,rur,0.15900821612339575
C-EEU-BGR,C-EEU-BGR-BG322,2055,urb,0.8409917838766042
C-EEU-BGR,C-EEU-BGR-BG322,2060,rur,0.1495232123121589
C-EEU-BGR,C-EEU-BGR-BG322,2060,urb,0.8504767876878411
C-EEU-BGR,C-EEU-BGR-BG322,2065,rur,0.14091107846139275
C-EEU-BGR,C-EEU-BGR-BG322,2065,urb,0.8590889215386073
C-EEU-BGR,C-EEU-BGR-BG322,2070,rur,0.1330669268380005
C-EEU-BGR,C-EEU-BGR-BG322,2070,urb,0.8669330731619995
C-EEU-BGR,C-EEU-BGR-BG322,2075,rur,0.12589556701546964
C-EEU-BGR,C-EEU-BGR-BG322,2075,urb,0.8741044329845303
C-EEU-BGR,C-EEU-BGR-BG322,2080,rur,0.11931180143542322
C-EEU-BGR,C-EEU-BGR-BG322,2080,urb,0.8806881985645768
C-EEU-BGR,C-EEU-BGR-BG322,2085,rur,0.11326296888074205
C-EEU-BGR,C-EEU-BGR-BG322,2085,urb,0.8867370311192581
C-EEU-BGR,C-EEU-BGR-BG322,2090,rur,0.10768465358524945
C-EEU-BGR,C-EEU-BGR-BG322,2090,urb,0.8923153464147505
C-EEU-BGR,C-EEU-BGR-BG322,2095,rur,0.10252304059593685
C-EEU-BGR,C-EEU-BGR-BG322,2095,urb,0.8974769594040631
C-EEU-BGR,C-EEU-BGR-BG322,2100,rur,0.09774625432452963
C-EEU-BGR,C-EEU-BGR-BG322,2100,urb,0.9022537456754703
C-EEU-BGR,C-EEU-BGR-BG323,2020,rur,0.22704223411527238
C-EEU-BGR,C-EEU-BGR-BG323,2020,urb,0.7729577658847276
C-EEU-BGR,C-EEU-BGR-BG323,2025,rur,0.20834752324768258
C-EEU-BGR,C-EEU-BGR-BG323,2025,urb,0.7916524767523174
C-EEU-BGR,C-EEU-BGR-BG323,2030,rur,0.1919602797738011
C-EEU-BGR,C-EEU-BGR-BG323,2030,urb,0.808039720226199
C-EEU-BGR,C-EEU-BGR-BG323,2035,rur,0.17752024122106624
C-EEU-BGR,C-EEU-BGR-BG323,2035,urb,0.8224797587789338
C-EEU-BGR,C-EEU-BGR-BG323,2040,rur,0.16474809328641946
C-EEU-BGR,C-EEU-BGR-BG323,2040,urb,0.8352519067135806
C-EEU-BGR,C-EEU-BGR-BG323,2045,rur,0.1533865976715993
C-EEU-BGR,C-EEU-BGR-BG323,2045,urb,0.8466134023284008
C-EEU-BGR,C-EEU-BGR-BG323,2050,rur,0.14322867128948658
C-EEU-BGR,C-EEU-BGR-BG323,2050,urb,0.8567713287105135
C-EEU-BGR,C-EEU-BGR-BG323,2055,rur,0.13411670061466194
C-EEU-BGR,C-EEU-BGR-BG323,2055,urb,0.8658832993853381
C-EEU-BGR,C-EEU-BGR-BG323,2060,rur,0.1258942300493428
C-EEU-BGR,C-EEU-BGR-BG323,2060,urb,0.8741057699506573
C-EEU-BGR,C-EEU-BGR-BG323,2065,rur,0.11845350800392891
C-EEU-BGR,C-EEU-BGR-BG323,2065,urb,0.881546491996071
C-EEU-BGR,C-EEU-BGR-BG323,2070,rur,0.11169696818124311
C-EEU-BGR,C-EEU-BGR-BG323,2070,urb,0.8883030318187568
C-EEU-BGR,C-EEU-BGR-BG323,2075,rur,0.10553709482390695
C-EEU-BGR,C-EEU-BGR-BG323,2075,urb,0.894462905176093
C-EEU-BGR,C-EEU-BGR-BG323,2080,rur,0.09989631146369846
C-EEU-BGR,C-EEU-BGR-BG323,2080,urb,0.9001036885363016
C-EEU-BGR,C-EEU-BGR-BG323,2085,rur,0.09472592686551279
C-EEU-BGR,C-EEU-BGR-BG323,2085,urb,0.9052740731344872
C-EEU-BGR,C-EEU-BGR-BG323,2090,rur,0.08996795022794173
C-EEU-BGR,C-EEU-BGR-BG323,2090,urb,0.9100320497720583
C-EEU-BGR,C-EEU-BGR-BG323,2095,rur,0.08557410599191694
C-EEU-BGR,C-EEU-BGR-BG323,2095,urb,0.914425894008083
C-EEU-BGR,C-EEU-BGR-BG323,2100,rur,0.08151528458090558
C-EEU-BGR,C-EEU-BGR-BG323,2100,urb,0.9184847154190945
C-EEU-BGR,C-EEU-BGR-BG324,2020,rur,0.22704223411527238
C-EEU-BGR,C-EEU-BGR-BG324,2020,urb,0.7729577658847276
C-EEU-BGR,C-EEU-BGR-BG324,2025,rur,0.20834752324768238
C-EEU-BGR,C-EEU-BGR-BG324,2025,urb,0.7916524767523175
C-EEU-BGR,C-EEU-BGR-BG324,2030,rur,0.19196027977380076
C-EEU-BGR,C-EEU-BGR-BG324,2030,urb,0.8080397202261993
C-EEU-BGR,C-EEU-BGR-BG324,2035,rur,0.17752024122106638
C-EEU-BGR,C-EEU-BGR-BG324,2035,urb,0.8224797587789335
C-EEU-BGR,C-EEU-BGR-BG324,2040,rur,0.16474809328641923
C-EEU-BGR,C-EEU-BGR-BG324,2040,urb,0.8352519067135808
C-EEU-BGR,C-EEU-BGR-BG324,2045,rur,0.15338659767159912
C-EEU-BGR,C-EEU-BGR-BG324,2045,urb,0.8466134023284009
C-EEU-BGR,C-EEU-BGR-BG324,2050,rur,0.14322867128948644
C-EEU-BGR,C-EEU-BGR-BG324,2050,urb,0.8567713287105136
C-EEU-BGR,C-EEU-BGR-BG324,2055,rur,0.13411670061466124
C-EEU-BGR,C-EEU-BGR-BG324,2055,urb,0.8658832993853387
C-EEU-BGR,C-EEU-BGR-BG324,2060,rur,0.12589423004934247
C-EEU-BGR,C-EEU-BGR-BG324,2060,urb,0.8741057699506576
C-EEU-BGR,C-EEU-BGR-BG324,2065,rur,0.11845350800392852
C-EEU-BGR,C-EEU-BGR-BG324,2065,urb,0.8815464919960716
C-EEU-BGR,C-EEU-BGR-BG324,2070,rur,0.11169696818124211
C-EEU-BGR,C-EEU-BGR-BG324,2070,urb,0.8883030318187579
C-EEU-BGR,C-EEU-BGR-BG324,2075,rur,0.10553709482390602
C-EEU-BGR,C-EEU-BGR-BG324,2075,urb,0.894462905176094
C-EEU-BGR,C-EEU-BGR-BG324,2080,rur,0.09989631146369779
C-EEU-BGR,C-EEU-BGR-BG324,2080,urb,0.9001036885363022
C-EEU-BGR,C-EEU-BGR-BG324,2085,rur,0.09472592686551236
C-EEU-BGR,C-EEU-BGR-BG324,2085,urb,0.9052740731344877
C-EEU-BGR,C-EEU-BGR-BG324,2090,rur,0.08996795022794203
C-EEU-BGR,C-EEU-BGR-BG324,2090,urb,0.910032049772058
C-EEU-BGR,C-EEU-BGR-BG324,2095,rur,0.08557410599191614
C-EEU-BGR,C-EEU-BGR-BG324,2095,urb,0.9144258940080839
C-EEU-BGR,C-EEU-BGR-BG324,2100,rur,0.08151528458090537
C-EEU-BGR,C-EEU-BGR-BG324,2100,urb,0.9184847154190946
C-EEU-BGR,C-EEU-BGR-BG325,2020,rur,0.22704223411527197
C-EEU-BGR,C-EEU-BGR-BG325,2020,urb,0.772957765884728
C-EEU-BGR,C-EEU-BGR-BG325,2025,rur,0.2083475232476828
C-EEU-BGR,C-EEU-BGR-BG325,2025,urb,0.7916524767523173
