region_gea,mat,tenr,year,value
PAO,sub,rent,2070,0.0
PAO,sub,rent,2075,0.0
PAO,sub,rent,2080,0.0
PAO,sub,rent,2085,0.0
PAO,sub,rent,2090,0.0
PAO,sub,rent,2095,0.0
PAO,sub,rent,2100,0.0
PAS,perm,own,2015,0.898849856
PAS,perm,own,2020,0.898849856
PAS,perm,own,2025,0.898849856
PAS,perm,own,2030,0.898849856
PAS,perm,own,2035,0.898849856
PAS,perm,own,2040,0.898849856
PAS,perm,own,2045,0.898849856
PAS,perm,own,2050,0.898849856
PAS,perm,own,2055,0.898849856
PAS,perm,own,2060,0.898849856
PAS,perm,own,2065,0.898849856
PAS,perm,own,2070,0.898849856
PAS,perm,own,2075,0.898849856
PAS,perm,own,2080,0.898849856
PAS,perm,own,2085,0.898849856
PAS,perm,own,2090,0.898849856
PAS,perm,own,2095,0.898849856
PAS,perm,own,2100,0.898849856
PAS,perm,rent,2015,0.101150144
PAS,perm,rent,2020,0.101150144
PAS,perm,rent,2025,0.101150144
PAS,perm,rent,2030,0.101150144
PAS,perm,rent,2035,0.101150144
PAS,perm,rent,2040,0.101150144
PAS,perm,rent,2045,0.101150144
PAS,perm,rent,2050,0.101150144
PAS,perm,rent,2055,0.101150144
PAS,perm,rent,2060,0.101150144
PAS,perm,rent,2065,0.101150144
PAS,perm,rent,2070,0.101150144
PAS,perm,rent,2075,0.101150144
PAS,perm,rent,2080,0.101150144
PAS,perm,rent,2085,0.101150144
PAS,perm,rent,2090,0.101150144
PAS,perm,rent,2095,0.101150144
PAS,perm,rent,2100,0.101150144
PAS,sub,own,2015,1.0
PAS,sub,own,2020,1.0
PAS,sub,own,2025,1.0
PAS,sub,own,2030,1.0
PAS,sub,own,2035,1.0
PAS,sub,own,2040,1.0
PAS,sub,own,2045,1.0
PAS,sub,own,2050,1.0
PAS,sub,own,2055,1.0
PAS,sub,own,2060,1.0
PAS,sub,own,2065,1.0
PAS,sub,own,2070,1.0
PAS,sub,own,2075,1.0
PAS,sub,own,2080,1.0
PAS,sub,own,2085,1.0
PAS,sub,own,2090,1.0
PAS,sub,own,2095,1.0
PAS,sub,own,2100,1.0
PAS,sub,rent,2015,0.0
PAS,sub,rent,2020,0.0
PAS,sub,rent,2025,0.0
PAS,sub,rent,2030,0.0
PAS,sub,rent,2035,0.0
PAS,sub,rent,2040,0.0
PAS,sub,rent,2045,0.0
PAS,sub,rent,2050,0.0
PAS,sub,rent,2055,0.0
PAS,sub,rent,2060,0.0
PAS,sub,rent,2065,0.0
PAS,sub,rent,2070,0.0
PAS,sub,rent,2075,0.0
PAS,sub,rent,2080,0.0
PAS,sub,rent,2085,0.0
PAS,sub,rent,2090,0.0
PAS,sub,rent,2095,0.0
PAS,sub,rent,2100,0.0
SAS,perm,own,2015,0.898849856
SAS,perm,own,2020,0.898849856
SAS,perm,own,2025,0.898849856
SAS,perm,own,2030,0.898849856
SAS,perm,own,2035,0.898849856
SAS,perm,own,2040,0.898849856
SAS,perm,own,2045,0.898849856
SAS,perm,own,2050,0.898849856
SAS,perm,own,2055,0.898849856
SAS,perm,own,2060,0.898849856
SAS,perm,own,2065,0.898849856
SAS,perm,own,2070,0.898849856
SAS,perm,own,2075,0.898849856
SAS,perm,own,2080,0.898849856
SAS,perm,own,2085,0.898849856
SAS,perm,own,2090,0.898849856
SAS,perm,own,2095,0.898849856
SAS,perm,own,2100,0.898849856
SAS,perm,rent,2015,0.101150144
SAS,perm,rent,2020,0.101150144
SAS,perm,rent,2025,0.101150144
SAS,perm,rent,2030,0.101150144
SAS,perm,rent,2035,0.101150144
SAS,perm,rent,2040,0.101150144
SAS,perm,rent,2045,0.101150144
SAS,perm,rent,2050,0.101150144
SAS,perm,rent,2055,0.101150144
SAS,perm,rent,2060,0.101150144
SAS,perm,rent,2065,0.101150144
SAS,perm,rent,2070,0.101150144
SAS,perm,rent,2075,0.101150144
SAS,perm,rent,2080,0.101150144
SAS,perm,rent,2085,0.101150144
SAS,perm,rent,2090,0.101150144
SAS,perm,rent,2095,0.101150144
SAS,perm,rent,2100,0.101150144
SAS,sub,own,2015,1.0
SAS,sub,own,2020,1.0
SAS,sub,own,2025,1.0
SAS,sub,own,2030,1.0
SAS,sub,own,2035,1.0
SAS,sub,own,2040,1.0
SAS,sub,own,2045,1.0
SAS,sub,own,2050,1.0
SAS,sub,own,2055,1.0
SAS,sub,own,2060,1.0
SAS,sub,own,2065,1.0
SAS,sub,own,2070,1.0
SAS,sub,own,2075,1.0
SAS,sub,own,2080,1.0
SAS,sub,own,2085,1.0
SAS,sub,own,2090,1.0
SAS,sub,own,2095,1.0
SAS,sub,own,2100,1.0
SAS,sub,rent,2015,0.0
SAS,sub,rent,2020,0.0
SAS,sub,rent,2025,0.0
SAS,sub,rent,2030,0.0
SAS,sub,rent,2035,0.0
SAS,sub,rent,2040,0.0
SAS,sub,rent,2045,0.0
SAS,sub,rent,2050,0.0
SAS,sub,rent,2055,0.0
SAS,sub,rent,2060,0.0
SAS,sub,rent,2065,0.0
SAS,sub,rent,2070,0.0
SAS,sub,rent,2075,0.0
SAS,sub,rent,2080,0.0
SAS,sub,rent,2085,0.0
SAS,sub,rent,2090,0.0
SAS,sub,rent,2095,0.0
SAS,sub,rent,2100,0.0
WEU,perm,own,2015,0.7575288529999998
WEU,perm,own,2020,0.7575288529999998
WEU,perm,own,2025,0.7575288529999998
WEU,perm,own,2030,0.7575288529999998
WEU,perm,own,2035,0.7575288529999998
WEU,perm,own,2040,0.7575288529999998
WEU,perm,own,2045,0.7575288529999998
WEU,perm,own,2050,0.7575288529999998
WEU,perm,own,2055,0.7575288529999998
WEU,perm,own,2060,0.7575288529999998
WEU,perm,own,2065,0.7575288529999998
WEU,perm,own,2070,0.7575288529999998
WEU,perm,own,2075,0.7575288529999998
WEU,perm,own,2080,0.7575288529999998
WEU,perm,own,2085,0.7575288529999998
WEU,perm,own,2090,0.7575288529999998
WEU,perm,own,2095,0.7575288529999998
