region_bld,region_nuts,urt,clim,value
C-EEU-POL,C-EEU-POL-PL214,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL214,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL217,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL217,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL218,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL218,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL219,rur,Zone_6A Cold Humid,1
C-EEU-POL,C-EEU-POL-PL219,urb,Zone_6A Cold Humid,1
C-EEU-POL,C-EEU-POL-PL21A,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL21A,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL224,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL224,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL225,rur,Zone_6A Cold Humid,1
C-EEU-POL,C-EEU-POL-PL225,urb,Zone_6A Cold Humid,1
C-EEU-POL,C-EEU-POL-PL227,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL227,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL228,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL228,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL229,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL229,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL22A,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL22A,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL22B,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL22B,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL22C,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL22C,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL411,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL411,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL414,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL414,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL415,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL415,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL416,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL416,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL417,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL417,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL418,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL418,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL424,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL424,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL426,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL426,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL427,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL427,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL428,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL428,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL431,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL431,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL432,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL432,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL514,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL514,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL515,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL515,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL516,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL516,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL517,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL517,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL518,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL518,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL523,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL523,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL524,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL524,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL613,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL613,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL616,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL616,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL617,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL617,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL618,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL618,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL619,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL619,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL621,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL621,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL622,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL622,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL623,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL623,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL633,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL633,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL634,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL634,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL636,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL636,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL637,rur,Zone_5A Cool Humid,1
