region_bld,clim,urt,arch,eneff,region_nuts,value
C-WEU-GRC,Zone_3A Warm Humid,rur,mfh,s2,C-WEU-GRC-EL624,63.60227273
C-WEU-GRC,Zone_3A Warm Humid,urb,mfh,s2,C-WEU-GRC-EL624,63.60227273
C-WEU-GRC,Zone_3A Warm Humid,rur,mfh,s2,C-WEU-GRC-EL631,63.60227273
C-WEU-GRC,Zone_3A Warm Humid,urb,mfh,s2,C-WEU-GRC-EL631,63.60227273
C-WEU-GRC,Zone_3A Warm Humid,rur,mfh,s2,C-WEU-GRC-EL632,63.60227273
C-WEU-GRC,Zone_3A Warm Humid,urb,mfh,s2,C-WEU-GRC-EL632,63.60227273
C-WEU-GRC,Zone_3A Warm Humid,rur,mfh,s2,C-WEU-GRC-EL633,63.60227273
C-WEU-GRC,Zone_3A Warm Humid,urb,mfh,s2,C-WEU-GRC-EL633,63.60227273
C-WEU-GRC,Zone_3A Warm Humid,rur,mfh,s2,C-WEU-GRC-EL641,63.60227273
C-WEU-GRC,Zone_3A Warm Humid,urb,mfh,s2,C-WEU-GRC-EL641,63.60227273
C-WEU-GRC,Zone_3A Warm Humid,rur,mfh,s2,C-WEU-GRC-EL642,63.60227273
C-WEU-GRC,Zone_3A Warm Humid,urb,mfh,s2,C-WEU-GRC-EL642,63.60227273
C-WEU-GRC,Zone_4A Mixed Humid,rur,mfh,s2,C-WEU-GRC-EL643,45.90909091
C-WEU-GRC,Zone_4A Mixed Humid,urb,mfh,s2,C-WEU-GRC-EL643,45.90909091
C-WEU-GRC,Zone_3A Warm Humid,rur,mfh,s2,C-WEU-GRC-EL644,63.60227273
C-WEU-GRC,Zone_3A Warm Humid,urb,mfh,s2,C-WEU-GRC-EL644,63.60227273
C-WEU-GRC,Zone_4A Mixed Humid,rur,mfh,s2,C-WEU-GRC-EL645,45.90909091
C-WEU-GRC,Zone_4A Mixed Humid,urb,mfh,s2,C-WEU-GRC-EL645,45.90909091
C-WEU-GRC,Zone_4A Mixed Humid,rur,mfh,s2,C-WEU-GRC-EL651,45.90909091
C-WEU-GRC,Zone_4A Mixed Humid,urb,mfh,s2,C-WEU-GRC-EL651,45.90909091
C-WEU-GRC,Zone_4A Mixed Humid,rur,mfh,s2,C-WEU-GRC-EL652,45.90909091
C-WEU-GRC,Zone_4A Mixed Humid,urb,mfh,s2,C-WEU-GRC-EL652,45.90909091
C-WEU-GRC,Zone_3A Warm Humid,rur,mfh,s2,C-WEU-GRC-EL653,63.60227273
C-WEU-GRC,Zone_3A Warm Humid,urb,mfh,s2,C-WEU-GRC-EL653,63.60227273
C-WEU-ESP,Zone_3C Warm Marine,rur,mfh,s2,C-WEU-ESP-ES111,11.14583333
C-WEU-ESP,Zone_3C Warm Marine,urb,mfh,s2,C-WEU-ESP-ES111,11.14583333
C-WEU-ESP,Zone_4C Mixed Marine,rur,mfh,s2,C-WEU-ESP-ES112,22.68243243
C-WEU-ESP,Zone_4C Mixed Marine,urb,mfh,s2,C-WEU-ESP-ES112,22.68243243
C-WEU-ESP,Zone_4C Mixed Marine,rur,mfh,s2,C-WEU-ESP-ES113,22.68243243
C-WEU-ESP,Zone_4C Mixed Marine,urb,mfh,s2,C-WEU-ESP-ES113,22.68243243
C-WEU-ESP,Zone_4C Mixed Marine,rur,mfh,s2,C-WEU-ESP-ES114,22.68243243
C-WEU-ESP,Zone_4C Mixed Marine,urb,mfh,s2,C-WEU-ESP-ES114,22.68243243
C-WEU-ESP,Zone_4C Mixed Marine,rur,mfh,s2,C-WEU-ESP-ES120,22.68243243
C-WEU-ESP,Zone_4C Mixed Marine,urb,mfh,s2,C-WEU-ESP-ES120,22.68243243
C-WEU-ESP,Zone_4A Mixed Humid,rur,mfh,s2,C-WEU-ESP-ES130,32.38839286
C-WEU-ESP,Zone_4A Mixed Humid,urb,mfh,s2,C-WEU-ESP-ES130,32.38839286
C-WEU-ESP,Zone_4A Mixed Humid,rur,mfh,s2,C-WEU-ESP-ES211,32.38839286
C-WEU-ESP,Zone_4A Mixed Humid,urb,mfh,s2,C-WEU-ESP-ES211,32.38839286
C-WEU-ESP,Zone_3A Warm Humid,rur,mfh,s2,C-WEU-ESP-ES212,54.12378641
C-WEU-ESP,Zone_3A Warm Humid,urb,mfh,s2,C-WEU-ESP-ES212,54.12378641
C-WEU-ESP,Zone_4A Mixed Humid,rur,mfh,s2,C-WEU-ESP-ES213,32.38839286
C-WEU-ESP,Zone_4A Mixed Humid,urb,mfh,s2,C-WEU-ESP-ES213,32.38839286
C-WEU-ESP,Zone_4A Mixed Humid,rur,mfh,s2,C-WEU-ESP-ES220,32.38839286
C-WEU-ESP,Zone_4A Mixed Humid,urb,mfh,s2,C-WEU-ESP-ES220,32.38839286
