region_bld,region_nuts,clim,arch,urt,value
C-EEU-EST,C-EEU-EST-EE008,Zone_6A Cold Humid,sfh,urb,10049.0
C-EEU-EST,C-EEU-EST-EE008,Zone_6A Cold Humid,sfh,rur,10049.0
C-EEU-EST,C-EEU-EST-EE009,Zone_6A Cold Humid,mfh,urb,6271.5
C-EEU-EST,C-EEU-EST-EE009,Zone_6A Cold Humid,mfh,rur,6271.5
C-EEU-EST,C-EEU-EST-EE009,Zone_6A Cold Humid,sfh,urb,4702.5
C-EEU-EST,C-EEU-EST-EE009,Zone_6A Cold Humid,sfh,rur,4702.5
C-EEU-EST,C-EEU-EST-EE00A,Zone_6A Cold Humid,mfh,urb,7910.0
C-EEU-EST,C-EEU-EST-EE00A,Zone_6A Cold Humid,mfh,rur,7910.0
C-EEU-EST,C-EEU-EST-EE00A,Zone_6A Cold Humid,sfh,urb,1557.5
C-EEU-EST,C-EEU-EST-EE00A,Zone_6A Cold Humid,sfh,rur,1557.5
C-EEU-HRV,C-EEU-HRV-HR021,Zone_4A Mixed Humid,mfh,urb,1572.0
C-EEU-HRV,C-EEU-HRV-HR021,Zone_4A Mixed Humid,mfh,rur,1572.0
C-EEU-HRV,C-EEU-HRV-HR021,Zone_4A Mixed Humid,sfh,urb,7935.5
C-EEU-HRV,C-EEU-HRV-HR021,Zone_4A Mixed Humid,sfh,rur,7935.5
C-EEU-HRV,C-EEU-HRV-HR022,Zone_4A Mixed Humid,mfh,urb,883.5
C-EEU-HRV,C-EEU-HRV-HR022,Zone_4A Mixed Humid,mfh,rur,883.5
C-EEU-HRV,C-EEU-HRV-HR022,Zone_4A Mixed Humid,sfh,urb,4822.0
C-EEU-HRV,C-EEU-HRV-HR022,Zone_4A Mixed Humid,sfh,rur,4822.0
C-EEU-HRV,C-EEU-HRV-HR023,Zone_4A Mixed Humid,mfh,urb,1102.0
C-EEU-HRV,C-EEU-HRV-HR023,Zone_4A Mixed Humid,mfh,rur,1102.0
C-EEU-HRV,C-EEU-HRV-HR023,Zone_4A Mixed Humid,sfh,urb,4752.0
C-EEU-HRV,C-EEU-HRV-HR023,Zone_4A Mixed Humid,sfh,rur,4752.0
C-EEU-HRV,C-EEU-HRV-HR024,Zone_4A Mixed Humid,mfh,urb,1844.5
C-EEU-HRV,C-EEU-HRV-HR024,Zone_4A Mixed Humid,mfh,rur,1844.5
C-EEU-HRV,C-EEU-HRV-HR024,Zone_4A Mixed Humid,sfh,urb,7340.0
C-EEU-HRV,C-EEU-HRV-HR024,Zone_4A Mixed Humid,sfh,rur,7340.0
C-EEU-HRV,C-EEU-HRV-HR025,Zone_4A Mixed Humid,mfh,urb,6151.0
C-EEU-HRV,C-EEU-HRV-HR025,Zone_4A Mixed Humid,mfh,rur,6151.0
C-EEU-HRV,C-EEU-HRV-HR025,Zone_4A Mixed Humid,sfh,urb,13788.5
C-EEU-HRV,C-EEU-HRV-HR025,Zone_4A Mixed Humid,sfh,rur,13788.5
C-EEU-HRV,C-EEU-HRV-HR026,Zone_4A Mixed Humid,mfh,urb,2175.0
C-EEU-HRV,C-EEU-HRV-HR026,Zone_4A Mixed Humid,mfh,rur,2175.0
C-EEU-HRV,C-EEU-HRV-HR026,Zone_4A Mixed Humid,sfh,urb,9142.0
C-EEU-HRV,C-EEU-HRV-HR026,Zone_4A Mixed Humid,sfh,rur,9142.0
C-EEU-HRV,C-EEU-HRV-HR027,Zone_4A Mixed Humid,mfh,urb,2951.0
C-EEU-HRV,C-EEU-HRV-HR027,Zone_4A Mixed Humid,mfh,rur,2951.0
C-EEU-HRV,C-EEU-HRV-HR027,Zone_4A Mixed Humid,sfh,urb,10487.5
C-EEU-HRV,C-EEU-HRV-HR027,Zone_4A Mixed Humid,sfh,rur,10487.5
C-EEU-HRV,C-EEU-HRV-HR028,Zone_4A Mixed Humid,mfh,urb,2688.5
C-EEU-HRV,C-EEU-HRV-HR028,Zone_4A Mixed Humid,mfh,rur,2688.5
C-EEU-HRV,C-EEU-HRV-HR028,Zone_4A Mixed Humid,sfh,urb,14898.0
C-EEU-HRV,C-EEU-HRV-HR028,Zone_4A Mixed Humid,sfh,rur,14898.0
C-EEU-HRV,C-EEU-HRV-HR031,Zone_4A Mixed Humid,mfh,urb,34344.0
C-EEU-HRV,C-EEU-HRV-HR031,Zone_4A Mixed Humid,mfh,rur,34344.0
C-EEU-HRV,C-EEU-HRV-HR031,Zone_4A Mixed Humid,sfh,urb,14980.5
C-EEU-HRV,C-EEU-HRV-HR031,Zone_4A Mixed Humid,sfh,rur,14980.5
C-EEU-HRV,C-EEU-HRV-HR032,Zone_5A Cool Humid,mfh,urb,8414.5
C-EEU-HRV,C-EEU-HRV-HR032,Zone_5A Cool Humid,mfh,rur,8414.5
C-EEU-HRV,C-EEU-HRV-HR032,Zone_5A Cool Humid,sfh,urb,8817.5
C-EEU-HRV,C-EEU-HRV-HR032,Zone_5A Cool Humid,sfh,rur,8817.5
C-EEU-HRV,C-EEU-HRV-HR033,Zone_4C Mixed Marine,mfh,urb,31651.0
C-EEU-HRV,C-EEU-HRV-HR033,Zone_4C Mixed Marine,mfh,rur,31651.0
C-EEU-HRV,C-EEU-HRV-HR033,Zone_4C Mixed Marine,sfh,urb,16878.5
C-EEU-HRV,C-EEU-HRV-HR033,Zone_4C Mixed Marine,sfh,rur,16878.5
C-EEU-HRV,C-EEU-HRV-HR034,Zone_3A Warm Humid,mfh,urb,21678.5
C-EEU-HRV,C-EEU-HRV-HR034,Zone_3A Warm Humid,mfh,rur,21678.5
C-EEU-HRV,C-EEU-HRV-HR034,Zone_3A Warm Humid,sfh,urb,12441.5
C-EEU-HRV,C-EEU-HRV-HR034,Zone_3A Warm Humid,sfh,rur,12441.5
C-EEU-HRV,C-EEU-HRV-HR035,Zone_4A Mixed Humid,mfh,urb,44745.5
C-EEU-HRV,C-EEU-HRV-HR035,Zone_4A Mixed Humid,mfh,rur,44745.5
C-EEU-HRV,C-EEU-HRV-HR035,Zone_4A Mixed Humid,sfh,urb,21046.0
C-EEU-HRV,C-EEU-HRV-HR035,Zone_4A Mixed Humid,sfh,rur,21046.0
C-EEU-HRV,C-EEU-HRV-HR036,Zone_4A Mixed Humid,mfh,urb,24069.5
C-EEU-HRV,C-EEU-HRV-HR036,Zone_4A Mixed Humid,mfh,rur,24069.5
C-EEU-HRV,C-EEU-HRV-HR036,Zone_4A Mixed Humid,sfh,urb,16062.5
C-EEU-HRV,C-EEU-HRV-HR036,Zone_4A Mixed Humid,sfh,rur,16062.5
C-EEU-HRV,C-EEU-HRV-HR037,Zone_3A Warm Humid,mfh,urb,9356.5
C-EEU-HRV,C-EEU-HRV-HR037,Zone_3A Warm Humid,mfh,rur,9356.5
C-EEU-HRV,C-EEU-HRV-HR037,Zone_3A Warm Humid,sfh,urb,7167.5
C-EEU-HRV,C-EEU-HRV-HR037,Zone_3A Warm Humid,sfh,rur,7167.5
C-EEU-HRV,C-EEU-HRV-HR050,Zone_4A Mixed Humid,mfh,urb,37772.5
C-EEU-HRV,C-EEU-HRV-HR050,Zone_4A Mixed Humid,mfh,rur,37772.5
C-EEU-HRV,C-EEU-HRV-HR050,Zone_4A Mixed Humid,sfh,urb,9796.5
C-EEU-HRV,C-EEU-HRV-HR050,Zone_4A Mixed Humid,sfh,rur,9796.5
C-EEU-HRV,C-EEU-HRV-HR061,Zone_4A Mixed Humid,mfh,urb,994.5
C-EEU-HRV,C-EEU-HRV-HR061,Zone_4A Mixed Humid,mfh,rur,994.5
C-EEU-HRV,C-EEU-HRV-HR061,Zone_4A Mixed Humid,sfh,urb,4663.5
C-EEU-HRV,C-EEU-HRV-HR061,Zone_4A Mixed Humid,sfh,rur,4663.5
C-EEU-HRV,C-EEU-HRV-HR062,Zone_4A Mixed Humid,mfh,urb,2610.5
C-EEU-HRV,C-EEU-HRV-HR062,Zone_4A Mixed Humid,mfh,rur,2610.5
C-EEU-HRV,C-EEU-HRV-HR062,Zone_4A Mixed Humid,sfh,urb,12061.5
C-EEU-HRV,C-EEU-HRV-HR062,Zone_4A Mixed Humid,sfh,rur,12061.5
C-EEU-HRV,C-EEU-HRV-HR063,Zone_4A Mixed Humid,mfh,urb,1196.5
C-EEU-HRV,C-EEU-HRV-HR063,Zone_4A Mixed Humid,mfh,rur,1196.5
C-EEU-HRV,C-EEU-HRV-HR063,Zone_4A Mixed Humid,sfh,urb,10709.0
C-EEU-HRV,C-EEU-HRV-HR063,Zone_4A Mixed Humid,sfh,rur,10709.0
C-EEU-HRV,C-EEU-HRV-HR064,Zone_4A Mixed Humid,mfh,urb,1418.0
C-EEU-HRV,C-EEU-HRV-HR064,Zone_4A Mixed Humid,mfh,rur,1418.0
C-EEU-HRV,C-EEU-HRV-HR064,Zone_4A Mixed Humid,sfh,urb,11012.0
C-EEU-HRV,C-EEU-HRV-HR064,Zone_4A Mixed Humid,sfh,rur,11012.0
C-EEU-HRV,C-EEU-HRV-HR065,Zone_4A Mixed Humid,mfh,urb,3754.5
C-EEU-HRV,C-EEU-HRV-HR065,Zone_4A Mixed Humid,mfh,rur,3754.5
C-EEU-HRV,C-EEU-HRV-HR065,Zone_4A Mixed Humid,sfh,urb,19066.5
C-EEU-HRV,C-EEU-HRV-HR065,Zone_4A Mixed Humid,sfh,rur,19066.5
C-EEU-HUN,C-EEU-HUN-HU110,Zone_4A Mixed Humid,mfh,urb,75774.0
C-EEU-HUN,C-EEU-HUN-HU110,Zone_4A Mixed Humid,mfh,rur,75774.0
C-EEU-HUN,C-EEU-HUN-HU110,Zone_4A Mixed Humid,sfh,urb,3563.5
C-EEU-HUN,C-EEU-HUN-HU110,Zone_4A Mixed Humid,sfh,rur,3563.5
C-EEU-HUN,C-EEU-HUN-HU120,Zone_4A Mixed Humid,mfh,urb,4690.0
C-EEU-HUN,C-EEU-HUN-HU120,Zone_4A Mixed Humid,mfh,rur,4690.0
C-EEU-HUN,C-EEU-HUN-HU120,Zone_4A Mixed Humid,sfh,urb,8698.5
C-EEU-HUN,C-EEU-HUN-HU120,Zone_4A Mixed Humid,sfh,rur,8698.5
