region_bld,region_gea,region_nuts,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-CZE,EEU,C-EEU-CZE-CZ071,urb,Zone_5A Cool Humid,perm,mfh,1945,p1,0.19602626625430797
C-EEU-CZE,EEU,C-EEU-CZE-CZ071,urb,Zone_5A Cool Humid,perm,mfh,1960,p2,0.08057499675798029
C-EEU-CZE,EEU,C-EEU-CZE-CZ071,urb,Zone_5A Cool Humid,perm,mfh,1980,p2,0.32852466489305265
C-EEU-CZE,EEU,C-EEU-CZE-CZ071,urb,Zone_5A Cool Humid,perm,mfh,2000,p3,0.2232631616176303
C-EEU-CZE,EEU,C-EEU-CZE-CZ071,urb,Zone_5A Cool Humid,perm,mfh,2010,p3,0.09856525890965964
C-EEU-CZE,EEU,C-EEU-CZE-CZ071,urb,Zone_5A Cool Humid,perm,mfh,2015,p3,0.031040865167347165
C-EEU-CZE,EEU,C-EEU-CZE-CZ071,urb,Zone_5A Cool Humid,perm,mfh,2020,p3,0.042004786400022004
C-EEU-CZE,EEU,C-EEU-CZE-CZ072,urb,Zone_5A Cool Humid,perm,mfh,1945,p1,0.12034251017981334
C-EEU-CZE,EEU,C-EEU-CZE-CZ072,urb,Zone_5A Cool Humid,perm,mfh,1960,p2,0.10637454506143923
C-EEU-CZE,EEU,C-EEU-CZE-CZ072,urb,Zone_5A Cool Humid,perm,mfh,1980,p2,0.3729730460163598
C-EEU-CZE,EEU,C-EEU-CZE-CZ072,urb,Zone_5A Cool Humid,perm,mfh,2000,p3,0.23340600338726533
C-EEU-CZE,EEU,C-EEU-CZE-CZ072,urb,Zone_5A Cool Humid,perm,mfh,2010,p3,0.09929371914525603
C-EEU-CZE,EEU,C-EEU-CZE-CZ072,urb,Zone_5A Cool Humid,perm,mfh,2015,p3,0.03145382148391049
C-EEU-CZE,EEU,C-EEU-CZE-CZ072,urb,Zone_5A Cool Humid,perm,mfh,2020,p3,0.03615635472595582
C-EEU-CZE,EEU,C-EEU-CZE-CZ080,urb,Zone_5A Cool Humid,perm,mfh,1945,p1,0.12108483298782799
C-EEU-CZE,EEU,C-EEU-CZE-CZ080,urb,Zone_5A Cool Humid,perm,mfh,1960,p2,0.14985924354496544
C-EEU-CZE,EEU,C-EEU-CZE-CZ080,urb,Zone_5A Cool Humid,perm,mfh,1980,p2,0.4021702306147306
C-EEU-CZE,EEU,C-EEU-CZE-CZ080,urb,Zone_5A Cool Humid,perm,mfh,2000,p3,0.2084647463560614
C-EEU-CZE,EEU,C-EEU-CZE-CZ080,urb,Zone_5A Cool Humid,perm,mfh,2010,p3,0.06893234817258596
C-EEU-CZE,EEU,C-EEU-CZE-CZ080,urb,Zone_5A Cool Humid,perm,mfh,2015,p3,0.023678542908536535
C-EEU-CZE,EEU,C-EEU-CZE-CZ080,urb,Zone_5A Cool Humid,perm,mfh,2020,p3,0.02581005541529204
C-EEU-EST,EEU,C-EEU-EST-EE001,urb,Zone_6A Cold Humid,perm,mfh,1945,p1,0.0981388981986602
C-EEU-EST,EEU,C-EEU-EST-EE001,urb,Zone_6A Cold Humid,perm,mfh,1960,p2,0.08040008237465122
C-EEU-EST,EEU,C-EEU-EST-EE001,urb,Zone_6A Cold Humid,perm,mfh,1980,p2,0.3445965862975421
C-EEU-EST,EEU,C-EEU-EST-EE001,urb,Zone_6A Cold Humid,perm,mfh,2000,p3,0.2869666342282828
C-EEU-EST,EEU,C-EEU-EST-EE001,urb,Zone_6A Cold Humid,perm,mfh,2010,p3,0.09752108831450965
C-EEU-EST,EEU,C-EEU-EST-EE001,urb,Zone_6A Cold Humid,perm,mfh,2015,p3,0.027429951261664694
C-EEU-EST,EEU,C-EEU-EST-EE001,urb,Zone_6A Cold Humid,perm,mfh,2020,p3,0.06494675932468938
C-EEU-EST,EEU,C-EEU-EST-EE004,urb,Zone_6A Cold Humid,perm,mfh,1945,p1,0.19877194110461005
C-EEU-EST,EEU,C-EEU-EST-EE004,urb,Zone_6A Cold Humid,perm,mfh,1960,p2,0.11550826207162605
C-EEU-EST,EEU,C-EEU-EST-EE004,urb,Zone_6A Cold Humid,perm,mfh,1980,p2,0.3112261300070726
C-EEU-EST,EEU,C-EEU-EST-EE004,urb,Zone_6A Cold Humid,perm,mfh,2000,p3,0.2878705072976275
C-EEU-EST,EEU,C-EEU-EST-EE004,urb,Zone_6A Cold Humid,perm,mfh,2010,p3,0.05122805889538996
C-EEU-EST,EEU,C-EEU-EST-EE004,urb,Zone_6A Cold Humid,perm,mfh,2015,p3,0.011685848389378256
C-EEU-EST,EEU,C-EEU-EST-EE004,urb,Zone_6A Cold Humid,perm,mfh,2020,p3,0.023709252234295635
C-EEU-EST,EEU,C-EEU-EST-EE008,urb,Zone_6A Cold Humid,perm,mfh,1945,p1,0.1852681826205076
C-EEU-EST,EEU,C-EEU-EST-EE008,urb,Zone_6A Cold Humid,perm,mfh,1960,p2,0.09408839397404511
C-EEU-EST,EEU,C-EEU-EST-EE008,urb,Zone_6A Cold Humid,perm,mfh,1980,p2,0.356722408540095
C-EEU-EST,EEU,C-EEU-EST-EE008,urb,Zone_6A Cold Humid,perm,mfh,2000,p3,0.27409959862781363
C-EEU-EST,EEU,C-EEU-EST-EE008,urb,Zone_6A Cold Humid,perm,mfh,2010,p3,0.0428232657728525
C-EEU-EST,EEU,C-EEU-EST-EE008,urb,Zone_6A Cold Humid,perm,mfh,2015,p3,0.014857677873878575
C-EEU-EST,EEU,C-EEU-EST-EE008,urb,Zone_6A Cold Humid,perm,mfh,2020,p3,0.03214047259080758
C-EEU-EST,EEU,C-EEU-EST-EE009,urb,Zone_6A Cold Humid,perm,mfh,1945,p1,0.14999328073105647
C-EEU-EST,EEU,C-EEU-EST-EE009,urb,Zone_6A Cold Humid,perm,mfh,1960,p2,0.13192804622857032
C-EEU-EST,EEU,C-EEU-EST-EE009,urb,Zone_6A Cold Humid,perm,mfh,1980,p2,0.3211810555011615
C-EEU-EST,EEU,C-EEU-EST-EE009,urb,Zone_6A Cold Humid,perm,mfh,2000,p3,0.35965366968073875
C-EEU-EST,EEU,C-EEU-EST-EE009,urb,Zone_6A Cold Humid,perm,mfh,2010,p3,0.022154389602411256
C-EEU-EST,EEU,C-EEU-EST-EE009,urb,Zone_6A Cold Humid,perm,mfh,2015,p3,0.005202633953425868
C-EEU-EST,EEU,C-EEU-EST-EE009,urb,Zone_6A Cold Humid,perm,mfh,2020,p3,0.009886924302635873
C-EEU-EST,EEU,C-EEU-EST-EE00A,urb,Zone_6A Cold Humid,perm,mfh,1945,p1,0.036794053486305246
C-EEU-EST,EEU,C-EEU-EST-EE00A,urb,Zone_6A Cold Humid,perm,mfh,1960,p2,0.11661953623656783
C-EEU-EST,EEU,C-EEU-EST-EE00A,urb,Zone_6A Cold Humid,perm,mfh,1980,p2,0.5554334652985377
C-EEU-EST,EEU,C-EEU-EST-EE00A,urb,Zone_6A Cold Humid,perm,mfh,2000,p3,0.27496162236406235
C-EEU-EST,EEU,C-EEU-EST-EE00A,urb,Zone_6A Cold Humid,perm,mfh,2010,p3,0.011925345398723438
C-EEU-EST,EEU,C-EEU-EST-EE00A,urb,Zone_6A Cold Humid,perm,mfh,2015,p3,0.0020521935848751716
C-EEU-EST,EEU,C-EEU-EST-EE00A,urb,Zone_6A Cold Humid,perm,mfh,2020,p3,0.0022137836309283347
C-EEU-HRV,EEU,C-EEU-HRV-HR021,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.07214336215804644
C-EEU-HRV,EEU,C-EEU-HRV-HR021,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.10045140588459238
C-EEU-HRV,EEU,C-EEU-HRV-HR021,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.39718279219013436
C-EEU-HRV,EEU,C-EEU-HRV-HR021,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.27886550280089195
