region_bld,clim,arch,eneff,urt,value
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr12_low,sub,4.23033884
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr12_low,urb,4.422212049999999
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr21_std,rur,3.80412564
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr21_std,sub,3.99499177
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr21_std,urb,4.1858579
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr22_low,rur,3.80412564
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr22_low,sub,3.99499177
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr22_low,urb,4.1858579
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr31_std,rur,4.90086726
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr31_std,sub,5.10503449
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr31_std,urb,5.309201719999999
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr32_low,rur,4.90086726
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr32_low,sub,5.10503449
C-EEU-CZE,Zone_5A Cool Humid,mfh,sr32_low,urb,5.309201719999999
C-EEU-CZE,Zone_5A Cool Humid,sfh,s1,rur,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,sfh,s1,sub,3.97275394
C-EEU-CZE,Zone_5A Cool Humid,sfh,s1,urb,4.218544219999999
C-EEU-CZE,Zone_5A Cool Humid,sfh,s2,rur,3.01033304
C-EEU-CZE,Zone_5A Cool Humid,sfh,s2,sub,3.20543854
C-EEU-CZE,Zone_5A Cool Humid,sfh,s2,urb,3.4005440499999997
C-EEU-CZE,Zone_5A Cool Humid,sfh,s3,rur,2.93245569
C-EEU-CZE,Zone_5A Cool Humid,sfh,s3,sub,3.11139178
C-EEU-CZE,Zone_5A Cool Humid,sfh,s3,urb,3.2903278699999996
C-EEU-CZE,Zone_5A Cool Humid,sfh,s51_std,rur,3.32127976
C-EEU-CZE,Zone_5A Cool Humid,sfh,s51_std,sub,3.49509281
C-EEU-CZE,Zone_5A Cool Humid,sfh,s51_std,urb,3.6689058599999997
C-EEU-CZE,Zone_5A Cool Humid,sfh,s52_low,rur,6.04430608
C-EEU-CZE,Zone_5A Cool Humid,sfh,s52_low,sub,6.2765785
C-EEU-CZE,Zone_5A Cool Humid,sfh,s52_low,urb,6.5088509199999995
C-EEU-CZE,Zone_5A Cool Humid,sfh,sr11_std,rur,3.72696365
C-EEU-CZE,Zone_5A Cool Humid,sfh,sr11_std,sub,3.97275394
