index,region_bld,urt,arch,mat,year,value
140,C-EEU-CZE,sub,mfh,perm,2085,35.87696626131313
141,C-EEU-CZE,sub,mfh,perm,2090,36.25880395209396
142,C-EEU-CZE,sub,mfh,perm,2055,32.39245302716537
143,C-EEU-CZE,sub,sfh,perm,2100,59.226796710853854
144,C-EEU-CZE,urb,mfh,perm,2100,33.33635505280825
145,C-EEU-CZE,urb,mfh,perm,2090,32.764033021634724
146,C-EEU-CZE,urb,sfh,perm,2015,35.40078161361336
147,C-EEU-CZE,urb,sfh,perm,2020,37.03007962215672
148,C-EEU-CZE,urb,sfh,perm,2025,38.64163394532854
149,C-EEU-CZE,urb,sfh,perm,2030,40.215487660592125
150,C-EEU-CZE,urb,sfh,perm,2035,41.733581620305735
151,C-EEU-CZE,urb,sfh,perm,2040,43.18053873019001
152,C-EEU-CZE,urb,mfh,perm,2095,33.06843244642638
153,C-EEU-CZE,urb,sfh,perm,2045,44.54423415286374
154,C-EEU-CZE,urb,sfh,perm,2055,46.990680108264165
155,C-EEU-CZE,urb,sfh,perm,2060,48.06614916545944
156,C-EEU-CZE,urb,sfh,perm,2065,49.04310088609014
157,C-EEU-CZE,urb,sfh,perm,2070,49.92440935201874
158,C-EEU-CZE,urb,sfh,perm,2075,50.7146542311119
159,C-EEU-CZE,urb,sfh,perm,2080,51.419539629226115
160,C-EEU-CZE,urb,sfh,perm,2050,45.81602335426395
161,C-EEU-CZE,urb,sfh,perm,2085,52.04555034376588
162,C-EEU-CZE,rur,sfh,perm,2085,62.22064613821223
163,C-EEU-CZE,urb,mfh,perm,2080,32.02905843201587
164,C-EEU-CZE,rur,sfh,perm,2100,63.981296568649476
165,C-EEU-CZE,urb,mfh,perm,2015,22.05102789806027
166,C-EEU-CZE,urb,mfh,perm,2020,23.065912153539145
167,C-EEU-CZE,urb,mfh,perm,2025,24.06974392257458
168,C-EEU-CZE,urb,mfh,perm,2030,25.050092118469067
169,C-EEU-CZE,urb,mfh,perm,2035,25.99570774012437
170,C-EEU-CZE,urb,mfh,perm,2085,32.418998399803925
171,C-EEU-CZE,urb,mfh,perm,2040,26.897012457961747
172,C-EEU-CZE,urb,mfh,perm,2050,28.538646977310663
173,C-EEU-CZE,urb,mfh,perm,2055,29.27033671700875
174,C-EEU-CZE,urb,mfh,perm,2060,29.94024278751011
175,C-EEU-CZE,urb,mfh,perm,2065,30.548782727754137
176,C-EEU-CZE,urb,mfh,perm,2070,31.097746809752177
177,C-EEU-CZE,urb,mfh,perm,2075,31.589987687470625
178,C-EEU-CZE,urb,mfh,perm,2045,27.746453758176877
179,C-EEU-CZE,rur,sfh,perm,2095,63.4670821184593
180,C-EEU-CZE,urb,sfh,perm,2090,52.599469880867716
181,C-EEU-CZE,urb,sfh,perm,2100,53.518277264851626
182,C-EEU-CZE,rur,mfh,perm,2080,38.29085671446439
183,C-EEU-CZE,rur,mfh,perm,2075,37.76594603054338
184,C-EEU-CZE,rur,mfh,perm,2070,37.17747025759095
185,C-EEU-CZE,rur,mfh,perm,2065,36.52118168608044
186,C-EEU-CZE,rur,mfh,perm,2060,35.79366995774249
187,C-EEU-CZE,rur,mfh,perm,2055,34.99279479582775
188,C-EEU-CZE,rur,mfh,perm,2085,38.75703137475006
189,C-EEU-CZE,rur,mfh,perm,2050,34.11805703100424
190,C-EEU-CZE,rur,mfh,perm,2040,32.1554769479421
191,C-EEU-CZE,rur,mfh,perm,2035,31.077963855259853
192,C-EEU-CZE,rur,mfh,perm,2030,29.947476914701873
193,C-EEU-CZE,rur,mfh,perm,2025,28.7754670543759
194,C-EEU-CZE,rur,mfh,perm,2020,27.57538249631279
195,C-EEU-CZE,rur,mfh,perm,2015,26.362084650208683
196,C-EEU-CZE,rur,mfh,perm,2045,33.17098713482206
197,C-EEU-CZE,urb,sfh,perm,2095,53.0881535725419
198,C-EEU-CZE,rur,mfh,perm,2090,39.16952152940433
199,C-EEU-CZE,rur,mfh,perm,2100,39.85373461474095
200,C-EEU-CZE,rur,sfh,perm,2080,61.47224803518836
201,C-EEU-CZE,rur,sfh,perm,2075,60.62955495894325
202,C-EEU-CZE,rur,sfh,perm,2070,59.684814310418645
203,C-EEU-CZE,rur,sfh,perm,2065,58.631206810162425
204,C-EEU-CZE,rur,sfh,perm,2060,57.46325744845947
205,C-EEU-CZE,rur,sfh,perm,2055,56.177530249912145
206,C-EEU-CZE,rur,mfh,perm,2095,39.53343215710519
207,C-EEU-CZE,rur,sfh,perm,2050,54.773223796396785
208,C-EEU-CZE,rur,sfh,perm,2040,51.62249227152887
209,C-EEU-CZE,rur,sfh,perm,2035,49.8926497448072
210,C-EEU-CZE,rur,sfh,perm,2030,48.077762853459106
211,C-EEU-CZE,rur,sfh,perm,2025,46.196214970039414
212,C-EEU-CZE,rur,sfh,perm,2020,44.269595871725066
213,C-EEU-CZE,rur,sfh,perm,2015,42.32176413253368
214,C-EEU-CZE,rur,sfh,perm,2045,53.25279514610776
215,C-EEU-CZE,rur,sfh,perm,2090,62.882858974456816
216,C-EEU-EST,sub,sfh,perm,2085,46.23339190790052
217,C-EEU-EST,sub,mfh,perm,2015,17.248005649347686
218,C-EEU-EST,sub,sfh,perm,2080,45.448789022223295
219,C-EEU-EST,sub,sfh,perm,2075,44.56604976479695
220,C-EEU-EST,sub,sfh,perm,2070,43.57720953169201
221,C-EEU-EST,sub,sfh,perm,2065,42.475283567234044
222,C-EEU-EST,sub,sfh,perm,2060,41.254798976812246
223,C-EEU-EST,sub,sfh,perm,2055,39.91248237601785
224,C-EEU-EST,sub,sfh,perm,2050,38.44794334711274
225,C-EEU-EST,sub,sfh,perm,2045,36.86431741315201
226,C-EEU-EST,sub,sfh,perm,2040,35.16881083128122
227,C-EEU-EST,sub,sfh,perm,2035,33.3730583870221
228,C-EEU-EST,sub,sfh,perm,2030,31.493143515307864
229,C-EEU-EST,sub,sfh,perm,2025,29.54931901954104
230,C-EEU-EST,sub,sfh,perm,2020,27.565242628835087
231,C-EEU-EST,sub,sfh,perm,2015,25.56695617876354
232,C-EEU-EST,sub,mfh,perm,2100,32.43769231665915
233,C-EEU-EST,sub,mfh,perm,2095,32.07282780587809
234,C-EEU-EST,sub,mfh,perm,2090,31.658814713490617
235,C-EEU-EST,sub,mfh,perm,2020,18.59609166094779
236,C-EEU-EST,sub,mfh,perm,2025,19.934591269021688
237,C-EEU-EST,sub,mfh,perm,2030,21.245936099561586
238,C-EEU-EST,sub,mfh,perm,2035,22.51416616369543
239,C-EEU-EST,sub,mfh,perm,2040,23.725618480579097
240,C-EEU-EST,sub,mfh,perm,2045,24.869442826858226
241,C-EEU-EST,sub,sfh,perm,2090,46.92829680824188
242,C-EEU-EST,sub,mfh,perm,2050,25.937790142662973
243,C-EEU-EST,sub,mfh,perm,2060,27.831353913286648
244,C-EEU-EST,sub,mfh,perm,2065,28.654718451415068
245,C-EEU-EST,sub,mfh,perm,2070,29.398100850960667
246,C-EEU-EST,sub,mfh,perm,2075,30.065193239467497
247,C-EEU-EST,sub,mfh,perm,2080,30.660707684868697
248,C-EEU-EST,sub,mfh,perm,2085,31.19001727289929
249,C-EEU-EST,sub,mfh,perm,2055,26.925798935912955
250,C-EEU-EST,sub,sfh,perm,2095,47.54199411712405
251,C-EEU-EST,sub,sfh,perm,2100,48.08283779792319
252,C-EEU-EST,rur,sfh,perm,2085,63.73165824711143
253,C-EEU-EST,urb,mfh,perm,2090,31.07347541374919
254,C-EEU-EST,urb,mfh,perm,2085,30.613345561255514
