region_bld,urt,arch,year,value
C-WEU-CYP,rur,sfh,2030,2.9057607342950087
C-WEU-CYP,rur,sfh,2035,2.9057607342950087
C-WEU-CYP,rur,sfh,2040,2.9057607342950087
C-WEU-CYP,rur,sfh,2045,2.9057607342950087
C-WEU-CYP,rur,sfh,2050,2.9057607342950087
C-WEU-CYP,rur,sfh,2055,2.9057607342950087
C-WEU-CYP,rur,sfh,2060,2.9057607342950087
C-WEU-CYP,rur,sfh,2065,2.9057607342950087
C-WEU-CYP,rur,sfh,2070,2.9057607342950087
C-WEU-CYP,rur,sfh,2075,2.9057607342950087
C-WEU-CYP,rur,sfh,2080,2.9057607342950087
C-WEU-CYP,rur,sfh,2085,2.9057607342950087
C-WEU-CYP,rur,sfh,2090,2.9057607342950087
C-WEU-CYP,rur,sfh,2095,2.9057607342950087
C-WEU-CYP,rur,sfh,2100,2.9057607342950087
C-WEU-CYP,sub,mfh,2015,2.5330334099749376
C-WEU-CYP,sub,mfh,2020,2.5330334099749376
C-WEU-CYP,sub,mfh,2025,2.5330334099749376
C-WEU-CYP,sub,mfh,2030,2.5330334099749376
C-WEU-CYP,sub,mfh,2035,2.5330334099749376
C-WEU-CYP,sub,mfh,2040,2.5330334099749376
C-WEU-CYP,sub,mfh,2045,2.5330334099749376
C-WEU-CYP,sub,mfh,2050,2.5330334099749376
C-WEU-CYP,sub,mfh,2055,2.5330334099749376
C-WEU-CYP,sub,mfh,2060,2.5330334099749376
C-WEU-CYP,sub,mfh,2065,2.5330334099749376
C-WEU-CYP,sub,mfh,2070,2.5330334099749376
C-WEU-CYP,sub,mfh,2075,2.5330334099749376
C-WEU-CYP,sub,mfh,2080,2.5330334099749376
C-WEU-CYP,sub,mfh,2085,2.5330334099749376
C-WEU-CYP,sub,mfh,2090,2.5330334099749376
C-WEU-CYP,sub,mfh,2095,2.5330334099749376
C-WEU-CYP,sub,mfh,2100,2.5330334099749376
C-WEU-CYP,sub,sfh,2015,2.966297416259488
C-WEU-CYP,sub,sfh,2020,2.966297416259488
C-WEU-CYP,sub,sfh,2025,2.966297416259488
C-WEU-CYP,sub,sfh,2030,2.966297416259488
C-WEU-CYP,sub,sfh,2035,2.966297416259488
C-WEU-CYP,sub,sfh,2040,2.966297416259488
C-WEU-CYP,sub,sfh,2045,2.966297416259488
C-WEU-CYP,sub,sfh,2050,2.966297416259488
C-WEU-CYP,sub,sfh,2055,2.966297416259488
C-WEU-CYP,sub,sfh,2060,2.966297416259488
C-WEU-CYP,sub,sfh,2065,2.966297416259488
C-WEU-CYP,sub,sfh,2070,2.966297416259488
C-WEU-CYP,sub,sfh,2075,2.966297416259488
C-WEU-CYP,sub,sfh,2080,2.966297416259488
C-WEU-CYP,sub,sfh,2085,2.966297416259488
C-WEU-CYP,sub,sfh,2090,2.966297416259488
C-WEU-CYP,sub,sfh,2095,2.966297416259488
C-WEU-CYP,sub,sfh,2100,2.966297416259488
C-WEU-CYP,urb,mfh,2015,2.162555734366358
C-WEU-CYP,urb,mfh,2020,2.162555734366358
C-WEU-CYP,urb,mfh,2025,2.162555734366358
C-WEU-CYP,urb,mfh,2030,2.162555734366358
C-WEU-CYP,urb,mfh,2035,2.162555734366358
C-WEU-CYP,urb,mfh,2040,2.162555734366358
C-WEU-CYP,urb,mfh,2045,2.162555734366358
C-WEU-CYP,urb,mfh,2050,2.162555734366358
C-WEU-CYP,urb,mfh,2055,2.162555734366358
C-WEU-CYP,urb,mfh,2060,2.162555734366358
C-WEU-CYP,urb,mfh,2065,2.162555734366358
C-WEU-CYP,urb,mfh,2070,2.162555734366358
C-WEU-CYP,urb,mfh,2075,2.162555734366358
C-WEU-CYP,urb,mfh,2080,2.162555734366358
C-WEU-CYP,urb,mfh,2085,2.162555734366358
