region_bld,region_nuts,urt,clim,year,value
C-WEU-ITA,C-WEU-ITA-ITI45,urb,Zone_3A Warm Humid,2085,0.0
C-WEU-ITA,C-WEU-ITA-ITI45,rur,Zone_3A Warm Humid,2090,0.26253068571428584
C-WEU-ITA,C-WEU-ITA-ITI45,sub,Zone_3A Warm Humid,2090,0.2099485428571429
C-WEU-ITA,C-WEU-ITA-ITI45,urb,Zone_3A Warm Humid,2090,0.0
C-WEU-ITA,C-WEU-ITA-ITI45,rur,Zone_3A Warm Humid,2095,0.2592864816964286
C-WEU-ITA,C-WEU-ITA-ITI45,sub,Zone_3A Warm Humid,2095,0.2074371580357143
C-WEU-ITA,C-WEU-ITA-ITI45,urb,Zone_3A Warm Humid,2095,0.0
C-WEU-ITA,C-WEU-ITA-ITI45,rur,Zone_3A Warm Humid,2100,0.255577
C-WEU-ITA,C-WEU-ITA-ITI45,sub,Zone_3A Warm Humid,2100,0.204627
C-WEU-ITA,C-WEU-ITA-ITI45,urb,Zone_3A Warm Humid,2100,0.0
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2010,0.195376
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2010,0.208145
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2010,0.110616
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2015,0.22972681145833332
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2015,0.221627378125
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2015,0.11629580416666668
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2020,0.2595498380952382
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2020,0.23311534285714286
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2020,0.1210592761904762
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2025,0.28517269568452386
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2025,0.2427706361607143
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2025,0.12498686011904764
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2030,0.306923
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2030,0.250755
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2030,0.128159
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2035,0.3251283668154762
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2035,0.25723017633928563
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2035,0.13065613988095237
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2040,0.34011641190476194
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2040,0.2623579071428571
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2040,0.13255872380952383
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2045,0.35221475104166666
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2045,0.26629993437499994
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2045,0.13394719583333334
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2050,0.361751
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2050,0.269218
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2050,0.134902
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2055,0.36905277455357144
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2055,0.27127384598214277
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2055,0.13550358035714283
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2060,0.37444769047619053
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2060,0.2726292142857142
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2060,0.13583238095238095
