region_bld,mat,arch,year,value
C-EEU-SVN,perm,mfh,2055,0.4551388852487901
C-EEU-SVN,perm,mfh,2060,0.4546144794496154
C-EEU-SVN,perm,mfh,2065,0.4540841655488248
C-EEU-SVN,perm,mfh,2070,0.45356644558147785
C-EEU-SVN,perm,mfh,2075,0.4530822964020103
C-EEU-SVN,perm,mfh,2080,0.45265518580858577
C-EEU-SVN,perm,mfh,2085,0.4523107945646901
C-EEU-SVN,perm,mfh,2090,0.45207636560442477
C-EEU-SVN,perm,mfh,2095,0.45197962107429585
C-EEU-SVN,perm,mfh,2100,0.4520472343243769
C-EEU-SVN,perm,sfh,2015,0.5425799661237105
C-EEU-SVN,perm,sfh,2020,0.5425556197710412
C-EEU-SVN,perm,sfh,2025,0.5426487237924275
C-EEU-SVN,perm,sfh,2030,0.5428425251943853
C-EEU-SVN,perm,sfh,2035,0.5431228813118244
C-EEU-SVN,perm,sfh,2040,0.5434771318333502
C-EEU-SVN,perm,sfh,2045,0.5438932058153032
C-EEU-SVN,perm,sfh,2050,0.5443588764792743
C-EEU-SVN,perm,sfh,2055,0.5448611147512098
C-EEU-SVN,perm,sfh,2060,0.5453855205503846
C-EEU-SVN,perm,sfh,2065,0.5459158344511752
C-EEU-SVN,perm,sfh,2070,0.5464335544185221
C-EEU-SVN,perm,sfh,2075,0.5469177035979897
C-EEU-SVN,perm,sfh,2080,0.5473448141914141
C-EEU-SVN,perm,sfh,2085,0.5476892054353099
C-EEU-SVN,perm,sfh,2090,0.5479236343955752
C-EEU-SVN,perm,sfh,2095,0.5480203789257042
C-EEU-SVN,perm,sfh,2100,0.5479527656756231
C-WEU-AUT,perm,mfh,2015,0.6792306579021214
C-WEU-AUT,perm,mfh,2020,0.6780748339556423
C-WEU-AUT,perm,mfh,2025,0.6772082934726228
C-WEU-AUT,perm,mfh,2030,0.6765821365717687
C-WEU-AUT,perm,mfh,2035,0.6761579639106828
C-WEU-AUT,perm,mfh,2040,0.6759046916654263
C-WEU-AUT,perm,mfh,2045,0.6757962978575545
C-WEU-AUT,perm,mfh,2050,0.6758101726231639
C-WEU-AUT,perm,mfh,2055,0.6759258707028933
C-WEU-AUT,perm,mfh,2060,0.6761241408663455
C-WEU-AUT,perm,mfh,2065,0.6763861558223858
C-WEU-AUT,perm,mfh,2070,0.6766928992128487
C-WEU-AUT,perm,mfh,2075,0.677024690065042
C-WEU-AUT,perm,mfh,2080,0.6773608430743616
C-WEU-AUT,perm,mfh,2085,0.6776794768637132
C-WEU-AUT,perm,mfh,2090,0.6779574921221613
C-WEU-AUT,perm,mfh,2095,0.6781707464400799
C-WEU-AUT,perm,mfh,2100,0.6782944512133069
C-WEU-AUT,perm,sfh,2015,0.3207693420978785
C-WEU-AUT,perm,sfh,2020,0.32192516604435767
C-WEU-AUT,perm,sfh,2025,0.3227917065273772
C-WEU-AUT,perm,sfh,2030,0.3234178634282312
C-WEU-AUT,perm,sfh,2035,0.3238420360893171
C-WEU-AUT,perm,sfh,2040,0.32409530833457356
C-WEU-AUT,perm,sfh,2045,0.3242037021424455
C-WEU-AUT,perm,sfh,2050,0.324189827376836
C-WEU-AUT,perm,sfh,2055,0.3240741292971066
C-WEU-AUT,perm,sfh,2060,0.32387585913365446
C-WEU-AUT,perm,sfh,2065,0.323613844177614
C-WEU-AUT,perm,sfh,2070,0.3233071007871513
C-WEU-AUT,perm,sfh,2075,0.32297530993495804
C-WEU-AUT,perm,sfh,2080,0.3226391569256383
C-WEU-AUT,perm,sfh,2085,0.3223205231362868
C-WEU-AUT,perm,sfh,2090,0.32204250787783867
C-WEU-AUT,perm,sfh,2095,0.32182925355992004
C-WEU-AUT,perm,sfh,2100,0.3217055487866931
C-WEU-BEL,perm,mfh,2015,0.3346524952210659
C-WEU-BEL,perm,mfh,2020,0.33385387647326004
C-WEU-BEL,perm,mfh,2025,0.33317338075044833
C-WEU-BEL,perm,mfh,2030,0.33259483737877604
C-WEU-BEL,perm,mfh,2035,0.3321048979699099
C-WEU-BEL,perm,mfh,2040,0.33169239611280943
C-WEU-BEL,perm,mfh,2045,0.33134786411042993
C-WEU-BEL,perm,mfh,2050,0.33106316260627894
C-WEU-BEL,perm,mfh,2055,0.3308311926034304
C-WEU-BEL,perm,mfh,2060,0.3306456685025688
C-WEU-BEL,perm,mfh,2065,0.33050093700051447
C-WEU-BEL,perm,mfh,2070,0.33039183100431374
C-WEU-BEL,perm,mfh,2075,0.33031355076597363
C-WEU-BEL,perm,mfh,2080,0.3302615666395596
C-WEU-BEL,perm,mfh,2085,0.3302315394733479
C-WEU-BEL,perm,mfh,2090,0.3302192558512169
C-WEU-BEL,perm,mfh,2095,0.330220576305643
C-WEU-BEL,perm,mfh,2100,0.3302313953153733
C-WEU-BEL,perm,sfh,2015,0.6653475047789341
C-WEU-BEL,perm,sfh,2020,0.66614612352674
C-WEU-BEL,perm,sfh,2025,0.6668266192495517
C-WEU-BEL,perm,sfh,2030,0.667405162621224
C-WEU-BEL,perm,sfh,2035,0.6678951020300901
C-WEU-BEL,perm,sfh,2040,0.6683076038871906
C-WEU-BEL,perm,sfh,2045,0.66865213588957
C-WEU-BEL,perm,sfh,2050,0.668936837393721
C-WEU-BEL,perm,sfh,2055,0.6691688073965696
C-WEU-BEL,perm,sfh,2060,0.6693543314974311
C-WEU-BEL,perm,sfh,2065,0.6694990629994856
C-WEU-BEL,perm,sfh,2070,0.6696081689956862
C-WEU-BEL,perm,sfh,2075,0.6696864492340263
C-WEU-BEL,perm,sfh,2080,0.6697384333604405
C-WEU-BEL,perm,sfh,2085,0.6697684605266521
C-WEU-BEL,perm,sfh,2090,0.6697807441487831
C-WEU-BEL,perm,sfh,2095,0.6697794236943571
C-WEU-BEL,perm,sfh,2100,0.6697686046846266
C-WEU-CYP,perm,mfh,2015,0.5177601349057245
C-WEU-CYP,perm,mfh,2020,0.5177601349057246
C-WEU-CYP,perm,mfh,2025,0.5177601349057245
C-WEU-CYP,perm,mfh,2030,0.5177601349057245
C-WEU-CYP,perm,mfh,2035,0.5177601349057245
C-WEU-CYP,perm,mfh,2040,0.5177601349057245
C-WEU-CYP,perm,mfh,2045,0.5177601349057245
C-WEU-CYP,perm,mfh,2050,0.5177601349057245
C-WEU-CYP,perm,mfh,2055,0.5177601349057245
C-WEU-CYP,perm,mfh,2060,0.5177601349057245
C-WEU-CYP,perm,mfh,2065,0.5177601349057245
C-WEU-CYP,perm,mfh,2070,0.5177601349057245
C-WEU-CYP,perm,mfh,2075,0.5177601349057244
C-WEU-CYP,perm,mfh,2080,0.5177601349057245
C-WEU-CYP,perm,mfh,2085,0.5177601349057245
C-WEU-CYP,perm,mfh,2090,0.5177601349057245
C-WEU-CYP,perm,mfh,2095,0.5177601349057245
