,year,region_bld,clim,arch,urt,value
120,2015,C-WEU-DNK,Zone_5A Cool Humid,mfh,rur,0.391
121,2015,C-WEU-DNK,Zone_5A Cool Humid,mfh,urb,0.168
122,2015,C-WEU-DNK,Zone_5A Cool Humid,sfh,rur,0.066
123,2015,C-WEU-DNK,Zone_5A Cool Humid,sfh,urb,0.048
124,2015,C-WEU-ESP,Zone_2B Hot Dry,mfh,urb,0.293
125,2015,C-WEU-ESP,Zone_2B Hot Dry,sfh,urb,0.245
126,2015,C-WEU-ESP,Zone_3A Warm Humid,mfh,rur,0.377
127,2015,C-WEU-ESP,Zone_3A Warm Humid,mfh,urb,0.241
128,2015,C-WEU-ESP,Zone_3A Warm Humid,sfh,rur,0.357
129,2015,C-WEU-ESP,Zone_3A Warm Humid,sfh,urb,0.372
130,2015,C-WEU-ESP,Zone_3B Warm Dry,mfh,rur,0.354
131,2015,C-WEU-ESP,Zone_3B Warm Dry,mfh,urb,0.279
132,2015,C-WEU-ESP,Zone_3B Warm Dry,sfh,rur,0.423
133,2015,C-WEU-ESP,Zone_3B Warm Dry,sfh,urb,0.384
134,2015,C-WEU-ESP,Zone_3C Warm Marine,mfh,urb,0.295
135,2015,C-WEU-ESP,Zone_3C Warm Marine,sfh,urb,0.321
136,2015,C-WEU-ESP,Zone_4A Mixed Humid,mfh,rur,0.385
137,2015,C-WEU-ESP,Zone_4A Mixed Humid,mfh,urb,0.255
138,2015,C-WEU-ESP,Zone_4A Mixed Humid,sfh,rur,0.635
139,2015,C-WEU-ESP,Zone_4A Mixed Humid,sfh,urb,0.488
140,2015,C-WEU-ESP,Zone_4C Mixed Marine,mfh,rur,0.412
141,2015,C-WEU-ESP,Zone_4C Mixed Marine,mfh,urb,0.28
142,2015,C-WEU-ESP,Zone_4C Mixed Marine,sfh,rur,0.608
143,2015,C-WEU-ESP,Zone_4C Mixed Marine,sfh,urb,0.483
144,2015,C-WEU-FIN,Zone_6A Cold Humid,mfh,rur,0.192
145,2015,C-WEU-FIN,Zone_6A Cold Humid,mfh,urb,0.101
146,2015,C-WEU-FIN,Zone_6A Cold Humid,sfh,rur,0.087
147,2015,C-WEU-FIN,Zone_6A Cold Humid,sfh,urb,0.071
148,2015,C-WEU-FIN,Zone_7A Very cold Humid,mfh,rur,0.193
149,2015,C-WEU-FIN,Zone_7A Very cold Humid,mfh,urb,0.134
150,2015,C-WEU-FIN,Zone_7A Very cold Humid,sfh,rur,0.109
151,2015,C-WEU-FIN,Zone_7A Very cold Humid,sfh,urb,0.084
152,2015,C-WEU-FRA,Zone_0A Extremely hot Humid,mfh,urb,0.256
153,2015,C-WEU-FRA,Zone_0A Extremely hot Humid,sfh,urb,0.256
154,2015,C-WEU-FRA,Zone_1A Very hot Humid,mfh,urb,0.24
155,2015,C-WEU-FRA,Zone_1A Very hot Humid,sfh,urb,0.21
156,2015,C-WEU-FRA,Zone_2A Hot Humid,mfh,urb,0.139
157,2015,C-WEU-FRA,Zone_2A Hot Humid,sfh,urb,0.111
158,2015,C-WEU-FRA,Zone_3A Warm Humid,mfh,rur,0.335
159,2015,C-WEU-FRA,Zone_3A Warm Humid,mfh,urb,0.244
160,2015,C-WEU-FRA,Zone_3A Warm Humid,sfh,rur,0.207
161,2015,C-WEU-FRA,Zone_3A Warm Humid,sfh,urb,0.183
162,2015,C-WEU-FRA,Zone_3C Warm Marine,mfh,urb,0.337
163,2015,C-WEU-FRA,Zone_3C Warm Marine,sfh,urb,0.322
164,2015,C-WEU-FRA,Zone_4A Mixed Humid,mfh,rur,0.263
165,2015,C-WEU-FRA,Zone_4A Mixed Humid,mfh,urb,0.147
166,2015,C-WEU-FRA,Zone_4A Mixed Humid,sfh,rur,0.2
167,2015,C-WEU-FRA,Zone_4A Mixed Humid,sfh,urb,0.104
168,2015,C-WEU-FRA,Zone_4C Mixed Marine,mfh,rur,0.411
169,2015,C-WEU-FRA,Zone_4C Mixed Marine,sfh,rur,0.366
170,2015,C-WEU-FRA,Zone_5A Cool Humid,mfh,rur,0.274
171,2015,C-WEU-FRA,Zone_5A Cool Humid,mfh,urb,0.227
172,2015,C-WEU-FRA,Zone_5A Cool Humid,sfh,rur,0.246
173,2015,C-WEU-FRA,Zone_5A Cool Humid,sfh,urb,0.126
174,2015,C-WEU-FRA,Zone_7A Very cold Humid,mfh,urb,0.516
175,2015,C-WEU-FRA,Zone_7A Very cold Humid,sfh,urb,0.263
