DATAFLOW,LAST UPDATE,freq,deg_urb,hhcomp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,France,2023,99.5,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Croatia,2023,100.1,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Hungary,2023,90.5,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Ireland,2023,,u,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Italy,2023,100.3,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Lithuania,2023,74.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Luxembourg,2023,139.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Latvia,2023,81.0,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,North Macedonia,2023,102.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Malta,2023,138.1,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Netherlands,2023,131.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Norway,2023,137.3,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Poland,2023,99.9,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Portugal,2023,126.7,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Romania,2023,54.6,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Serbia,2023,87.7,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Sweden,2023,101.6,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Slovenia,2023,103.8,,
ESTAT:ILC_LVHO31$DEFAULTVIEW(1.0),13/05/26 23:00:00,Annual,Total,Total,Square metre,Slovakia,2023,104.0,,
